Area (µm^2);Equivalent circular diameter (µm);Class;;3-D diameter (µm);;;;;;;;;
868164,3144;1051,371075;Biotite;;1704,418588;;total area (µm^2);;;Quartz;Plagioclase;K-feldspar;Biotite;Others
621066,237;889,2502982;Biotite;;1441,598284;;201653699,1;;Model mineralogy (%);22,356;11,537;50,156;8,864;7,087
229369,7182;540,4096554;Biotite;;876,0791349;;;;Mean 3-D diameter (mm);1,541;1,520;2,497;1,088;0,747
60380,09578;277,2694099;Biotite;;449,4922368;;;;SD 3-D diameter (mm);1,065;0,966;1,779;0,558;0,462
855128,9594;1043,448133;Biotite;;1691,574399;;;;;;;;;
38090,05355;220,2220753;Biotite;;357,0105813;;;;;;;;;
234802,2681;546,7719203;Biotite;;886,3932504;;;;;;;;;
287144,1253;604,6513503;Biotite;;980,2238481;;;;;;;;;
288277,6345;605,8436135;Biotite;;982,1566724;;;;;;;;;
732094,838;965,4698847;Biotite;;1565,160824;;;;;;;;;
957276,1018;1104,011679;Biotite;;1789,756322;;;;;;;;;
126994,4917;402,1124331;Biotite;;651,8801228;;;;;;;;;
833606,1094;1030,233111;Biotite;;1670,151012;;;;;;;;;
297712,0244;615,67745;Biotite;;998,0986876;;;;;;;;;
154786,2002;443,9368323;Biotite;;719,683285;;;;;;;;;
99569,10025;356,0552146;Biotite;;577,2149726;;;;;;;;;
417138,2693;728,7777028;Biotite;;1181,449911;;;;;;;;;
786109,3124;1000,452629;Biotite;;1621,872713;;;;;;;;;
131493,97;409,1739514;Biotite;;663,3278252;;;;;;;;;
437106,0001;746,0165176;Biotite;;1209,396425;;;;;;;;;
717718,6247;955,9433744;Biotite;;1549,717027;;;;;;;;;
422204,5021;733,1899263;Biotite;;1188,602739;;;;;;;;;
523377,1031;816,3237253;Biotite;;1323,374177;;;;;;;;;
203796,6465;509,3937077;Biotite;;825,7979745;;;;;;;;;
1012341,146;1135,320562;Biotite;;1840,512371;;;;;;;;;
954290,2729;1102,28858;Biotite;;1786,962938;;;;;;;;;
1116430,459;1192,259791;Biotite;;1932,818772;;;;;;;;;
2343930,989;1727,537445;Biotite;;2800,57822;;;;;;;;;
152830,2058;441,1229552;Biotite;;715,1215993;;;;;;;;;
73657,35814;306,2408548;Biotite;;496,4589742;;;;;;;;;
300766,9698;618,8282473;Biotite;;1003,206568;;;;;;;;;
84342,75512;327,7018937;Biotite;;531,2503;;;;;;;;;
605107,2579;877,7508129;Biotite;;1422,956021;;;;;;;;;
238112,9441;550,6131278;Biotite;;892,6203814;;;;;;;;;
174242,4696;471,0121046;Biotite;;763,5760632;;;;;;;;;
272864,675;589,4252239;Biotite;;955,5401817;;;;;;;;;
116675,4117;385,4293036;Biotite;;624,8344521;;;;;;;;;
45015,51783;239,4066361;Biotite;;388,1114199;;;;;;;;;
59840,98778;276,0288246;Biotite;;447,4810757;;;;;;;;;
69,11641;9,380924603;Biotite;;15,20778215;;;;;;;;;
799110,1091;1008,691524;K-feldspar;;1635,229107;;;;;;;;;
1096006,56;1181,303895;K-feldspar;;1915,057743;;;;;;;;;
1307385,277;1290,199455;K-feldspar;;2091,592575;;;;;;;;;
611217,1486;882,1710968;K-feldspar;;1430,121915;;;;;;;;;
