Area (µm^2);Equivalent circular diameter (µm);Class;;3-D diameter (µm);;;;;;;;;
35069,66643;211,3104023;Biotite;;342,5635212;;total area (µm^2);;;Quartz;Plagioclase;K-feldspar;Biotite;Others
263229,8475;578,925428;Biotite;;938,5185537;;332461847,8;;Model mineralogy (%);16,870;22,541;50,037;2,944;7,608
52818,76052;259,3278516;Biotite;;420,406478;;;;Mean 3-D diameter (mm);1,012;1,201;1,556;0,625;0,606
52286,56417;258,0180636;Biotite;;418,2831297;;;;SD 3-D diameter (mm);0,357;0,720;1,201;0,254;0,264
140582,7779;423,0786596;Biotite;;685,869289;;;;;;;;;
186697,2467;487,5554506;Biotite;;790,3951255;;;;;;;;;
27522,15446;187,1958745;Biotite;;303,4705212;;;;;;;;;
139214,273;421,0143912;Biotite;;682,5228232;;;;;;;;;
53993,73949;262,1964231;Biotite;;425,056831;;;;;;;;;
150148,4891;437,2356274;Biotite;;708,8197008;;;;;;;;;
56903,54035;269,1687906;Biotite;;436,3600073;;;;;;;;;
70567,85461;299,7495339;Biotite;;485,9356411;;;;;;;;;
120704,8984;392,028379;Biotite;;635,5324701;;;;;;;;;
44275,97225;237,4319244;Biotite;;384,9101379;;;;;;;;;
129759,1481;406,4658395;Biotite;;658,9375995;;;;;;;;;
60152,01162;276,7452256;Biotite;;448,6424612;;;;;;;;;
562310,3768;846,1417187;Biotite;;1371,713288;;;;;;;;;
12606,83318;126,6945877;Biotite;;205,3895293;;;;;;;;;
49155,59079;250,1736238;Biotite;;405,5662029;;;;;;;;;
395491,0097;709,6159476;Biotite;;1150,386044;;;;;;;;;
177325,0615;475,1602683;Biotite;;770,3008129;;;;;;;;;
168001,2578;462,4995621;Biotite;;749,7760491;;;;;;;;;
306648,7762;624,8498606;Biotite;;1012,96844;;;;;;;;;
170503,2718;465,9307977;Biotite;;755,3385586;;;;;;;;;
310933,9937;629,2006489;Biotite;;1020,021672;;;;;;;;;
97557,81272;352,4407256;Biotite;;571,3553837;;;;;;;;;
174850,694;471,8334643;Biotite;;764,9076014;;;;;;;;;
175514,2116;472,7278655;Biotite;;766,35755;;;;;;;;;
94523,60232;346,916688;Biotite;;562,4001512;;;;;;;;;
175168,6295;472,2622429;Biotite;;765,6027111;;;;;;;;;
358658,8748;675,7652421;Biotite;;1095,509347;;;;;;;;;
205013,0953;510,9117147;Biotite;;828,2588747;;;;;;;;;
174214,823;470,974736;Biotite;;763,5154835;;;;;;;;;
271427,0537;587,8704435;Biotite;;953,0196666;;;;;;;;;
146761,785;432,2764258;Biotite;;700,780146;;;;;;;;;
111775,0583;377,2484914;Biotite;;611,5722189;;;;;;;;;
55486,65395;265,7965425;Biotite;;430,8931247;;;;;;;;;
33894,68746;207,7403582;Biotite;;336,7759838;;;;;;;;;
195627,0869;499,0792953;Biotite;;809,0768789;;;;;;;;;
57864,25845;271,4315053;Biotite;;440,0281824;;;;;;;;;
117055,552;386,0566768;Biotite;;625,8515112;;;;;;;;;
279437,6456;596,4822384;Biotite;;966,9805826;;;;;;;;;
146920,7527;432,5104766;Biotite;;701,1595748;;;;;;;;;
62384,47167;281,8339516;Biotite;;456,8919931;;;;;;;;;
11307,44468;119,9878565;Biotite;;194,5169863;;;;;;;;;
30134,75476;195,8794564;Biotite;;317,5478139;;;;;;;;;
71335,04676;301,3745219;Biotite;;488,5699725;;;;;;;;;
114505,1564;381,827832;Biotite;;618,9959661;;;;;;;;;
99762,62619;356,4010673;Biotite;;577,7756478;;;;;;;;;
34558,205;209,763851;Biotite;;340,0563468;;;;;;;;;
31689,87399;200,8701091;Biotite;;325,6383554;;;;;;;;;
296461,0174;614,3825281;Biotite;;995,9994393;;;;;;;;;
182667,76;482,2652958;Biotite;;781,8190497;;;;;;;;;
142400,5395;425,8051175;Biotite;;690,2892561;;;;;;;;;
98587,64722;354,29605;Biotite;;574,3631224;;;;;;;;;
199006,8793;503,3720576;Biotite;;816,0360431;;;;;;;;;
96362,09882;350,274228;Biotite;;567,8431902;;;;;;;;;
57615,43938;270,8472924;Biotite;;439,081092;;;;;;;;;
315405,8254;633,7090575;Biotite;;1027,330429;;;;;;;;;
30729,15589;197,8018616;Biotite;;320,6642999;;;;;;;;;
82089,56016;323,2950266;Biotite;;524,1061561;;;;;;;;;
57007,21497;269,4138831;Biotite;;436,7573365;;;;;;;;;
70277,56569;299,1323716;Biotite;;484,9351353;;;;;;;;;
372848,4737;689,0032082;Biotite;;1116,969929;;;;;;;;;
32553,82911;203,589839;Biotite;;330,0474155;;;;;;;;;
267079,6315;583,1435059;Biotite;;945,356644;;;;;;;;;
131397,2071;409,0233735;Biotite;;663,0837175;;;;;;;;;
21446,82202;165,2481223;Biotite;;267,8901655;;;;;;;;;
120753,2799;392,1069384;Biotite;;635,6598258;;;;;;;;;
92830,25027;343,7952088;Biotite;;557,3397998;;;;;;;;;
44552,43789;238,1720507;Biotite;;386,1099854;;;;;;;;;
10505,69432;115,655806;Biotite;;187,4941305;;;;;;;;;
409376,4964;721,9656113;K-feldspar;;1170,406565;;;;;;;;;
288961,8869;606,5621991;K-feldspar;;983,3215994;;;;;;;;;
237518,543;549,9254509;K-feldspar;;891,5055615;;;;;;;;;
1450186,691;1358,835915;K-feldspar;;2202,861812;;;;;;;;;
616214,265;885,7699308;K-feldspar;;1435,956125;;;;;;;;;
602321,8666;875,7282793;K-feldspar;;1419,677213;;;;;;;;;
457599,0157;763,3041087;K-feldspar;;1237,422012;;;;;;;;;
404469,2313;717,6254036;K-feldspar;;1163,370485;;;;;;;;;
495606,1295;794,3710234;K-feldspar;;1287,785797;;;;;;;;;
89920,44941;338,3641117;K-feldspar;;548,5352368;;;;;;;;;
193055,9564;495,7887434;K-feldspar;;803,742437;;;;;;;;;
723026,765;959,4718699;K-feldspar;;1555,437208;;;;;;;;;
314458,9306;632,7570984;K-feldspar;;1025,787171;;;;;;;;;
943480,4663;1096,027664;K-feldspar;;1776,813123;;;;;;;;;
474027,9863;776,8855627;K-feldspar;;1259,439436;;;;;;;;;
143928,0122;428,0827452;K-feldspar;;693,981607;;;;;;;;;
604464,4753;877,2844883;K-feldspar;;1422,200044;;;;;;;;;
1182844,417;1227,209961;K-feldspar;;1989,477853;;;;;;;;;
541603,1004;830,4158506;K-feldspar;;1346,21947;;;;;;;;;
188452,8035;489,8423846;K-feldspar;;794,1025633;;;;;;;;;
342686,0724;660,5463336;K-feldspar;;1070,837382;;;;;;;;;
788424,7122;1001,924908;K-feldspar;;1624,259482;;;;;;;;;
760750,5016;984,183734;K-feldspar;;1595,498574;;;;;;;;;
161836,074;453,9340141;K-feldspar;;735,8901057;;;;;;;;;
456520,7997;762,4043121;K-feldspar;;1235,963317;;;;;;;;;
341407,4188;659,3128442;K-feldspar;;1068,837724;;;;;;;;;
709853,1773;950,6908731;K-feldspar;;1541,201993;;;;;;;;;
240082,7618;552,8859433;K-feldspar;;896,3049311;;;;;;;;;
877004,3032;1056,710253;K-feldspar;;1713,074138;;;;;;;;;
230586,167;541,8407758;K-feldspar;;878,39918;;;;;;;;;
438287,8907;747,0244136;K-feldspar;;1211,030365;;;;;;;;;
294387,5251;612,2302169;K-feldspar;;992,5102438;;;;;;;;;
473627,1112;776,5569956;K-feldspar;;1258,906783;;;;;;;;;
791617,8903;1003,951793;K-feldspar;;1627,545343;;;;;;;;;
527696,8787;819,685631;K-feldspar;;1328,824293;;;;;;;;;
184568,4613;484,767845;K-feldspar;;785,8760296;;;;;;;;;
1451237,261;1359,328021;K-feldspar;;2203,659585;;;;;;;;;
766922,597;988,1680921;K-feldspar;;1601,957772;;;;;;;;;
4503328,075;2394,538659;K-feldspar;;3881,879859;;;;;;;;;
1737206,407;1487,239017;K-feldspar;;2411,021082;;;;;;;;;
5337901,814;2606,99591;K-feldspar;;4226,302582;;;;;;;;;
76339,07485;311,7658238;K-feldspar;;505,4157166;;;;;;;;;
