Area (µm^2);Equivalent circular diameter (µm);Class;;3-D diameter (µm);;;;;;;;;
9206008,611;3423,660937;K-feldspar;;5550,230057;;total area (µm^2);;;Quartz;Plagioclase;K-feldspar;Biotite;Others
8090656,368;3209,57063;K-feldspar;;5203,159924;;560218845,2;;Model mineralogy (%);18,212;30,505;46,372;/;4,910
8664889,326;3321,517686;K-feldspar;;5384,641655;;;;Mean 3-D diameter (mm);1,791;2,431;6,120;/;0,675
1,02E+07;3601,138897;K-feldspar;;5837,946488;;;;SD 3-D diameter (mm);1,133;1,348;3,293;/;0,326
5,01E+07;7985,662148;K-feldspar;;12945,86786;;;;;;;;;
3,58E+07;6751,950053;K-feldspar;;10945,84914;;;;;;;;;
3,26E+07;6446,016862;K-feldspar;;10449,88893;;;;;;;;;
2551715,652;1802,483086;K-feldspar;;2922,075516;;;;;;;;;
1278743,436;1275,988523;K-feldspar;;2068,554679;;;;;;;;;
669219,6398;923,0801209;K-feldspar;;1496,441127;;;;;;;;;
1336960,188;1304,710919;K-feldspar;;2115,117674;;;;;;;;;
1,55E+07;4438,015195;K-feldspar;;7194,639241;;;;;;;;;
4881477,777;2493,048444;K-feldspar;;4041,577907;;;;;;;;;
2,64E+07;5796,989399;K-feldspar;;9397,72524;;;;;;;;;
2,50E+07;5641,451266;K-feldspar;;9145,576316;;;;;;;;;
9150542,692;3413,331629;K-feldspar;;5533,484814;;;;;;;;;
1,66E+07;4591,320065;K-feldspar;;7443,167735;;;;;;;;;
1831653,981;1527,132699;K-feldspar;;2475,694283;;;;;;;;;
73270,30624;305,4351836;Others;;495,1528692;;;;;;;;;
215339,087;523,6203215;Others;;848,8612921;;;;;;;;;
329747,4805;647,9564275;Others;;1050,427395;;;;;;;;;
151420,231;439,083393;Others;;711,8151856;;;;;;;;;
56219,28789;267,5455485;Others;;433,7285064;;;;;;;;;
59232,76337;274,6224621;Others;;445,2011666;;;;;;;;;
57283,68061;270,0663759;Others;;437,815118;;;;;;;;;
438239,5092;746,9831814;Others;;1210,963522;;;;;;;;;
302771,3456;620,8868257;Others;;1006,543809;;;;;;;;;
162679,2942;455,1150519;Others;;737,8047321;;;;;;;;;
419847,6325;731,1406216;Others;;1185,280531;;;;;;;;;
145994,5928;431,1450903;Others;;698,946094;;;;;;;;;
156417,3475;446,26982;Others;;723,4653823;;;;;;;;;
89277,6668;337,1525705;Others;;546,5711603;;;;;;;;;
149173,9477;435,8143748;Others;;706,5156528;;;;;;;;;
317320,35;635,6294659;Others;;1030,443677;;;;;;;;;
529735,8128;821,2676696;Others;;1331,388998;;;;;;;;;
450217,3831;757,1225633;Others;;1227,400868;;;;;;;;;
148012,792;434,1148925;Others;;703,760556;;;;;;;;;
489461,6807;789,4314204;Others;;1279,778015;;;;;;;;;
544291,7288;832,4744758;Others;;1349,556788;;;;;;;;;
213065,1571;520,8483307;Others;;844,3675099;;;;;;;;;
154433,7065;443,4310568;Others;;718,8633527;;;;;;;;;
916711,6808;1080,367328;Others;;1751,425543;;;;;;;;;
66013,08319;289,9145874;Others;;469,9918264;;;;;;;;;
447438,9034;754,7826877;Others;;1223,607605;;;;;;;;;
319981,3317;638,2890295;Others;;1034,7552;;;;;;;;;
116405,8577;384,9838195;Others;;624,1122604;;;;;;;;;
73588,24173;306,0971405;Others;;496,2259933;;;;;;;;;
588574,6126;865,6768865;Others;;1403,382509;;;;;;;;;
65591,47309;288,9872961;Others;;468,4885585;;;;;;;;;
61085,08316;278,8833869;Others;;452,1087177;;;;;;;;;
198253,5104;502,4183609;Others;;814,4899682;;;;;;;;;
384384,0026;699,5805261;Others;;1134,117231;;;;;;;;;
106259,5687;367,8231707;Others;;596,2924645;;;;;;;;;
96396,65703;350,3370316;Others;;567,9450034;;;;;;;;;
210321,2356;517,4836367;Others;;838,9128735;;;;;;;;;
328316,7708;646,5492215;Others;;1048,146118;;;;;;;;;
76152,46054;311,3845279;Others;;504,7975829;;;;;;;;;
157696,0011;448,0901523;Others;;726,4163938;;;;;;;;;
197555,4347;501,5330415;Others;;813,0547424;;;;;;;;;
310477,8254;628,7389323;Others;;1019,273165;;;;;;;;;
56875,89379;269,1033948;Others;;436,2539918;;;;;;;;;
328434,2687;646,6649045;Others;;1048,333657;;;;;;;;;
652182,4448;911,2543438;Others;;1477,269899;;;;;;;;;
709445,3904;950,4177639;Others;;1540,759245;;;;;;;;;
353710,1398;671,086982;Others;;1087,925237;;;;;;;;;
29823,73092;194,8659888;Others;;315,9048421;;;;;;;;;
62301,53197;281,6465413;Others;;456,5881749;;;;;;;;;
131701,3193;409,4964319;Others;;663,8506109;;;;;;;;;
225540,6691;535,8799295;Others;;868,73582;;;;;;;;;
87494,46342;333,7684988;Others;;541,0851097;;;;;;;;;
151295,8215;438,9029766;Others;;711,5227055;;;;;;;;;
110938,7497;375,8345423;Others;;609,2800108;;;;;;;;;
98325,00487;353,8238042;Others;;573,5975463;;;;;;;;;
141785,4035;424,8844344;Others;;688,7967008;;;;;;;;;
61430,66521;279,6711501;Others;;453,3857914;;;;;;;;;
153244,9043;441,7210343;Others;;716,0911685;;;;;;;;;
69337,58251;297,1251453;Others;;481,6811426;;;;;;;;;
177905,6393;475,9374909;Others;;771,5607987;;;;;;;;;
63974,1491;285,4022012;Others;;462,6766215;;;;;;;;;
129911,2042;406,7039249;Others;;659,323569;;;;;;;;;
77424,20248;313,9738147;Others;;508,9951766;;;;;;;;;
60228,03967;276,9200639;Others;;448,9258985;;;;;;;;;
69178,61477;296,7843459;Others;;481,1286594;;;;;;;;;
124133,0724;397,556457;Others;;644,4942527;;;;;;;;;
26989,95811;185,3771344;Others;;300,5220909;;;;;;;;;
58113,07753;272,0144635;Others;;440,9732386;;;;;;;;;
82587,19831;324,2734753;Others;;525,6923574;;;;;;;;;
62446,67644;281,9744277;Others;;457,1197243;;;;;;;;;
529238,1747;820,8818262;Others;;1330,763492;;;;;;;;;
57746,76056;271,1557839;Others;;439,5811995;;;;;;;;;
69275,37774;296,9918356;Others;;481,4650291;;;;;;;;;
157972,4667;448,4827662;Others;;727,0528754;;;;;;;;;
444079,8459;751,9441607;Others;;1219,005958;;;;;;;;;
429427,167;739,4346831;Others;;1198,726357;;;;;;;;;
38096,96519;220,2420546;Others;;357,0429706;;;;;;;;;
155581,0389;445,0751972;Others;;721,5287326;;;;;;;;;
41836,16297;230,7974374;Others;;374,1547126;;;;;;;;;
222527,1936;532,2879134;Others;;862,9126627;;;;;;;;;
118721,2575;388,7937754;Others;;630,2887283;;;;;;;;;
133069,8242;411,618467;Others;;667,2907245;;;;;;;;;
256179,9737;571,1203665;Others;;925,8654646;;;;;;;;;
33791,01285;207,4224043;Others;;336,2605363;;;;;;;;;
490643,5713;790,3839557;Others;;1281,322207;;;;;;;;;
46390,93439;243,0365655;Others;;393,9960398;;;;;;;;;
80686,49703;320,5202626;Others;;519,6078782;;;;;;;;;
356025,5396;673,2798793;Others;;1091,480229;;;;;;;;;
16988,81358;147,0742305;Others;;238,4277618;;;;;;;;;
145890,9182;430,9919794;Others;;698,6978799;;;;;;;;;
180704,8539;479,6671408;Others;;777,6070794;;;;;;;;;
34053,65521;208,2269446;Others;;337,5648079;;;;;;;;;
16843,66912;146,4446161;Others;;237,4070695;;;;;;;;;
75108,80275;309,2434281;Others;;501,3265627;;;;;;;;;
459776,1826;765,1177801;Others;;1240,362226;;;;;;;;;
73802,5026;306,5424356;Others;;496,9478785;;;;;;;;;
10961,86263;118,1400736;Others;;191,5214734;;;;;;;;;
39852,52201;225,2594215;Others;;365,1768194;;;;;;;;;
130989,4202;408,3881852;Others;;662,0539889;;;;;;;;;
117919,5071;387,4787472;Others;;628,1568849;;;;;;;;;
31109,29614;199,0215718;Others;;322,6416197;;;;;;;;;
170399,5972;465,7891214;Others;;755,1088817;;;;;;;;;
128003,5913;403,7068668;Others;;654,4649215;;;;;;;;;
38069,31863;220,1621264;Others;;356,9133959;;;;;;;;;
112072,2588;377,7496946;Others;;612,3847389;;;;;;;;;
86381,68922;331,6392357;Others;;537,6332784;;;;;;;;;
80645,02719;320,4378843;Others;;519,4743316;;;;;;;;;
31952,51634;201,7007867;Others;;326,9849992;;;;;;;;;
700957,8953;944,7154659;Others;;1531,515027;;;;;;;;;
150777,4484;438,1504419;Others;;710,3027423;;;;;;;;;
138129,1454;419,3703497;Others;;679,8576034;;;;;;;;;
157702,9127;448,0999718;Others;;726,4323126;;;;;;;;;
42872,90912;233,6396441;Others;;378,7623246;;;;;;;;;
33231,16993;205,6969608;Others;;333,4633526;;;;;;;;;
336272,0696;654,335462;Others;;1060,768696;;;;;;;;;
83299,09733;325,6680899;Others;;527,9532215;;;;;;;;;
369026,3363;685,4625624;Others;;1111,230051;;;;;;;;;
209740,6578;516,7689035;Others;;837,7541916;;;;;;;;;
48326,19387;248,0540689;Others;;402,1301098;;;;;;;;;
112065,3472;377,7380463;Others;;612,3658553;;;;;;;;;
172645,8805;468,8491893;Others;;760,069677;;;;;;;;;
283508,6022;600,811421;Others;;973,9987891;;;;;;;;;
101497,4481;359,4865291;Others;;582,7776101;;;;;;;;;
293627,2446;611,4391378;Others;;991,2277947;;;;;;;;;
78882,55873;316,9170131;Others;;513,7665101;;;;;;;;;
118154,5029;387,8646484;Others;;628,7824843;;;;;;;;;
622331,0673;890,1553374;Others;;1443,065479;;;;;;;;;
82241,61626;323,5943109;Others;;524,5913376;;;;;;;;;
77520,96546;314,169952;Others;;509,3131425;;;;;;;;;
32581,47567;203,6762707;Others;;330,1875333;;;;;;;;;
125591,4286;399,8849502;Others;;648,2690636;;;;;;;;;
39658,99606;224,7118201;Others;;364,2890814;;;;;;;;;
152768,001;441,0331734;Others;;714,9760505;;;;;;;;;
30791,36066;198,0019647;Others;;320,9886948;;;;;;;;;
221096,4839;530,5740161;Others;;860,1341971;;;;;;;;;
35290,83895;211,9756866;Others;;343,6420395;;;;;;;;;
38649,89647;221,8345703;Others;;359,6246598;;;;;;;;;
18011,73645;151,4372976;Others;;245,5008999;;;;;;;;;
46847,1027;244,2285481;Others;;395,9284092;;;;;;;;;
41870,72118;230,8927413;Others;;374,3092134;;;;;;;;;
109120,9881;372,7427494;Others;;604,267785;;;;;;;;;
130457,2239;407,5577215;Others;;660,7076919;;;;;;;;;
9904,381553;112,2971516;Others;;182,0492851;;;;;;;;;
17521,00994;149,3601108;Others;;242,1334915;;;;;;;;;
17569,39142;149,5661858;Others;;242,4675677;;;;;;;;;
76,028051;9,838796727;Others;;15,95005648;;;;;;;;;
186759,4515;487,6366669;Others;;790,5267885;;;;;;;;;
34682,61454;210,1410868;Others;;340,6678983;;;;;;;;;
124872,6179;398,7389562;Others;;646,4112482;;;;;;;;;
53489,1897;260,9684876;Others;;423,066177;;;;;;;;;
129406,6544;405,9133772;Others;;658,0419813;;;;;;;;;
23285,31853;172,1853314;Others;;279,1363454;;;;;;;;;
47952,96526;247,0943376;Others;;400,574252;;;;;;;;;
333362,2687;651,4982911;Others;;1056,169248;;;;;;;;;
