Area (µm^2);Equivalent circular diameter (µm);Class;;3-D diameter (µm);;;;;;;;;
121195,6249;392,8244676;Biotite;;636,8230403;;total area (µm^2);;;Quartz;Plagioclase;K-feldspar;Biotite;Others
29844,46584;194,9337172;Biotite;;316,0146393;;440372185,9;;Model mineralogy (%);21,427;19,420;48,761;3,977;6,415
586936,5537;864,4714168;Biotite;;1401,428275;;;;Mean 3-D diameter (mm);1,531;1,827;3,209;0,740;0,775
199649,6619;504,184336;Biotite;;817,3528591;;;;SD 3-D diameter (mm);0,743;1,000;1,876;0,441;0,564
20880,06746;163,0500769;Biotite;;264,3268286;;;;;;;;;
21633,43633;165,9654983;Biotite;;269,0531317;;;;;;;;;
230537,7856;541,7839284;Biotite;;878,3070225;;;;;;;;;
252385,4828;566,874922;Biotite;;918,9830091;;;;;;;;;
204515,4572;510,2912576;Biotite;;827,2530276;;;;;;;;;
45976,23593;241,9478491;Biotite;;392,2310793;;;;;;;;;
184457,875;484,6225963;Biotite;;785,6405612;;;;;;;;;
1043215,446;1152,502998;Biotite;;1868,367486;;;;;;;;;
88469,0048;335,6221617;Biotite;;544,0901548;;;;;;;;;
92754,22222;343,6543957;Biotite;;557,1115222;;;;;;;;;
73795,59096;306,5280813;Biotite;;496,9246083;;;;;;;;;
7554,423613;98,07441502;Biotite;;158,992253;;;;;;;;;
1394154,018;1332,325796;Biotite;;2159,885226;;;;;;;;;
106605,1508;368,4208106;Biotite;;597,2613217;;;;;;;;;
13173,58775;129,5111303;Biotite;;209,9555362;;;;;;;;;
148918,217;435,4406536;Biotite;;705,9097988;;;;;;;;;
451903,8235;758,5392663;Biotite;;1229,697541;;;;;;;;;
69717,72277;297,9385198;Biotite;;482,9997357;;;;;;;;;
319359,284;637,6683067;Biotite;;1033,748922;;;;;;;;;
277087,6877;593,9688555;Biotite;;962,9060398;;;;;;;;;
84633,04405;328,2653477;Biotite;;532,1637372;;;;;;;;;
203969,4376;509,6096092;Biotite;;826,1479808;;;;;;;;;
101518,183;359,523247;Biotite;;582,8371349;;;;;;;;;
