Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"L1-2ABC 5phi 0"
Duration Time,60.098
Ambient Temperature,"98.7"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"753745"
Raw Accumulated Counts,"781714"
Valid Count Last Packet,"11840"
Raw Count Last Packet,"12326"
Live Time,58.272991
HV DAC,171
HV ADC,40.000000
Filament DAC,200
Filament ADC,5.000000
Pulse Length,201
Pulse Period,254
Filter,2
eV per channel,20.0898
Number of Channels,2048
Vacuum,762
Channel#,Intensity
0,"1720"
1,"1468"
2,"979"
3,"495"
4,"227"
5,"53"
6,"16"
7,"2"
8,"2"
9,"0"
10,"0"
11,"0"
12,"0"
13,"0"
14,"0"
15,"0"
16,"0"
17,"0"
18,"0"
19,"0"
20,"1"
21,"3"
22,"24"
23,"82"
24,"138"
25,"164"
26,"170"
27,"143"
28,"140"
29,"159"
30,"131"
31,"145"
32,"143"
33,"123"
34,"163"
35,"138"
36,"131"
37,"167"
38,"118"
39,"118"
40,"135"
41,"133"
42,"118"
43,"128"
44,"143"
45,"140"
46,"138"
47,"140"
48,"141"
49,"127"
50,"130"
51,"133"
52,"127"
53,"131"
54,"111"
55,"136"
56,"126"
57,"138"
58,"130"
59,"130"
60,"136"
61,"119"
62,"130"
63,"120"
64,"137"
65,"135"
66,"104"
67,"128"
68,"117"
69,"100"
70,"143"
71,"155"
72,"179"
73,"194"
74,"236"
75,"189"
76,"189"
77,"165"
78,"188"
79,"177"
80,"204"
81,"226"
82,"387"
83,"661"
84,"933"
85,"1275"
86,"1385"
87,"1375"
88,"1241"
89,"856"
90,"600"
91,"369"
92,"255"
93,"183"
94,"142"
95,"120"
96,"110"
97,"124"
98,"112"
99,"121"
100,"141"
101,"113"
102,"141"
103,"128"
104,"119"
105,"119"
106,"118"
107,"119"
108,"129"
109,"121"
110,"125"
111,"158"
112,"176"
113,"192"
114,"248"
115,"240"
116,"230"
117,"207"
118,"197"
119,"190"
120,"199"
121,"191"
122,"176"
123,"177"
124,"201"
125,"215"
126,"274"
127,"331"
128,"450"
129,"725"
130,"983"
131,"1338"
132,"1646"
133,"1844"
134,"2003"
135,"1898"
136,"1679"
137,"1512"
138,"1303"
139,"1356"
140,"1313"
141,"1441"
142,"1432"
143,"1512"
144,"1582"
145,"1775"
146,"1734"
147,"1753"
148,"1584"
149,"1330"
150,"991"
151,"687"
152,"512"
153,"333"
154,"305"
155,"316"
156,"321"
157,"376"
158,"449"
159,"552"
160,"712"
161,"1053"
162,"1395"
163,"1735"
164,"1922"
165,"1917"
166,"1757"
167,"1345"
168,"1054"
169,"709"
170,"457"
171,"339"
172,"227"
173,"214"
174,"286"
175,"310"
176,"358"
177,"507"
178,"563"
179,"687"
180,"818"
181,"958"
182,"936"
183,"1019"
184,"930"
185,"766"
186,"667"
187,"509"
188,"415"
189,"319"
190,"232"
191,"238"
192,"206"
193,"201"
194,"226"
195,"215"
196,"261"
197,"293"
198,"282"
199,"331"
200,"324"
201,"320"
202,"309"
203,"284"
204,"244"
205,"235"
206,"251"
207,"246"
208,"230"
209,"216"
210,"244"
211,"233"
212,"241"
213,"239"
214,"257"
215,"268"
216,"289"
217,"345"
218,"445"
219,"586"
220,"767"
221,"1030"
222,"1248"
223,"1431"
224,"1430"
225,"1425"
226,"1194"
227,"989"
228,"780"
229,"668"
230,"458"
231,"436"
232,"437"
233,"376"
234,"338"
235,"349"
236,"363"
237,"326"
238,"375"
239,"370"
240,"421"
241,"472"
242,"480"
243,"508"
244,"528"
245,"606"
246,"565"
247,"493"
248,"493"
249,"421"
250,"397"
251,"377"
252,"404"
253,"355"
254,"360"
255,"384"
256,"338"
257,"386"
258,"342"
259,"393"
260,"362"
261,"401"
262,"391"
263,"388"
264,"425"
265,"417"
266,"376"
267,"438"
268,"431"
269,"416"
270,"431"
271,"424"
272,"401"
273,"480"
274,"408"
275,"425"
276,"445"
277,"434"
278,"411"
279,"456"
280,"465"
281,"452"
282,"460"
283,"447"
284,"454"
285,"447"
286,"473"
287,"466"
288,"513"
289,"599"
290,"631"
291,"641"
292,"623"
293,"619"
294,"627"
295,"622"
296,"580"
297,"588"
298,"545"
299,"544"
300,"517"
301,"532"
302,"506"
303,"548"
304,"576"
305,"588"
306,"651"
307,"692"
308,"832"
309,"1120"
310,"1723"
311,"2727"
312,"4438"
313,"6542"
314,"9349"
315,"12634"
316,"15482"
317,"17267"
318,"18089"
319,"17174"
320,"14586"
321,"11996"
322,"8654"
323,"6022"
324,"3879"
325,"2373"
326,"1464"
327,"907"
328,"742"
329,"618"
330,"565"
331,"549"
