Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"L1-3AE -1phi 4"
Duration Time,60.106
Ambient Temperature,"101.9"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"601548"
Raw Accumulated Counts,"621235"
Valid Count Last Packet,"9529"
Raw Count Last Packet,"9864"
Live Time,58.667992
HV DAC,171
HV ADC,40.000000
Filament DAC,200
Filament ADC,5.000000
Pulse Length,201
Pulse Period,254
Filter,2
eV per channel,20.0883
Number of Channels,2048
Vacuum,762
Channel#,Intensity
0,"1779"
1,"1456"
2,"940"
3,"512"
4,"206"
5,"72"
6,"22"
7,"3"
8,"2"
9,"0"
10,"0"
11,"0"
12,"0"
13,"1"
14,"0"
15,"0"
16,"0"
17,"0"
18,"1"
19,"0"
20,"0"
21,"3"
22,"26"
23,"76"
24,"131"
25,"171"
26,"155"
27,"156"
28,"164"
29,"135"
30,"136"
31,"145"
32,"124"
33,"144"
34,"139"
35,"132"
36,"131"
37,"142"
38,"136"
39,"142"
40,"123"
41,"139"
42,"148"
43,"134"
44,"139"
45,"177"
46,"159"
47,"159"
48,"175"
49,"138"
50,"136"
51,"132"
52,"135"
53,"151"
54,"123"
55,"144"
56,"140"
57,"155"
58,"124"
59,"134"
60,"136"
61,"135"
62,"137"
63,"125"
64,"101"
65,"140"
66,"100"
67,"119"
68,"116"
69,"108"
70,"123"
71,"111"
72,"153"
73,"186"
74,"196"
75,"194"
76,"159"
77,"146"
78,"154"
79,"138"
80,"176"
81,"298"
82,"393"
83,"688"
84,"905"
85,"1199"
86,"1377"
87,"1343"
88,"1137"
89,"869"
90,"547"
91,"341"
92,"220"
93,"162"
94,"137"
95,"119"
96,"124"
97,"120"
98,"127"
99,"127"
100,"129"
101,"119"
102,"118"
103,"107"
104,"93"
105,"96"
106,"115"
107,"120"
108,"104"
109,"127"
110,"132"
111,"156"
112,"172"
113,"228"
114,"248"
115,"212"
116,"233"
117,"222"
118,"195"
119,"182"
120,"185"
121,"179"
122,"191"
123,"173"
124,"202"
125,"209"
126,"266"
127,"360"
128,"519"
129,"677"
130,"962"
131,"1319"
132,"1723"
133,"1899"
134,"2044"
135,"1881"
136,"1695"
137,"1494"
138,"1360"
139,"1282"
140,"1344"
141,"1400"
142,"1414"
143,"1495"
144,"1628"
145,"1646"
146,"1749"
147,"1732"
148,"1648"
149,"1359"
150,"1014"
151,"665"
152,"515"
153,"363"
154,"297"
155,"264"
156,"285"
157,"315"
158,"375"
159,"453"
160,"566"
161,"690"
162,"953"
163,"1213"
164,"1358"
165,"1319"
166,"1162"
167,"929"
168,"749"
169,"526"
170,"331"
171,"267"
172,"203"
173,"186"
174,"187"
175,"227"
176,"306"
177,"356"
178,"388"
179,"431"
180,"489"
181,"524"
182,"590"
183,"537"
184,"545"
185,"496"
186,"421"
187,"357"
188,"260"
189,"212"
190,"177"
191,"176"
192,"154"
193,"168"
194,"180"
195,"166"
196,"174"
197,"218"
198,"226"
199,"217"
200,"234"
201,"215"
202,"215"
203,"224"
204,"197"
205,"192"
206,"199"
207,"181"
208,"179"
209,"201"
210,"201"
211,"214"
212,"208"
213,"229"
214,"213"
215,"236"
216,"258"
217,"282"
218,"300"
219,"348"
220,"364"
221,"461"
222,"482"
223,"510"
224,"561"
225,"485"
226,"484"
227,"413"
228,"354"
229,"304"
230,"283"
231,"249"
232,"257"
233,"228"
234,"276"
235,"263"
236,"239"
237,"268"
238,"311"
239,"258"
240,"304"
241,"326"
242,"319"
243,"337"
244,"317"
245,"322"
246,"298"
247,"310"
