Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"L1-3AE 0phi 2"
Duration Time,60.101
Ambient Temperature,"102.6"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"607134"
Raw Accumulated Counts,"627490"
Valid Count Last Packet,"9601"
Raw Count Last Packet,"9931"
Live Time,58.636993
HV DAC,171
HV ADC,40.000000
Filament DAC,200
Filament ADC,5.000000
Pulse Length,201
Pulse Period,254
Filter,2
eV per channel,20.085
Number of Channels,2048
Vacuum,762
Channel#,Intensity
0,"1742"
1,"1424"
2,"894"
3,"506"
4,"227"
5,"62"
6,"14"
7,"6"
8,"1"
9,"1"
10,"0"
11,"0"
12,"0"
13,"0"
14,"0"
15,"0"
16,"0"
17,"0"
18,"0"
19,"0"
20,"0"
21,"2"
22,"25"
23,"101"
24,"161"
25,"165"
26,"170"
27,"168"
28,"138"
29,"149"
30,"168"
31,"149"
32,"138"
33,"147"
34,"149"
35,"133"
36,"161"
37,"128"
38,"145"
39,"133"
40,"130"
41,"152"
42,"143"
43,"141"
44,"155"
45,"124"
46,"153"
47,"167"
48,"152"
49,"164"
50,"135"
51,"138"
52,"137"
53,"143"
54,"151"
55,"139"
56,"131"
57,"131"
58,"143"
59,"132"
60,"110"
61,"148"
62,"136"
63,"123"
64,"130"
65,"99"
66,"100"
67,"144"
68,"126"
69,"117"
70,"135"
71,"158"
72,"209"
73,"202"
74,"187"
75,"221"
76,"184"
77,"179"
78,"165"
79,"174"
80,"190"
81,"247"
82,"360"
83,"557"
84,"875"
85,"1039"
86,"1225"
87,"1190"
88,"1001"
89,"778"
90,"505"
91,"346"
92,"213"
93,"183"
94,"139"
95,"105"
96,"126"
97,"128"
98,"106"
99,"153"
100,"127"
101,"120"
102,"106"
103,"115"
104,"118"
105,"102"
106,"108"
107,"131"
108,"137"
109,"112"
110,"142"
111,"152"
112,"200"
113,"217"
114,"236"
115,"261"
116,"215"
117,"207"
118,"217"
119,"207"
120,"186"
121,"190"
122,"196"
123,"188"
124,"215"
125,"229"
126,"284"
127,"350"
128,"494"
129,"686"
130,"967"
131,"1247"
132,"1653"
133,"1921"
134,"2046"
135,"1863"
136,"1689"
137,"1449"
138,"1356"
139,"1367"
140,"1330"
141,"1395"
142,"1485"
143,"1555"
144,"1654"
145,"1840"
146,"1936"
147,"1816"
148,"1617"
149,"1357"
150,"1047"
151,"716"
152,"505"
153,"394"
154,"348"
155,"317"
156,"341"
157,"403"
158,"543"
159,"807"
160,"1075"
161,"1666"
162,"2283"
163,"2805"
164,"3330"
165,"3285"
166,"2972"
167,"2408"
168,"1661"
169,"1089"
170,"704"
171,"394"
172,"306"
173,"260"
174,"326"
175,"390"
176,"554"
177,"583"
178,"726"
179,"746"
180,"769"
181,"741"
182,"705"
183,"667"
184,"605"
185,"527"
186,"438"
187,"337"
188,"268"
189,"240"
190,"189"
191,"176"
192,"178"
193,"169"
194,"206"
195,"184"
196,"187"
197,"210"
198,"242"
199,"236"
200,"262"
201,"223"
202,"233"
203,"222"
204,"203"
205,"211"
206,"208"
207,"201"
208,"212"
209,"210"
210,"176"
211,"241"
212,"204"
213,"211"
214,"223"
215,"226"
216,"234"
217,"293"
218,"267"
219,"321"
220,"328"
221,"391"
222,"395"
223,"416"
224,"361"
225,"359"
226,"343"
227,"297"
228,"268"
229,"257"
230,"249"
231,"239"
232,"235"
233,"252"
234,"256"
235,"274"
236,"294"
237,"288"
238,"311"
239,"269"
240,"314"
241,"309"
242,"319"
243,"325"
244,"360"
245,"352"
246,"299"
247,"332"
248,"309"
249,"303"
250,"319"
251,"298"
252,"328"
253,"333"
254,"313"
255,"310"
256,"328"
257,"291"
258,"292"
259,"296"
260,"279"
261,"277"
262,"308"
263,"286"
264,"288"
265,"311"
266,"268"
267,"265"
268,"307"
269,"342"
270,"272"
271,"282"
272,"325"
273,"299"
274,"317"
275,"330"
276,"296"
277,"301"
278,"315"
279,"315"
280,"324"
281,"355"
282,"382"
283,"347"
284,"357"
285,"389"
286,"383"
287,"412"
288,"418"
289,"432"
290,"453"
291,"511"
292,"499"
293,"524"
294,"547"
295,"514"
296,"560"
297,"547"
298,"502"
299,"484"
300,"412"
301,"393"
302,"415"
303,"377"
304,"408"
305,"388"
306,"446"
307,"404"
308,"437"
309,"499"
310,"516"
311,"567"
312,"686"
313,"872"
314,"1010"
315,"1205"
316,"1424"
317,"1526"
318,"1592"
319,"1521"
320,"1356"
321,"1188"
322,"919"
323,"771"
324,"599"
325,"527"
326,"441"
327,"437"
328,"361"
329,"444"
330,"399"
331,"408"
332,"424"
333,"425"
334,"431"
335,"442"
336,"418"
337,"443"
338,"456"
339,"468"
340,"461"
341,"455"
342,"477"
343,"499"
344,"505"
345,"533"
346,"534"
347,"563"
348,"585"
349,"692"
350,"623"
351,"628"
352,"658"
353,"657"
354,"626"
355,"574"
356,"588"
357,"618"
358,"694"
359,"675"
360,"759"
361,"813"
362,"862"
363,"802"
364,"874"
365,"1040"
366,"1003"
367,"1152"
368,"1211"
369,"1335"
370,"1388"
371,"1415"
372,"1267"
373,"1218"
374,"1096"
375,"974"
376,"827"
377,"644"
378,"561"
379,"487"
380,"439"
381,"439"
382,"429"
383,"396"
384,"416"
385,"399"
386,"386"
387,"415"
388,"418"
389,"431"
390,"397"
391,"427"
392,"486"
393,"518"
394,"551"
395,"528"
396,"591"
397,"623"
398,"660"
399,"649"
400,"679"
401,"641"
402,"661"
403,"599"
404,"602"
405,"531"
406,"496"
407,"532"
408,"524"
409,"473"
410,"500"
411,"495"
412,"464"
413,"451"
414,"479"
415,"476"
416,"445"
417,"451"
418,"388"
419,"412"
420,"400"
421,"416"
422,"386"
423,"453"
