Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"L1-3CDAE 0phi 0"
Duration Time,60.098
Ambient Temperature,"99.9"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"622852"
Raw Accumulated Counts,"643907"
Valid Count Last Packet,"9727"
Raw Count Last Packet,"10038"
Live Time,58.564026
HV DAC,171
HV ADC,40.000000
Filament DAC,200
Filament ADC,5.000000
Pulse Length,201
Pulse Period,254
Filter,2
eV per channel,20.085
Number of Channels,2048
Vacuum,763
Channel#,Intensity
0,"1823"
1,"1435"
2,"956"
3,"505"
4,"229"
5,"71"
6,"13"
7,"5"
8,"1"
9,"1"
10,"0"
11,"0"
12,"0"
13,"0"
14,"0"
15,"1"
16,"0"
17,"0"
18,"0"
19,"0"
20,"0"
21,"3"
22,"27"
23,"101"
24,"171"
25,"193"
26,"188"
27,"167"
28,"165"
29,"177"
30,"179"
31,"145"
32,"175"
33,"170"
34,"149"
35,"134"
36,"146"
37,"147"
38,"138"
39,"135"
40,"145"
41,"161"
42,"132"
43,"144"
44,"157"
45,"155"
46,"160"
47,"138"
48,"144"
49,"170"
50,"164"
51,"141"
52,"147"
53,"165"
54,"135"
55,"155"
56,"135"
57,"139"
58,"153"
59,"140"
60,"132"
61,"114"
62,"121"
63,"143"
64,"129"
65,"123"
66,"145"
67,"131"
68,"111"
69,"119"
70,"146"
71,"150"
72,"141"
73,"192"
74,"232"
75,"210"
76,"202"
77,"174"
78,"201"
79,"168"
80,"184"
81,"275"
82,"458"
83,"685"
84,"1014"
85,"1299"
86,"1472"
87,"1471"
88,"1189"
89,"891"
90,"572"
91,"406"
92,"238"
93,"187"
94,"155"
95,"142"
96,"121"
97,"113"
98,"133"
99,"133"
100,"116"
101,"122"
102,"138"
103,"111"
104,"130"
105,"123"
106,"130"
107,"122"
108,"126"
109,"133"
110,"149"
111,"161"
112,"200"
113,"208"
114,"220"
115,"247"
116,"208"
117,"205"
118,"197"
119,"218"
120,"181"
121,"159"
122,"176"
123,"158"
124,"192"
125,"251"
126,"262"
127,"337"
128,"470"
129,"626"
130,"916"
131,"1281"
132,"1672"
133,"1991"
134,"1927"
135,"1854"
136,"1612"
137,"1427"
138,"1313"
139,"1265"
140,"1332"
141,"1387"
142,"1459"
143,"1498"
144,"1649"
145,"1764"
146,"1803"
147,"1797"
148,"1695"
149,"1307"
150,"995"
151,"719"
152,"465"
153,"362"
154,"310"
155,"311"
156,"336"
157,"437"
158,"571"
159,"731"
160,"1090"
161,"1545"
162,"2228"
163,"2626"
164,"3143"
165,"2940"
166,"2679"
167,"2242"
168,"1602"
169,"976"
170,"652"
171,"413"
172,"309"
173,"259"
174,"304"
175,"390"
176,"488"
177,"577"
178,"651"
179,"668"
180,"652"
181,"608"
182,"581"
183,"545"
184,"483"
185,"434"
186,"369"
187,"295"
188,"223"
189,"218"
190,"193"
191,"167"
192,"181"
193,"167"
194,"164"
195,"178"
196,"216"
197,"208"
198,"211"
199,"235"
200,"207"
201,"205"
202,"221"
203,"199"
204,"206"
205,"186"
206,"203"
207,"209"
208,"201"
209,"181"
210,"203"
211,"187"
212,"219"
213,"218"
214,"205"
215,"232"
216,"256"
217,"250"
218,"263"
219,"299"
220,"302"
221,"325"
222,"361"
223,"397"
224,"390"
225,"329"
226,"338"
227,"324"
228,"305"
229,"291"
230,"286"
231,"329"
232,"306"
233,"339"
234,"357"
235,"352"
236,"391"
237,"404"
238,"391"
239,"379"
240,"395"
241,"404"
242,"395"
243,"378"
244,"378"
245,"385"
246,"364"
247,"314"
248,"297"
249,"329"
250,"345"
251,"309"
252,"292"
253,"283"
254,"290"
255,"275"
256,"296"
257,"329"
258,"320"
259,"325"
260,"312"
261,"364"
262,"324"
263,"369"
264,"362"
265,"363"
266,"344"
267,"373"
268,"353"
269,"320"
270,"377"
271,"346"
272,"341"
273,"374"
274,"365"
275,"389"
276,"387"
277,"383"
278,"393"
279,"414"
280,"419"
281,"475"
282,"454"
283,"416"
284,"468"
285,"488"
286,"465"
287,"474"
288,"401"
289,"392"
290,"397"
291,"380"
292,"364"
293,"413"
294,"387"
295,"402"
296,"415"
297,"419"
298,"374"
299,"406"
300,"423"
301,"395"
302,"412"
303,"381"
304,"430"
305,"383"
306,"425"
307,"422"
308,"435"
309,"468"
310,"518"
311,"557"
312,"640"
313,"757"
314,"830"
315,"990"
316,"1145"
317,"1194"
318,"1201"
319,"1232"
320,"1048"
321,"861"
322,"728"
323,"613"
324,"549"
325,"490"
326,"409"
327,"421"
328,"413"
329,"400"
330,"397"
331,"394"
332,"380"
333,"423"
334,"427"
335,"456"
336,"426"
337,"413"
338,"475"
339,"465"
340,"484"
341,"466"
342,"491"
343,"545"
344,"562"
345,"514"
346,"568"
347,"601"
348,"628"
349,"628"
350,"622"
351,"681"
352,"659"
353,"690"
354,"588"
355,"628"
356,"638"
357,"648"
358,"725"
359,"715"
360,"733"
361,"772"
362,"779"
363,"772"
364,"870"
365,"869"
366,"923"
367,"1018"
368,"1011"
369,"1123"
370,"1154"
371,"1164"
372,"1135"
373,"1009"
374,"935"
375,"775"
376,"697"
377,"597"
378,"505"
379,"487"
380,"434"
381,"438"
382,"408"
383,"447"
384,"422"
385,"446"
386,"428"
387,"440"
388,"478"
389,"467"
390,"488"
391,"512"
392,"519"
393,"539"
394,"581"
395,"599"
396,"638"
397,"590"
398,"685"
399,"692"
400,"735"
401,"693"
402,"659"
403,"675"
404,"610"
405,"579"
406,"574"
407,"593"
408,"546"
409,"550"
410,"609"
411,"578"
412,"543"
413,"536"
414,"529"
415,"493"
416,"466"
417,"469"
418,"448"
419,"412"
420,"403"
421,"429"
422,"423"
423,"459"
424,"447"
425,"448"
426,"454"
427,"402"
428,"461"
429,"474"
430,"461"
431,"485"
432,"470"
433,"467"
434,"420"
435,"444"
436,"427"
437,"428"
438,"440"
439,"458"
440,"498"
441,"465"
442,"462"
443,"518"
444,"508"
445,"514"
446,"518"
447,"482"
448,"492"
449,"485"
450,"498"
451,"465"
452,"439"
453,"469"
454,"450"
455,"484"
456,"437"
457,"410"
458,"454"
459,"440"
460,"452"
461,"444"
462,"429"
463,"438"
464,"457"
465,"463"
466,"445"
467,"489"
468,"466"
469,"496"
470,"510"
471,"530"
472,"544"
473,"567"
474,"554"
475,"553"
476,"557"
477,"541"
478,"540"
479,"506"
480,"501"
481,"460"
482,"463"
483,"486"
484,"471"
485,"387"
486,"448"
487,"465"
488,"479"
489,"480"
490,"421"
491,"452"
492,"430"
493,"412"
494,"444"
495,"436"
496,"467"
497,"464"
498,"450"
499,"411"
500,"441"
501,"429"
502,"455"
503,"448"
504,"457"
505,"444"
