Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"L1-4C 0phi 2"
Duration Time,60.097
Ambient Temperature,"100.1"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"611549"
Raw Accumulated Counts,"631687"
Valid Count Last Packet,"9688"
Raw Count Last Packet,"9967"
Live Time,58.609009
HV DAC,171
HV ADC,40.000000
Filament DAC,200
Filament ADC,5.000000
Pulse Length,201
Pulse Period,254
Filter,2
eV per channel,20.085
Number of Channels,2048
Vacuum,754
Channel#,Intensity
0,"1785"
1,"1482"
2,"943"
3,"530"
4,"192"
5,"63"
6,"19"
7,"3"
8,"1"
9,"0"
10,"0"
11,"0"
12,"0"
13,"0"
14,"0"
15,"0"
16,"0"
17,"0"
18,"0"
19,"0"
20,"0"
21,"4"
22,"33"
23,"94"
24,"147"
25,"177"
26,"158"
27,"154"
28,"191"
29,"149"
30,"164"
31,"165"
32,"147"
33,"129"
34,"141"
35,"169"
36,"148"
37,"143"
38,"125"
39,"126"
40,"154"
41,"151"
42,"140"
43,"132"
44,"182"
45,"168"
46,"152"
47,"156"
48,"171"
49,"145"
50,"142"
51,"151"
52,"132"
53,"130"
54,"140"
55,"150"
56,"127"
57,"126"
58,"152"
59,"148"
60,"156"
61,"131"
62,"120"
63,"125"
64,"125"
65,"127"
66,"117"
67,"118"
68,"120"
69,"124"
70,"150"
71,"145"
72,"159"
73,"183"
74,"189"
75,"172"
76,"200"
77,"159"
78,"161"
79,"160"
80,"216"
81,"284"
82,"454"
83,"805"
84,"1076"
85,"1453"
86,"1544"
87,"1466"
88,"1333"
89,"959"
90,"619"
91,"404"
92,"275"
93,"193"
94,"152"
95,"143"
96,"124"
97,"126"
98,"132"
99,"122"
100,"149"
101,"111"
102,"108"
103,"122"
104,"126"
105,"113"
106,"112"
107,"107"
108,"122"
109,"118"
110,"150"
111,"185"
112,"173"
113,"186"
114,"231"
115,"242"
116,"230"
117,"223"
118,"205"
119,"175"
120,"180"
121,"165"
122,"168"
123,"170"
124,"214"
125,"258"
126,"286"
127,"425"
128,"556"
129,"789"
130,"1087"
131,"1430"
132,"1810"
133,"1968"
134,"2101"
135,"1951"
136,"1676"
137,"1491"
138,"1343"
139,"1399"
140,"1382"
141,"1380"
142,"1492"
143,"1465"
144,"1679"
145,"1751"
146,"1886"
147,"1697"
148,"1629"
149,"1356"
150,"1015"
151,"696"
152,"518"
153,"391"
154,"300"
155,"306"
156,"341"
157,"387"
158,"460"
159,"641"
160,"884"
161,"1304"
162,"1831"
163,"2176"
164,"2536"
165,"2530"
166,"2287"
167,"1854"
168,"1304"
169,"843"
170,"540"
171,"326"
172,"251"
173,"251"
174,"270"
175,"379"
176,"458"
177,"524"
178,"662"
179,"626"
180,"691"
181,"687"
182,"722"
183,"674"
184,"622"
185,"595"
186,"455"
187,"349"
188,"304"
189,"243"
190,"200"
191,"192"
192,"156"
193,"179"
194,"208"
195,"209"
196,"187"
197,"202"
198,"238"
199,"266"
200,"282"
201,"225"
202,"223"
203,"215"
204,"200"
205,"215"
206,"192"
207,"205"
208,"192"
209,"203"
210,"191"
211,"219"
212,"218"
213,"240"
214,"271"
215,"268"
216,"285"
217,"339"
218,"355"
219,"354"
220,"396"
221,"403"
222,"411"
223,"417"
224,"367"
225,"383"
226,"331"
227,"334"
228,"269"
229,"247"
230,"208"
231,"229"
232,"243"
233,"221"
234,"253"
235,"261"
236,"244"
237,"289"
238,"278"
239,"313"
240,"302"
241,"272"
242,"311"
243,"313"
244,"312"
245,"320"
246,"321"
247,"306"
248,"272"
249,"291"
250,"298"
251,"277"
252,"303"
253,"320"
254,"303"
255,"320"
256,"297"
257,"305"
258,"295"
259,"311"
260,"289"
261,"276"
262,"293"
263,"320"
264,"264"
265,"306"
266,"290"
267,"317"
268,"300"
269,"306"
270,"329"
271,"372"
272,"377"
273,"341"
274,"325"
275,"349"
276,"309"
277,"342"
278,"357"
279,"341"
280,"381"
281,"339"
282,"390"
283,"407"
284,"380"
285,"409"
286,"417"
287,"449"
288,"478"
289,"447"
290,"438"
291,"458"
292,"415"
293,"440"
294,"413"
295,"416"
296,"367"
297,"396"
298,"356"
299,"381"
300,"367"
301,"368"
302,"413"
303,"442"
304,"407"
305,"405"
306,"446"
307,"461"
308,"485"
309,"454"
310,"497"
311,"582"
312,"682"
313,"821"
314,"1047"
315,"1142"
316,"1334"
317,"1501"
318,"1448"
319,"1478"
320,"1281"
321,"1126"
322,"961"
323,"771"
324,"690"
325,"580"
326,"506"
327,"478"
328,"469"
329,"455"
330,"446"
331,"416"
332,"435"
333,"409"
334,"447"
335,"394"
336,"438"
337,"456"
338,"488"
339,"464"
340,"476"
341,"503"
342,"495"
343,"505"
344,"533"
345,"531"
346,"611"
347,"635"
348,"564"
349,"615"
350,"605"
351,"681"
352,"618"
353,"691"
354,"673"
355,"622"
356,"621"
357,"652"
358,"702"
359,"661"
360,"717"
361,"750"
362,"778"
363,"898"
364,"826"
365,"906"
366,"994"
367,"1018"
368,"1164"
369,"1147"
370,"1198"
371,"1215"
372,"1154"
373,"1055"
374,"949"
375,"827"
376,"701"
377,"563"
378,"490"
379,"506"
380,"504"
381,"456"
382,"408"
383,"436"
384,"395"
385,"382"
386,"402"
387,"395"
388,"453"
389,"423"
390,"384"
391,"405"
392,"413"
393,"445"
394,"461"
395,"499"
396,"543"
397,"599"
398,"625"
399,"633"
400,"704"
401,"682"
402,"637"
403,"588"
404,"588"
405,"553"
406,"558"
407,"516"
408,"592"
409,"584"
410,"639"
411,"549"
412,"602"
413,"536"
414,"555"
415,"508"
416,"518"
417,"486"
418,"497"
419,"496"
420,"473"
421,"502"
422,"513"
423,"549"
424,"490"
425,"543"
426,"548"
427,"496"
428,"574"
429,"589"
430,"591"
431,"612"
432,"568"
433,"569"
434,"591"
435,"568"
436,"557"
437,"553"
438,"527"
439,"570"
