Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"L1-4D -1phi 2"
Duration Time,60.085
Ambient Temperature,"102.8"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"648051"
Raw Accumulated Counts,"670247"
Valid Count Last Packet,"10010"
Raw Count Last Packet,"10359"
Live Time,58.487007
HV DAC,171
HV ADC,40.000000
Filament DAC,200
Filament ADC,5.000000
Pulse Length,201
Pulse Period,254
Filter,2
eV per channel,20.0867
Number of Channels,2048
Vacuum,764
Channel#,Intensity
0,"1731"
1,"1490"
2,"976"
3,"473"
4,"233"
5,"75"
6,"25"
7,"6"
8,"2"
9,"0"
10,"0"
11,"1"
12,"0"
13,"0"
14,"0"
15,"0"
16,"0"
17,"0"
18,"0"
19,"0"
20,"0"
21,"5"
22,"50"
23,"103"
24,"163"
25,"185"
26,"197"
27,"183"
28,"164"
29,"197"
30,"162"
31,"172"
32,"160"
33,"165"
34,"158"
35,"154"
36,"164"
37,"152"
38,"157"
39,"159"
40,"148"
41,"154"
42,"157"
43,"160"
44,"125"
45,"152"
46,"169"
47,"139"
48,"158"
49,"170"
50,"159"
51,"138"
52,"149"
53,"139"
54,"142"
55,"161"
56,"152"
57,"163"
58,"153"
59,"143"
60,"165"
61,"141"
62,"131"
63,"151"
64,"144"
65,"123"
66,"127"
67,"126"
68,"130"
69,"143"
70,"172"
71,"152"
72,"178"
73,"177"
74,"228"
75,"191"
76,"174"
77,"227"
78,"184"
79,"169"
80,"259"
81,"315"
82,"567"
83,"942"
84,"1380"
85,"1712"
86,"2068"
87,"1883"
88,"1681"
89,"1191"
90,"788"
91,"517"
92,"360"
93,"242"
94,"183"
95,"165"
96,"143"
97,"121"
98,"123"
99,"133"
100,"118"
101,"120"
102,"139"
103,"131"
104,"116"
105,"134"
106,"94"
107,"122"
108,"130"
109,"144"
110,"166"
111,"157"
112,"190"
113,"197"
114,"226"
115,"249"
116,"214"
117,"211"
118,"187"
119,"214"
120,"202"
121,"199"
122,"186"
123,"199"
124,"232"
125,"206"
126,"275"
127,"347"
128,"481"
129,"654"
130,"939"
131,"1256"
132,"1600"
133,"1889"
134,"1978"
135,"1927"
136,"1718"
137,"1459"
138,"1326"
139,"1256"
140,"1276"
141,"1416"
142,"1435"
143,"1517"
144,"1522"
145,"1644"
146,"1696"
147,"1754"
148,"1621"
149,"1318"
150,"1066"
151,"693"
152,"483"
153,"395"
154,"347"
155,"337"
156,"360"
157,"433"
158,"517"
159,"752"
160,"1055"
161,"1555"
162,"2130"
163,"2841"
164,"3227"
165,"3238"
166,"2839"
167,"2360"
168,"1710"
169,"1132"
170,"701"
171,"425"
172,"302"
173,"280"
174,"298"
175,"350"
176,"516"
177,"636"
178,"691"
179,"762"
180,"770"
181,"754"
182,"700"
183,"664"
184,"583"
185,"522"
186,"442"
187,"360"
188,"271"
189,"262"
190,"200"
191,"203"
192,"203"
193,"161"
194,"187"
195,"191"
196,"210"
197,"237"
198,"219"
199,"238"
200,"238"
201,"237"
202,"208"
203,"219"
204,"201"
205,"208"
206,"192"
207,"185"
208,"162"
209,"188"
210,"218"
211,"199"
212,"210"
213,"186"
214,"220"
215,"212"
216,"227"
217,"284"
218,"285"
219,"306"
220,"354"
221,"386"
222,"382"
223,"375"
224,"371"
225,"371"
226,"340"
227,"288"
228,"278"
229,"221"
230,"220"
231,"228"
232,"240"
233,"260"
234,"244"
235,"307"
236,"279"
237,"320"
238,"336"
239,"359"
240,"410"
241,"414"
242,"461"
243,"465"
244,"559"
245,"513"
246,"583"
247,"542"
248,"508"
249,"538"
250,"497"
251,"487"
252,"446"
253,"431"
254,"474"
255,"411"
256,"357"
257,"395"
258,"394"
259,"333"
260,"338"
261,"308"
262,"331"
263,"294"
264,"318"
265,"293"
266,"322"
267,"285"
268,"299"
269,"298"
270,"350"
271,"354"
272,"292"
273,"319"
274,"336"
275,"333"
276,"335"
277,"337"
278,"365"
279,"405"
280,"381"
281,"417"
282,"440"
283,"484"
284,"518"
285,"513"
286,"568"
287,"543"
288,"591"
289,"477"
290,"477"
291,"469"
292,"415"
293,"377"
294,"415"
295,"376"
296,"382"
297,"344"
298,"344"
299,"348"
300,"350"
301,"375"
302,"332"
303,"342"
304,"366"
305,"346"
306,"367"
307,"389"
308,"400"
309,"402"
310,"433"
311,"447"
312,"523"
313,"622"
314,"697"
315,"874"
316,"879"
317,"974"
318,"998"
319,"1096"
320,"914"
321,"925"
322,"811"
323,"749"
324,"722"
325,"629"
326,"594"
327,"537"
328,"562"
329,"522"
330,"466"
331,"441"
332,"479"
333,"499"
334,"473"
335,"520"
336,"526"
337,"518"
338,"574"
339,"565"
340,"647"
341,"592"
342,"603"
343,"622"
344,"596"
345,"621"
346,"613"
347,"582"
348,"618"
349,"589"
350,"634"
351,"617"
352,"576"
353,"591"
354,"589"
355,"578"
356,"601"
357,"598"
358,"626"
359,"706"
360,"738"
361,"731"
362,"786"
363,"911"
364,"846"
365,"871"
366,"927"
367,"970"
368,"1114"
369,"1124"
370,"1220"
371,"1245"
372,"1203"
373,"1068"
374,"1006"
375,"841"
376,"684"
377,"592"
378,"530"
379,"468"
380,"480"
381,"340"
382,"438"
383,"417"
384,"410"
385,"455"
386,"401"
387,"452"
388,"399"
389,"446"
390,"438"
391,"437"
392,"457"
393,"496"
394,"542"
395,"629"
396,"641"
397,"689"
398,"712"
399,"777"
400,"793"
401,"793"
402,"726"
403,"725"
404,"660"
405,"628"
406,"644"
407,"619"
408,"556"
409,"590"
410,"599"
411,"656"
412,"616"
413,"600"
414,"568"
415,"535"
416,"521"
417,"530"
418,"494"
419,"443"
420,"454"
421,"499"
422,"514"
423,"482"
424,"489"
425,"500"
426,"544"
427,"524"
428,"561"
429,"532"
430,"571"
431,"573"
432,"573"
433,"575"
434,"540"
435,"521"
436,"548"
437,"518"
438,"525"
439,"526"
440,"525"
441,"505"
442,"558"
443,"512"
444,"480"
445,"509"
446,"537"
447,"535"
448,"541"
449,"529"
450,"489"
451,"530"
452,"524"
453,"548"
454,"527"
455,"502"
456,"551"
457,"511"
458,"538"
459,"560"
460,"493"
461,"483"
462,"486"
463,"468"
464,"505"
465,"481"
466,"447"
467,"481"
468,"453"
469,"476"
470,"430"
471,"476"
472,"480"
473,"474"
474,"479"
475,"500"
476,"541"
477,"474"
478,"457"
479,"502"
480,"495"
481,"494"
482,"449"
483,"478"
484,"463"
485,"464"
486,"463"
487,"477"
488,"419"
489,"476"
490,"461"
491,"432"
492,"419"
493,"476"
494,"448"
495,"479"
496,"457"
497,"519"
498,"478"
499,"514"
500,"510"
501,"441"
502,"491"
503,"511"
504,"466"
505,"475"
506,"482"
507,"433"
508,"473"
509,"403"
510,"451"
511,"466"
512,"414"
513,"445"
514,"446"
515,"459"
516,"453"
517,"475"
518,"470"
519,"492"
520,"497"
521,"461"
522,"492"
523,"499"
524,"530"
525,"513"
526,"495"
527,"495"
528,"526"
529,"489"
530,"427"
531,"440"
532,"413"
533,"455"
534,"427"
535,"448"
536,"439"
537,"434"
538,"445"
539,"387"
540,"449"
541,"442"
542,"397"
543,"436"
544,"421"
545,"403"
546,"445"
547,"408"
548,"443"
549,"439"
550,"418"
551,"457"
552,"449"
553,"455"
554,"437"
555,"457"
556,"480"
557,"458"
558,"428"
559,"464"
560,"497"
561,"462"
562,"476"
563,"476"
564,"463"
565,"478"
566,"517"
567,"487"
568,"458"
569,"489"
570,"468"
571,"468"
572,"468"
573,"494"
574,"520"
575,"492"
576,"474"
577,"460"
578,"461"
579,"498"
580,"497"
581,"451"
582,"462"
583,"472"
584,"433"
585,"440"
586,"458"
587,"501"
588,"475"
589,"465"
590,"479"
591,"497"
592,"463"
593,"422"
594,"440"
595,"437"
596,"460"
597,"439"
598,"444"
599,"470"
600,"487"
601,"458"
602,"431"
603,"436"
604,"474"
605,"452"
606,"438"
607,"428"
608,"428"
609,"467"
610,"444"
611,"450"
612,"420"
613,"463"
614,"480"
615,"448"
616,"430"
617,"430"
618,"455"
619,"441"
620,"476"
621,"452"
622,"466"
623,"471"
624,"469"
625,"519"
626,"488"
627,"482"
628,"471"
629,"475"
630,"492"
631,"480"
632,"494"
633,"435"
634,"489"
635,"473"
636,"458"
637,"472"
638,"491"
639,"483"
640,"489"
641,"478"
642,"471"
643,"509"
644,"513"
645,"494"
646,"546"
647,"495"
648,"483"
649,"489"
650,"470"
651,"476"
652,"510"
653,"507"
654,"472"
655,"487"
656,"486"
657,"541"
658,"587"
659,"623"
660,"641"
661,"762"
662,"744"
663,"797"
664,"799"
665,"780"
666,"809"
667,"804"
668,"685"
669,"707"
670,"628"
671,"590"
672,"546"
673,"464"
674,"489"
675,"466"
676,"455"
677,"461"
678,"467"
679,"454"
680,"420"
681,"433"
682,"427"
683,"452"
684,"420"
685,"418"
686,"466"
687,"465"
688,"417"
689,"445"
690,"415"
691,"498"
692,"455"
693,"540"
694,"500"
695,"566"
696,"565"
697,"639"
698,"697"
699,"768"
700,"833"
701,"856"
702,"869"
703,"961"
704,"880"
705,"911"
706,"871"
707,"746"
708,"739"
709,"665"
710,"596"
711,"558"
712,"521"
713,"508"
714,"429"
715,"438"
716,"454"
717,"429"
718,"407"
719,"403"
720,"394"
721,"457"
722,"451"
723,"403"
724,"435"
725,"458"
726,"419"
727,"442"
728,"428"
729,"413"
730,"435"
731,"405"
732,"433"
733,"435"
734,"412"
735,"427"
736,"444"
737,"439"
738,"425"
739,"433"
740,"433"
741,"449"
742,"420"
743,"474"
744,"478"
745,"479"
746,"454"
747,"483"
748,"440"
749,"462"
750,"437"
751,"436"
752,"442"
753,"424"
754,"410"
755,"423"
756,"431"
757,"420"
758,"412"
759,"357"
760,"384"
761,"377"
762,"381"
763,"380"
764,"392"
765,"383"
766,"399"
767,"406"
768,"401"
769,"402"
770,"407"
771,"442"
772,"407"
773,"414"
774,"423"
775,"458"
776,"472"
777,"430"
778,"450"
779,"485"
780,"530"
781,"545"
782,"540"
783,"547"
784,"565"
785,"556"
786,"540"
787,"527"
788,"526"
789,"510"
790,"464"
791,"493"
792,"435"
793,"458"
794,"458"
795,"419"
796,"442"
797,"430"
798,"416"
799,"410"
800,"413"
801,"415"
802,"380"
803,"433"
804,"373"
805,"436"
806,"396"
807,"397"
808,"394"
809,"349"
810,"407"
811,"401"
812,"403"
813,"405"
814,"409"
815,"383"
816,"382"
817,"404"
818,"426"
819,"414"
820,"374"
821,"414"
822,"366"
823,"405"
824,"401"
825,"398"
826,"406"
827,"432"
828,"344"
829,"401"
830,"386"
831,"398"
832,"385"
833,"399"
834,"398"
835,"392"
836,"392"
837,"406"
838,"383"
839,"399"
840,"408"
841,"417"
842,"384"
843,"403"
844,"407"
845,"389"
846,"365"
847,"368"
848,"367"
849,"399"
850,"391"
851,"445"
852,"406"
853,"404"
854,"412"
855,"419"
856,"397"
857,"404"
858,"400"
859,"362"
860,"359"
861,"386"
862,"355"
863,"431"
864,"380"
865,"423"
866,"387"
867,"383"
868,"426"
869,"403"
870,"428"
871,"433"
872,"431"
873,"419"
874,"438"
875,"421"
876,"446"
877,"465"
