Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"L1-4E 0phi 2"
Duration Time,60.097
Ambient Temperature,"102.1"
Detector Temperature,"-15.5"
Valid Accumulated Counts,"633682"
Raw Accumulated Counts,"655399"
Valid Count Last Packet,"9988"
Raw Count Last Packet,"10315"
Live Time,58.507015
HV DAC,171
HV ADC,40.000000
Filament DAC,200
Filament ADC,5.000000
Pulse Length,201
Pulse Period,254
Filter,2
eV per channel,20.085
Number of Channels,2048
Vacuum,754
Channel#,Intensity
0,"1750"
1,"1460"
2,"981"
3,"538"
4,"219"
5,"84"
6,"10"
7,"3"
8,"0"
9,"1"
10,"1"
11,"0"
12,"0"
13,"0"
14,"1"
15,"0"
16,"0"
17,"0"
18,"0"
19,"0"
20,"0"
21,"1"
22,"30"
23,"104"
24,"140"
25,"171"
26,"176"
27,"180"
28,"159"
29,"186"
30,"155"
31,"172"
32,"171"
33,"145"
34,"149"
35,"143"
36,"164"
37,"150"
38,"168"
39,"151"
40,"142"
41,"143"
42,"140"
43,"144"
44,"140"
45,"169"
46,"185"
47,"173"
48,"179"
49,"162"
50,"167"
51,"147"
52,"161"
53,"155"
54,"161"
55,"134"
56,"132"
57,"133"
58,"140"
59,"138"
60,"146"
61,"154"
62,"137"
63,"135"
64,"127"
65,"118"
66,"135"
67,"115"
68,"133"
69,"138"
70,"116"
71,"151"
72,"146"
73,"179"
74,"167"
75,"153"
76,"178"
77,"169"
78,"150"
79,"178"
80,"211"
81,"311"
82,"506"
83,"910"
84,"1308"
85,"1707"
86,"1877"
87,"1803"
88,"1545"
89,"1130"
90,"763"
91,"470"
92,"300"
93,"196"
94,"175"
95,"138"
96,"125"
97,"145"
98,"117"
99,"141"
100,"136"
101,"122"
102,"115"
103,"115"
104,"127"
105,"115"
106,"125"
107,"109"
108,"136"
109,"118"
110,"143"
111,"158"
112,"198"
113,"204"
114,"195"
115,"213"
116,"225"
117,"231"
118,"203"
119,"188"
120,"199"
121,"158"
122,"179"
123,"193"
124,"227"
125,"248"
126,"264"
127,"373"
128,"497"
129,"694"
130,"995"
131,"1303"
132,"1681"
133,"1875"
134,"1997"
135,"1860"
136,"1582"
137,"1477"
138,"1354"
139,"1307"
140,"1362"
141,"1349"
142,"1430"
143,"1451"
144,"1526"
145,"1692"
146,"1782"
147,"1699"
148,"1552"
149,"1318"
150,"973"
151,"687"
152,"513"
153,"393"
154,"318"
155,"305"
156,"297"
157,"367"
158,"411"
159,"532"
160,"694"
161,"950"
162,"1302"
163,"1567"
164,"1764"
165,"1842"
166,"1641"
167,"1337"
168,"976"
169,"668"
170,"420"
171,"295"
172,"214"
173,"209"
174,"236"
175,"286"
176,"339"
177,"414"
178,"457"
179,"472"
180,"488"
181,"473"
182,"517"
183,"464"
184,"440"
185,"429"
186,"309"
187,"277"
188,"246"
189,"238"
190,"219"
191,"209"
192,"214"
193,"247"
194,"218"
195,"213"
196,"235"
197,"255"
198,"274"
199,"257"
200,"241"
201,"243"
202,"239"
203,"179"
204,"205"
205,"181"
206,"194"
207,"210"
208,"206"
209,"236"
210,"221"
211,"218"
212,"218"
213,"222"
214,"219"
215,"235"
216,"239"
217,"254"
218,"251"
219,"241"
220,"248"
221,"283"
222,"313"
223,"300"
224,"315"
225,"288"
226,"269"
227,"276"
228,"250"
229,"233"
230,"222"
231,"203"
232,"207"
233,"250"
234,"242"
235,"260"
236,"287"
237,"285"
238,"307"
239,"342"
240,"350"
241,"421"
242,"433"
243,"482"
244,"473"
245,"440"
246,"423"
247,"457"
248,"430"
249,"379"
250,"402"
251,"361"
252,"311"
253,"324"
254,"292"
255,"307"
256,"277"
257,"313"
258,"244"
259,"312"
260,"259"
261,"285"
262,"283"
263,"285"
264,"321"
265,"293"
266,"297"
267,"329"
268,"292"
269,"326"
270,"337"
271,"326"
272,"346"
273,"346"
274,"330"
275,"378"
276,"370"
277,"415"
278,"377"
279,"412"
280,"404"
281,"446"
282,"442"
283,"471"
284,"468"
285,"470"
286,"493"
287,"479"
288,"469"
289,"511"
290,"487"
291,"551"
292,"532"
293,"569"
294,"483"
295,"541"
296,"513"
297,"470"
298,"443"
299,"407"
300,"393"
301,"376"
302,"411"
303,"385"
304,"317"
305,"378"
306,"361"
307,"416"
