Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"L2-2B 1phi 1"
Duration Time,60.051
Ambient Temperature,"99.9"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"680095"
Raw Accumulated Counts,"704543"
Valid Count Last Packet,"10574"
Raw Count Last Packet,"10956"
Live Time,58.397995
HV DAC,171
HV ADC,40.000000
Filament DAC,200
Filament ADC,5.000000
Pulse Length,201
Pulse Period,254
Filter,2
eV per channel,20.0896
Number of Channels,2048
Vacuum,753
Channel#,Intensity
0,"1759"
1,"1413"
2,"925"
3,"477"
4,"222"
5,"69"
6,"32"
7,"4"
8,"3"
9,"0"
10,"0"
11,"0"
12,"1"
13,"0"
14,"0"
15,"0"
16,"0"
17,"0"
18,"0"
19,"0"
20,"1"
21,"5"
22,"32"
23,"111"
24,"165"
25,"167"
26,"187"
27,"152"
28,"186"
29,"168"
30,"134"
31,"157"
32,"175"
33,"153"
34,"157"
35,"139"
36,"151"
37,"150"
38,"161"
39,"147"
40,"157"
41,"137"
42,"151"
43,"147"
44,"141"
45,"164"
46,"173"
47,"154"
48,"173"
49,"123"
50,"150"
51,"132"
52,"147"
53,"157"
54,"137"
55,"129"
56,"152"
57,"149"
58,"142"
59,"156"
60,"149"
61,"161"
62,"134"
63,"115"
64,"114"
65,"122"
66,"104"
67,"109"
68,"117"
69,"125"
70,"139"
71,"179"
72,"186"
73,"211"
74,"229"
75,"210"
76,"223"
77,"172"
78,"179"
79,"176"
80,"197"
81,"297"
82,"424"
83,"623"
84,"962"
85,"1186"
86,"1360"
87,"1363"
88,"1123"
89,"790"
90,"550"
91,"382"
92,"241"
93,"201"
94,"133"
95,"126"
96,"144"
97,"145"
98,"157"
99,"154"
100,"141"
101,"156"
102,"159"
103,"136"
104,"134"
105,"123"
106,"103"
107,"140"
108,"118"
109,"156"
110,"142"
111,"174"
112,"205"
113,"195"
114,"224"
115,"232"
116,"225"
117,"216"
118,"222"
119,"190"
120,"208"
121,"184"
122,"160"
123,"166"
124,"195"
125,"237"
126,"278"
127,"381"
128,"521"
129,"739"
130,"966"
131,"1393"
132,"1670"
133,"1975"
134,"2034"
135,"1858"
136,"1658"
137,"1464"
138,"1309"
139,"1370"
140,"1348"
141,"1421"
142,"1498"
143,"1462"
144,"1606"
145,"1754"
146,"1719"
147,"1777"
148,"1557"
149,"1362"
150,"997"
151,"716"
152,"497"
153,"358"
154,"295"
155,"294"
156,"330"
157,"440"
158,"522"
159,"735"
160,"1088"
161,"1521"
162,"2196"
163,"2766"
164,"3134"
165,"3113"
166,"2756"
167,"2211"
168,"1508"
169,"1023"
170,"611"
171,"407"
172,"290"
173,"259"
174,"327"
175,"379"
176,"495"
177,"586"
178,"652"
179,"754"
180,"744"
181,"717"
182,"698"
183,"708"
184,"602"
185,"553"
186,"418"
187,"340"
188,"285"
189,"257"
190,"208"
191,"170"
192,"180"
193,"200"
194,"194"
195,"187"
196,"223"
197,"216"
198,"228"
199,"271"
200,"226"
201,"236"
202,"226"
203,"223"
204,"224"
205,"187"
206,"203"
207,"216"
208,"206"
209,"195"
210,"222"
211,"212"
212,"215"
213,"218"
214,"231"
215,"222"
216,"219"
217,"256"
218,"268"
219,"350"
220,"391"
221,"469"
222,"558"
223,"574"
224,"580"
225,"547"
226,"545"
227,"419"
228,"382"
229,"334"
230,"300"
231,"244"
232,"286"
233,"302"
234,"258"
235,"270"
236,"262"
237,"280"
238,"308"
239,"323"
240,"318"
241,"376"
242,"371"
243,"385"
244,"400"
245,"342"
246,"310"
247,"348"
248,"347"
249,"335"
250,"301"
251,"279"
252,"338"
253,"311"
254,"310"
255,"279"
256,"345"
257,"362"
258,"342"
259,"325"
260,"357"
261,"335"
262,"343"
263,"343"
264,"286"
265,"349"
266,"354"
267,"376"
268,"355"
269,"369"
270,"444"
271,"386"
272,"373"
273,"371"
274,"362"
275,"368"
276,"345"
277,"361"
278,"365"
279,"390"
280,"434"
281,"383"
282,"413"
283,"423"
284,"427"
285,"399"
286,"367"
287,"446"
288,"417"
289,"483"
290,"464"
291,"455"
292,"445"
293,"511"
294,"512"
295,"503"
296,"453"
297,"446"
298,"465"
299,"422"
300,"444"
301,"432"
302,"412"
303,"428"
304,"448"
305,"410"
306,"425"
307,"464"
308,"536"
309,"641"
310,"760"
311,"1053"
312,"1460"
313,"2048"
314,"2802"
315,"3503"
316,"4256"
317,"4718"
318,"4878"
319,"4642"
320,"4043"
321,"3359"
322,"2392"
323,"1801"
324,"1217"
325,"945"
326,"626"
327,"562"
328,"486"
329,"466"
330,"442"
331,"453"
332,"404"
333,"441"
334,"430"
335,"439"
336,"474"
337,"492"
338,"437"
339,"440"
340,"486"
341,"508"
342,"516"
343,"547"
344,"568"
345,"677"
346,"749"
347,"868"
348,"984"
349,"1036"
350,"1088"
351,"1143"
352,"1144"
353,"1022"
354,"932"
355,"820"
356,"815"
357,"760"
358,"765"
359,"720"
360,"807"
361,"814"
362,"774"
363,"885"
364,"869"
365,"976"
366,"1046"
367,"1107"
368,"1223"
369,"1260"
370,"1317"
371,"1342"
372,"1241"
373,"1160"
374,"1026"
375,"824"
376,"765"
377,"675"
378,"575"
379,"472"
380,"482"
381,"463"
382,"479"
383,"514"
384,"467"
385,"499"
386,"467"
387,"471"
388,"469"
389,"449"
390,"495"
391,"489"
392,"548"
393,"552"
394,"569"
395,"618"
396,"631"
397,"655"
398,"683"
399,"703"
400,"713"
401,"673"
402,"656"
403,"631"
404,"653"
405,"572"
406,"603"
407,"557"
408,"585"
409,"628"
410,"611"
411,"592"
412,"594"
413,"535"
414,"578"
415,"558"
416,"548"
417,"499"
418,"509"
419,"498"
420,"472"
421,"466"
422,"447"
423,"488"
424,"465"
425,"479"
426,"487"
427,"537"
428,"487"
429,"479"
430,"478"
431,"537"
432,"481"
433,"486"
434,"468"
435,"459"
436,"442"
437,"468"
438,"455"
439,"496"
440,"493"
441,"448"
442,"452"
443,"491"
444,"504"
445,"462"
446,"481"
447,"473"
448,"468"
449,"463"
450,"500"
451,"496"
452,"499"
453,"503"
454,"507"
455,"539"
456,"511"
457,"474"
458,"530"
459,"492"
460,"492"
461,"506"
462,"501"
463,"498"
464,"504"
465,"538"
466,"525"
467,"478"
468,"517"
469,"470"
470,"517"
471,"519"
472,"516"
473,"541"
474,"556"
475,"589"
476,"516"
477,"470"
478,"510"
479,"532"
480,"531"
481,"530"
482,"521"
483,"513"
484,"498"
485,"552"
486,"563"
487,"568"
488,"504"
489,"490"
490,"516"
491,"497"
492,"504"
493,"474"
494,"493"
495,"477"
496,"486"
497,"488"
498,"491"
499,"461"
500,"464"
501,"457"
502,"492"
503,"501"
504,"544"
505,"451"
506,"500"
507,"494"
508,"523"
509,"476"
510,"492"
511,"502"
512,"479"
513,"491"
514,"489"
515,"479"
516,"467"
517,"525"
518,"515"
519,"509"
520,"489"
521,"479"
522,"501"
523,"539"
524,"550"
525,"518"
526,"522"
527,"491"
528,"527"
529,"502"
530,"514"
531,"478"
532,"516"
533,"549"
534,"463"
535,"478"
536,"513"
537,"538"
538,"525"
539,"491"
540,"488"
541,"521"
542,"509"
543,"523"
544,"513"
545,"501"
546,"500"
547,"446"
548,"465"
549,"572"
550,"511"
551,"529"
552,"505"
553,"489"
554,"520"
555,"523"
556,"470"
557,"472"
558,"476"
559,"455"
560,"479"
561,"485"
562,"500"
563,"444"
564,"512"
565,"461"
566,"469"
567,"515"
568,"518"
569,"445"
570,"516"
571,"467"
572,"474"
573,"456"
574,"490"
575,"475"
576,"508"
577,"472"
578,"498"
579,"444"
580,"472"
581,"432"
582,"485"
583,"475"
584,"473"
585,"455"
586,"464"
587,"492"
588,"492"
589,"465"
590,"474"
591,"489"
592,"483"
593,"470"
594,"446"
595,"476"
596,"471"
597,"511"
598,"449"
599,"455"
600,"481"
601,"484"
602,"490"
603,"470"
604,"435"
605,"476"
606,"494"
607,"465"
608,"482"
609,"423"
610,"501"
611,"472"
612,"497"
613,"468"
614,"514"
615,"455"
616,"447"
617,"488"
618,"470"
619,"486"
620,"487"
621,"532"
622,"513"
623,"472"
624,"452"
625,"555"
626,"560"
627,"530"
628,"492"
629,"526"
630,"556"
631,"538"
632,"509"
633,"496"
634,"524"
635,"545"
636,"459"
637,"508"
638,"513"
639,"497"
640,"561"
641,"505"
642,"527"
643,"493"
644,"502"
645,"486"
646,"485"
647,"487"
648,"551"
649,"510"
650,"487"
651,"523"
652,"556"
653,"502"
654,"549"
655,"554"
656,"646"
657,"651"
658,"675"
659,"800"
660,"841"
661,"960"
662,"989"
663,"1042"
664,"1024"
665,"1016"
666,"1008"
667,"1003"
668,"874"
669,"859"
670,"762"
671,"689"
672,"610"
673,"571"
674,"522"
675,"523"
676,"462"
677,"481"
678,"477"
679,"518"
680,"500"
681,"476"
682,"475"
683,"499"
684,"474"
685,"467"
686,"467"
687,"470"
688,"470"
689,"449"
690,"476"
691,"441"
692,"477"
693,"487"
694,"517"
695,"553"
696,"553"
697,"563"
698,"554"
699,"603"
700,"576"
701,"582"
702,"606"
703,"621"
704,"629"
705,"628"
706,"578"
707,"566"
708,"514"
709,"494"
710,"512"
711,"461"
712,"476"
713,"510"
714,"458"
715,"481"
716,"434"
717,"463"
718,"444"
719,"452"
720,"405"
721,"431"
722,"461"
723,"483"
724,"435"
725,"460"
726,"444"
727,"444"
728,"467"
729,"455"
730,"471"
731,"418"
732,"459"
733,"448"
734,"474"
735,"441"
736,"480"
737,"467"
738,"525"
739,"569"
740,"528"
741,"513"
742,"515"
743,"519"
744,"511"
745,"535"
746,"495"
747,"491"
748,"467"
749,"471"
750,"498"
751,"462"
752,"428"
753,"447"
754,"466"
755,"518"
756,"461"
757,"426"
758,"409"
759,"442"
760,"428"
761,"440"
762,"442"
763,"405"
764,"433"
765,"425"
766,"401"
767,"389"
768,"393"
769,"444"
770,"455"
771,"441"
772,"452"
773,"457"
774,"457"
775,"478"
776,"461"
777,"460"
778,"520"
779,"487"
780,"504"
781,"559"
782,"544"
783,"492"
784,"518"
785,"521"
786,"515"
787,"520"
788,"513"
789,"475"
790,"438"
791,"434"
792,"493"
793,"469"
794,"420"
795,"417"
796,"403"
797,"428"
798,"430"
799,"408"
800,"392"
801,"427"
802,"444"
803,"414"
804,"412"
805,"406"
806,"409"
807,"391"
808,"425"
809,"407"
810,"423"
811,"445"
812,"435"
813,"433"
814,"449"
815,"402"
816,"426"
817,"414"
818,"423"
819,"444"
820,"402"
821,"404"
822,"417"
823,"379"
824,"418"
825,"433"
826,"420"
827,"451"
828,"409"
829,"413"
830,"407"
831,"444"
832,"409"
833,"381"
834,"431"
835,"375"
836,"399"
837,"430"
838,"381"
839,"373"
840,"370"
841,"422"
842,"426"
843,"429"
844,"394"
845,"359"
846,"387"
847,"464"
848,"387"
849,"443"
850,"411"
851,"370"
852,"431"
853,"415"
854,"412"
855,"436"
856,"371"
857,"397"
858,"430"
859,"402"
860,"449"
861,"421"
862,"410"
863,"373"
864,"437"
865,"443"
866,"440"
867,"431"
868,"434"
869,"421"
870,"407"
871,"406"
872,"440"
873,"428"
874,"459"
875,"431"
876,"429"
877,"436"
878,"479"
879,"422"
880,"466"
881,"406"
882,"461"
883,"429"
884,"453"
885,"467"
886,"485"
887,"449"
888,"455"
889,"441"
890,"451"
891,"457"
892,"471"
893,"474"
894,"474"
895,"465"
896,"507"
897,"483"
898,"514"
899,"508"
900,"499"
901,"491"
902,"557"
903,"545"
904,"552"
905,"545"
906,"558"
907,"586"
908,"565"
909,"597"
910,"638"
911,"661"
912,"608"
913,"662"
914,"676"
915,"718"
916,"688"
917,"723"
918,"722"
919,"815"
920,"821"
921,"898"
922,"861"
923,"887"
924,"965"
925,"1015"
926,"1084"
927,"1158"
928,"1221"
929,"1198"
930,"1191"
931,"1273"
932,"1308"
933,"1339"
934,"1374"
935,"1396"
936,"1380"
937,"1413"
938,"1456"
939,"1391"
940,"1444"
941,"1443"
942,"1402"
943,"1341"
944,"1447"
945,"1311"
946,"1294"
947,"1278"
948,"1218"
949,"1249"
950,"1111"
951,"1123"
952,"1114"
953,"1014"
954,"958"
955,"947"
956,"900"
957,"864"
958,"856"
959,"840"
960,"771"
961,"771"
962,"700"
963,"694"
964,"681"
965,"662"
966,"628"
967,"618"
968,"518"
969,"539"
970,"505"
971,"544"
972,"531"
973,"488"
974,"506"
975,"472"
976,"466"
977,"491"
978,"432"
979,"460"
980,"423"
981,"423"
982,"409"
983,"441"
984,"378"
985,"405"
986,"450"
987,"419"
988,"416"
989,"468"
990,"497"
991,"503"
992,"523"
993,"567"
994,"642"
995,"641"
996,"682"
997,"728"
998,"770"
999,"816"
1000,"861"
1001,"887"
1002,"857"
1003,"881"
1004,"826"
1005,"815"
1006,"775"
1007,"697"
1008,"701"
1009,"620"
1010,"568"
1011,"507"
1012,"428"
1013,"428"
1014,"425"
1015,"367"
1016,"377"
1017,"337"
1018,"331"
1019,"338"
1020,"357"
1021,"381"
1022,"355"
1023,"355"
1024,"307"
1025,"367"
1026,"364"
1027,"350"
1028,"380"
1029,"415"
1030,"365"
1031,"435"
1032,"417"
1033,"422"
1034,"463"
1035,"421"
1036,"429"
1037,"485"
1038,"492"
1039,"464"
1040,"484"
1041,"555"
1042,"528"
1043,"574"
1044,"583"
1045,"601"
1046,"619"
1047,"668"
1048,"610"
1049,"696"
1050,"682"
1051,"662"
1052,"654"
1053,"587"
1054,"594"
1055,"548"
1056,"623"
1057,"537"
1058,"530"
1059,"533"
1060,"470"
1061,"445"
1062,"432"
1063,"454"
1064,"400"
1065,"419"
1066,"399"
1067,"402"
1068,"408"
1069,"369"
1070,"369"
1071,"353"
1072,"356"
1073,"373"
1074,"338"
1075,"326"
1076,"363"
1077,"340"
1078,"327"
1079,"324"
1080,"289"
1081,"339"
1082,"353"
1083,"280"
1084,"306"
1085,"297"
1086,"274"
1087,"271"
1088,"276"
1089,"303"
1090,"249"
1091,"288"
1092,"232"
1093,"300"
1094,"273"
1095,"234"
1096,"272"
1097,"292"
1098,"277"
1099,"254"
1100,"267"
1101,"280"
1102,"265"
1103,"247"
1104,"249"
1105,"253"
1106,"236"
1107,"251"
1108,"237"
1109,"248"
1110,"247"
1111,"276"
1112,"230"
1113,"224"
1114,"267"
1115,"254"
1116,"239"
1117,"256"
1118,"241"
1119,"252"
1120,"284"
1121,"247"
1122,"292"
1123,"304"
1124,"277"
1125,"283"
1126,"309"
1127,"288"
1128,"305"
1129,"319"
1130,"304"
1131,"284"
1132,"281"
1133,"272"
1134,"278"
1135,"268"
1136,"227"
1137,"218"
1138,"231"
1139,"210"
1140,"202"
1141,"214"
1142,"236"
1143,"222"
1144,"224"
1145,"246"
1146,"231"
1147,"208"
1148,"234"
1149,"214"
1150,"225"
1151,"250"
1152,"221"
1153,"246"
1154,"247"
1155,"214"
1156,"197"
1157,"187"
1158,"224"
1159,"222"
1160,"221"
1161,"184"
1162,"194"
1163,"188"
1164,"216"
1165,"202"
1166,"195"
1167,"200"
1168,"214"
1169,"215"
1170,"222"
1171,"208"
1172,"217"
1173,"225"
1174,"205"
1175,"192"
1176,"217"
1177,"244"
1178,"211"
1179,"235"
1180,"214"
1181,"207"
1182,"238"
1183,"239"
1184,"220"
1185,"234"
1186,"218"
1187,"220"
1188,"241"
1189,"201"
1190,"195"
1191,"208"
1192,"210"
1193,"183"
1194,"215"
1195,"215"
1196,"183"
1197,"212"
1198,"210"
1199,"197"
1200,"183"
1201,"190"
1202,"194"
1203,"202"
1204,"222"
1205,"208"
1206,"225"
1207,"183"
1208,"200"
1209,"191"
1210,"198"
1211,"186"
1212,"189"
1213,"183"
1214,"197"
1215,"185"
1216,"178"
1217,"180"
1218,"196"
1219,"172"
1220,"159"
1221,"177"
1222,"173"
1223,"194"
1224,"162"
1225,"187"
1226,"172"
1227,"165"
1228,"165"
1229,"189"
1230,"155"
1231,"174"
1232,"167"
1233,"200"
1234,"179"
1235,"198"
1236,"189"
1237,"171"
1238,"176"
1239,"180"
1240,"149"
1241,"162"
1242,"151"
1243,"167"
1244,"157"
1245,"180"
1246,"167"
1247,"150"
1248,"192"
1249,"169"
1250,"168"
1251,"154"
1252,"188"
1253,"174"
1254,"179"
1255,"197"
1256,"188"
1257,"154"
1258,"148"
1259,"165"
1260,"181"
1261,"148"
1262,"158"
1263,"147"
1264,"146"
1265,"161"
1266,"164"
1267,"144"
1268,"157"
1269,"165"
1270,"145"
1271,"166"
1272,"160"
1273,"169"
1274,"134"
1275,"139"
1276,"142"
1277,"134"
1278,"135"
1279,"156"
1280,"156"
1281,"152"
1282,"151"
1283,"141"
1284,"154"
1285,"148"
1286,"145"
1287,"175"
1288,"136"
1289,"157"
1290,"158"
1291,"141"
1292,"158"
1293,"146"
1294,"152"
1295,"122"
1296,"143"
1297,"133"
1298,"139"
1299,"141"
1300,"147"
1301,"158"
1302,"150"
1303,"139"
1304,"153"
1305,"129"
1306,"153"
1307,"146"
1308,"160"
1309,"148"
1310,"137"
1311,"138"
1312,"137"
1313,"147"
1314,"126"
1315,"158"
1316,"147"
1317,"145"
1318,"143"
1319,"157"
1320,"131"
1321,"121"
1322,"130"
1323,"140"
1324,"128"
1325,"113"
1326,"124"
1327,"138"
1328,"121"
1329,"149"
1330,"119"
1331,"145"
1332,"114"
1333,"131"
1334,"119"
1335,"139"
1336,"125"
1337,"126"
1338,"142"
1339,"140"
1340,"126"
1341,"136"
1342,"114"
1343,"136"
1344,"138"
1345,"139"
1346,"113"
1347,"105"
1348,"126"
1349,"127"
1350,"128"
1351,"124"
1352,"127"
1353,"144"
1354,"119"
1355,"115"
1356,"120"
1357,"130"
1358,"116"
1359,"126"
1360,"134"
1361,"111"
1362,"121"
1363,"129"
1364,"104"
1365,"107"
1366,"101"
1367,"111"
1368,"136"
1369,"96"
1370,"104"
1371,"108"
1372,"144"
1373,"137"
1374,"96"
1375,"112"
1376,"115"
1377,"115"
1378,"141"
1379,"122"
1380,"126"
1381,"124"
1382,"117"
1383,"119"
1384,"116"
1385,"116"
1386,"129"
1387,"114"
1388,"113"
1389,"100"
1390,"124"
1391,"118"
1392,"113"
1393,"96"
1394,"105"
1395,"102"
1396,"125"
1397,"92"
1398,"100"
1399,"85"
1400,"106"
1401,"114"
1402,"120"
1403,"106"
1404,"117"
1405,"111"
1406,"104"
1407,"98"
1408,"89"
1409,"110"
1410,"91"
1411,"106"
1412,"107"
1413,"104"
1414,"98"
1415,"114"
1416,"102"
1417,"101"
1418,"115"
1419,"88"
1420,"93"
1421,"110"
1422,"107"
1423,"88"
1424,"103"
1425,"100"
1426,"93"
1427,"89"
1428,"104"
1429,"103"
1430,"85"
1431,"91"
1432,"99"
1433,"89"
1434,"92"
1435,"85"
1436,"100"
1437,"91"
1438,"92"
1439,"78"
1440,"79"
1441,"114"
1442,"84"
1443,"98"
1444,"94"
1445,"94"
1446,"74"
1447,"77"
1448,"91"
1449,"94"
1450,"92"
1451,"81"
1452,"91"
1453,"88"
1454,"93"
1455,"75"
1456,"83"
1457,"77"
1458,"81"
1459,"75"
1460,"94"
1461,"80"
1462,"88"
1463,"70"
1464,"92"
1465,"90"
1466,"80"
1467,"79"
1468,"85"
1469,"79"
1470,"76"
1471,"78"
1472,"85"
1473,"67"
1474,"93"
1475,"65"
1476,"78"
1477,"68"
1478,"70"
1479,"81"
1480,"68"
1481,"77"
1482,"75"
1483,"80"
1484,"67"
1485,"53"
1486,"74"
1487,"96"
1488,"80"
1489,"64"
1490,"55"
1491,"73"
1492,"62"
1493,"68"
1494,"81"
1495,"71"
1496,"85"
1497,"68"
1498,"57"
1499,"60"
1500,"57"
1501,"63"
1502,"57"
1503,"70"
1504,"61"
1505,"64"
1506,"77"
1507,"55"
1508,"64"
1509,"69"
1510,"77"
1511,"67"
1512,"54"
1513,"63"
1514,"63"
1515,"60"
1516,"61"
1517,"55"
1518,"52"
1519,"77"
1520,"72"
1521,"72"
1522,"61"
1523,"70"
1524,"58"
1525,"69"
1526,"70"
1527,"68"
1528,"55"
1529,"78"
1530,"58"
1531,"54"
1532,"58"
1533,"50"
1534,"74"
1535,"55"
1536,"71"
1537,"72"
1538,"72"
1539,"70"
1540,"65"
1541,"63"
1542,"51"
1543,"48"
1544,"51"
1545,"70"
1546,"61"
1547,"48"
1548,"66"
1549,"53"
1550,"46"
1551,"52"
1552,"48"
1553,"52"
1554,"54"
1555,"46"
1556,"54"
1557,"50"
1558,"59"
1559,"42"
1560,"50"
1561,"50"
1562,"45"
1563,"37"
1564,"56"
1565,"49"
1566,"53"
1567,"50"
1568,"38"
1569,"43"
1570,"49"
1571,"36"
1572,"56"
1573,"48"
1574,"44"
1575,"42"
1576,"36"
1577,"44"
1578,"53"
1579,"49"
1580,"43"
1581,"57"
1582,"56"
1583,"42"
1584,"37"
1585,"53"
1586,"47"
1587,"44"
1588,"41"
1589,"36"
1590,"43"
1591,"38"
1592,"34"
1593,"33"
1594,"41"
1595,"51"
1596,"35"
1597,"36"
1598,"50"
1599,"30"
1600,"30"
1601,"40"
1602,"39"
1603,"36"
1604,"48"
1605,"48"
1606,"38"
1607,"31"
1608,"31"
1609,"42"
1610,"36"
1611,"29"
1612,"36"
1613,"41"
1614,"33"
1615,"39"
1616,"36"
1617,"47"
1618,"35"
1619,"31"
1620,"32"
1621,"32"
1622,"28"
1623,"45"
1624,"36"
1625,"25"
1626,"26"
1627,"40"
1628,"24"
1629,"34"
1630,"37"
1631,"22"
1632,"24"
1633,"28"
1634,"19"
1635,"37"
1636,"22"
1637,"24"
1638,"23"
1639,"22"
1640,"31"
1641,"26"
1642,"22"
1643,"27"
1644,"29"
1645,"27"
