Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"L2-3D 4phi 0"
Duration Time,60.912
Ambient Temperature,"103.0"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"1041484"
Raw Accumulated Counts,"1090575"
Valid Count Last Packet,"16213"
Raw Count Last Packet,"16981"
Live Time,58.410999
HV DAC,171
HV ADC,40.000000
Filament DAC,200
Filament ADC,5.000000
Pulse Length,201
Pulse Period,254
Filter,2
eV per channel,20.0874
Number of Channels,2048
Vacuum,766
Channel#,Intensity
0,"1757"
1,"1499"
2,"980"
3,"491"
4,"247"
5,"64"
6,"19"
7,"4"
8,"3"
9,"1"
10,"0"
11,"0"
12,"0"
13,"0"
14,"0"
15,"0"
16,"0"
17,"0"
18,"0"
19,"0"
20,"0"
21,"4"
22,"29"
23,"114"
24,"174"
25,"204"
26,"187"
27,"197"
28,"180"
29,"183"
30,"178"
31,"186"
32,"191"
33,"180"
34,"149"
35,"142"
36,"200"
37,"157"
38,"158"
39,"193"
40,"171"
41,"152"
42,"149"
43,"158"
44,"155"
45,"174"
46,"187"
47,"165"
48,"163"
49,"154"
50,"160"
51,"141"
52,"153"
53,"171"
54,"176"
55,"172"
56,"157"
57,"178"
58,"165"
59,"160"
60,"165"
61,"171"
62,"164"
63,"153"
64,"129"
65,"130"
66,"145"
67,"139"
68,"125"
69,"152"
70,"161"
71,"197"
72,"260"
73,"239"
74,"284"
75,"280"
76,"246"
77,"215"
78,"216"
79,"234"
80,"183"
81,"258"
82,"356"
83,"542"
84,"710"
85,"993"
86,"1045"
87,"967"
88,"882"
89,"648"
90,"505"
91,"375"
92,"254"
93,"186"
94,"167"
95,"158"
96,"171"
97,"146"
98,"169"
99,"173"
100,"184"
101,"193"
102,"136"
103,"165"
104,"129"
105,"167"
106,"145"
107,"140"
108,"136"
109,"139"
110,"171"
111,"188"
112,"210"
113,"253"
114,"271"
115,"248"
116,"267"
117,"229"
118,"229"
119,"257"
120,"210"
121,"204"
122,"225"
123,"212"
124,"232"
125,"239"
126,"344"
127,"375"
128,"539"
129,"739"
130,"1063"
131,"1429"
132,"1730"
133,"1961"
134,"2093"
135,"2050"
136,"1729"
137,"1524"
138,"1422"
139,"1443"
140,"1417"
141,"1512"
142,"1554"
143,"1560"
144,"1639"
145,"1772"
146,"1809"
147,"1859"
148,"1670"
149,"1426"
150,"1097"
151,"709"
152,"582"
153,"412"
154,"363"
155,"323"
156,"385"
157,"460"
158,"593"
159,"875"
160,"1194"
161,"1838"
162,"2544"
163,"3217"
164,"3523"
165,"3746"
166,"3357"
167,"2707"
168,"1923"
169,"1223"
170,"822"
171,"486"
172,"411"
173,"336"
174,"403"
175,"495"
176,"605"
177,"698"
178,"805"
179,"911"
180,"1031"
181,"1067"
182,"1150"
183,"1179"
184,"1031"
185,"978"
186,"751"
187,"577"
188,"431"
189,"359"
190,"271"
191,"229"
192,"225"
193,"235"
194,"259"
195,"251"
196,"271"
197,"329"
198,"330"
199,"325"
200,"352"
201,"331"
202,"355"
203,"314"
204,"313"
205,"285"
206,"243"
207,"245"
208,"253"
209,"226"
210,"259"
211,"291"
212,"274"
213,"273"
214,"270"
215,"300"
216,"327"
217,"422"
218,"583"
219,"827"
220,"1160"
221,"1578"
222,"1875"
223,"2318"
224,"2390"
225,"2283"
226,"2132"
227,"1715"
228,"1314"
229,"1018"
230,"780"
231,"634"
232,"535"
233,"461"
234,"445"
235,"467"
236,"380"
237,"357"
238,"410"
239,"454"
240,"504"
241,"557"
242,"609"
243,"638"
244,"717"
245,"770"
246,"731"
247,"683"
248,"613"
249,"545"
250,"517"
251,"442"
252,"422"
253,"380"
254,"425"
255,"397"
256,"402"
257,"405"
258,"411"
259,"420"
260,"451"
261,"443"
262,"418"
263,"475"
264,"421"
265,"423"
266,"477"
267,"451"
268,"480"
269,"496"
270,"477"
271,"492"
272,"465"
273,"487"
274,"483"
275,"488"
276,"482"
277,"479"
278,"448"
279,"472"
280,"468"
281,"471"
282,"433"
283,"525"
284,"487"
285,"503"
286,"525"
287,"546"
288,"581"
289,"666"
290,"726"
291,"812"
292,"829"
293,"884"
294,"880"
295,"840"
296,"713"
297,"687"
298,"643"
299,"647"
300,"696"
301,"625"
302,"642"
303,"659"
304,"704"
305,"701"
306,"767"
307,"965"
308,"1299"
309,"1871"
310,"3000"
311,"5059"
312,"8816"
313,"13658"
314,"20000"
315,"27304"
316,"34201"
317,"39694"
318,"41866"
319,"40071"
320,"35481"
321,"28861"
322,"21777"
323,"14833"
324,"9485"
325,"5683"
326,"3270"
327,"1889"
328,"1197"
329,"819"
330,"716"
331,"646"
332,"601"
333,"618"
334,"620"
335,"612"
336,"614"
337,"632"
338,"663"
339,"701"
340,"754"
341,"832"
342,"1089"
343,"1380"
344,"1673"
345,"2404"
346,"3268"
347,"4332"
348,"5245"
349,"6064"
350,"6768"
351,"6787"
352,"6428"
353,"5555"
354,"4592"
355,"3577"
356,"2649"
357,"2009"
358,"1470"
359,"1092"
360,"961"
361,"903"
362,"853"
363,"911"
364,"974"
365,"963"
366,"1024"
367,"1048"
368,"1167"
369,"1373"
370,"1334"
371,"1386"
372,"1374"
373,"1196"
374,"1104"
375,"989"
376,"857"
377,"714"
378,"586"
379,"563"
380,"480"
381,"453"
382,"457"
383,"461"
384,"424"
385,"470"
386,"415"
387,"456"
388,"438"
389,"481"
390,"497"
391,"473"
392,"487"
393,"508"
394,"521"
395,"617"
396,"610"
397,"676"
398,"669"
399,"704"
400,"758"
401,"732"
402,"736"
403,"685"
404,"660"
405,"617"
406,"623"
407,"599"
408,"629"
409,"618"
410,"621"
411,"591"
412,"605"
413,"571"
414,"562"
415,"524"
416,"504"
417,"510"
418,"507"
419,"460"
420,"497"
421,"483"
422,"546"
423,"552"
424,"595"
425,"605"
426,"659"
427,"680"
428,"715"
429,"746"
430,"664"
431,"711"
432,"689"
433,"620"
434,"587"
435,"599"
436,"524"
437,"492"
438,"505"
439,"466"
440,"547"
441,"512"
442,"502"
443,"498"
444,"540"
445,"516"
446,"526"
447,"480"
448,"532"
449,"497"
450,"543"
451,"486"
452,"517"
453,"508"
454,"538"
455,"546"
456,"540"
457,"547"
458,"569"
459,"564"
460,"626"
461,"537"
462,"595"
463,"559"
464,"545"
465,"496"
466,"522"
467,"523"
468,"516"
469,"528"
470,"527"
471,"503"
472,"551"
473,"559"
474,"580"
475,"513"
476,"556"
477,"521"
478,"544"
479,"543"
480,"502"
481,"505"
482,"499"
483,"507"
484,"506"
485,"501"
486,"527"
487,"517"
488,"468"
489,"479"
490,"507"
491,"489"
492,"475"
493,"492"
494,"496"
495,"479"
496,"500"
497,"500"
498,"509"
499,"518"
500,"493"
501,"467"
502,"466"
503,"484"
504,"505"
505,"517"
506,"480"
507,"460"
508,"494"
509,"538"
510,"487"
511,"478"
512,"537"
513,"449"
514,"527"
515,"500"
516,"529"
517,"525"
518,"519"
519,"523"
520,"537"
521,"548"
522,"553"
523,"589"
524,"558"
525,"622"
526,"588"
527,"565"
528,"532"
529,"536"
530,"516"
531,"498"
532,"517"
533,"493"
534,"485"
535,"447"
536,"480"
537,"449"
538,"464"
539,"449"
540,"482"
541,"459"
542,"478"
543,"475"
544,"504"
545,"508"
546,"512"
547,"487"
548,"469"
549,"501"
550,"494"
551,"497"
552,"459"
553,"466"
554,"473"
555,"484"
556,"471"
557,"449"
558,"533"
559,"467"
560,"453"
561,"494"
562,"435"
563,"487"
564,"501"
565,"472"
566,"440"
567,"441"
568,"465"
569,"513"
570,"464"
571,"465"
572,"469"
573,"466"
574,"473"
575,"485"
576,"467"
577,"491"
578,"512"
579,"489"
580,"487"
581,"495"
582,"466"
583,"469"
584,"486"
585,"466"
586,"484"
587,"469"
588,"499"
589,"485"
590,"445"
591,"470"
592,"443"
593,"504"
594,"497"
595,"503"
596,"506"
597,"512"
598,"466"
599,"497"
600,"460"
601,"480"
602,"481"
603,"501"
604,"484"
605,"461"
606,"495"
607,"436"
608,"465"
609,"490"
610,"454"
611,"458"
612,"473"
613,"469"
614,"469"
615,"461"
616,"481"
617,"469"
618,"514"
619,"456"
620,"486"
621,"478"
622,"522"
623,"506"
624,"547"
625,"494"
626,"492"
627,"509"
628,"491"
629,"522"
630,"441"
631,"514"
632,"509"
633,"491"
634,"505"
635,"464"
636,"483"
637,"464"
638,"511"
639,"479"
640,"491"
641,"515"
642,"491"
643,"545"
644,"528"
645,"512"
646,"497"
647,"515"
648,"472"
649,"537"
650,"479"
651,"431"
652,"469"
653,"500"
654,"504"
655,"549"
656,"598"
657,"630"
658,"690"
659,"791"
660,"900"
661,"1016"
662,"1079"
663,"1157"
664,"1281"
665,"1289"
666,"1245"
667,"1234"
668,"1136"
669,"981"
670,"902"
671,"833"
672,"756"
673,"654"
674,"568"
675,"527"
676,"479"
677,"492"
678,"466"
679,"455"
680,"461"
681,"423"
682,"427"
683,"438"
684,"449"
685,"480"
686,"482"
687,"417"
688,"433"
689,"408"
690,"447"
691,"453"
692,"441"
693,"476"
694,"446"
695,"487"
696,"476"
697,"498"
698,"505"
699,"565"
700,"555"
701,"616"
702,"630"
703,"604"
704,"626"
705,"612"
706,"549"
707,"532"
708,"545"
709,"539"
710,"484"
711,"437"
712,"447"
713,"421"
714,"419"
715,"446"
716,"444"
717,"416"
718,"398"
719,"424"
720,"374"
721,"415"
722,"384"
723,"397"
724,"408"
725,"415"
726,"448"
727,"427"
728,"423"
729,"398"
730,"382"
731,"369"
732,"410"
733,"439"
734,"406"
735,"484"
736,"453"
737,"434"
738,"466"
739,"501"
740,"573"
741,"542"
742,"507"
743,"595"
744,"585"
745,"562"
746,"523"
747,"506"
748,"484"
749,"476"
750,"469"
751,"445"
752,"467"
753,"448"
754,"389"
755,"389"
756,"376"
757,"407"
758,"378"
759,"385"
760,"422"
761,"414"
762,"388"
763,"348"
764,"375"
765,"396"
766,"428"
767,"359"
768,"400"
769,"424"
770,"387"
771,"376"
772,"439"
773,"460"
774,"451"
775,"491"
776,"550"
777,"572"
778,"649"
779,"652"
780,"714"
781,"713"
782,"727"
783,"839"
784,"734"
785,"740"
786,"755"
787,"748"
788,"643"
789,"548"
790,"589"
791,"539"
792,"465"
793,"439"
794,"396"
795,"393"
796,"358"
797,"386"
798,"381"
799,"384"
800,"393"
801,"369"
802,"402"
803,"368"
804,"405"
805,"365"
806,"334"
807,"389"
808,"363"
809,"330"
810,"355"
811,"347"
812,"370"
813,"378"
814,"353"
815,"378"
816,"360"
817,"380"
818,"377"
819,"394"
820,"372"
821,"382"
822,"428"
823,"429"
824,"399"
825,"396"
826,"400"
827,"388"
828,"418"
829,"367"
830,"370"
831,"364"
832,"345"
833,"355"
834,"371"
835,"381"
836,"354"
837,"368"
838,"380"
839,"343"
840,"369"
841,"339"
842,"357"
843,"350"
844,"330"
845,"341"
846,"353"
847,"350"
848,"363"
849,"330"
850,"327"
851,"332"
852,"335"
853,"379"
854,"365"
855,"346"
856,"370"
857,"312"
858,"361"
859,"361"
860,"347"
861,"352"
862,"360"
863,"316"
864,"361"
865,"337"
866,"341"
867,"362"
868,"338"
869,"365"
870,"379"
871,"373"
872,"387"
873,"401"
874,"440"
875,"379"
876,"434"
877,"412"
878,"424"
879,"429"
880,"404"
881,"394"
882,"440"
883,"414"
884,"394"
885,"400"
886,"377"
887,"388"
888,"367"
889,"353"
890,"420"
891,"396"
892,"381"
893,"385"
894,"380"
895,"422"
896,"385"
897,"370"
898,"460"
899,"413"
900,"452"
901,"393"
902,"428"
903,"432"
904,"447"
905,"487"
906,"428"
907,"474"
908,"508"
909,"461"
910,"433"
911,"476"
912,"510"
913,"515"
914,"572"
915,"518"
916,"579"
917,"570"
918,"585"
919,"608"
920,"670"
921,"673"
922,"701"
923,"775"
924,"735"
925,"844"
926,"812"
927,"859"
928,"925"
929,"940"
930,"940"
931,"987"
932,"1046"
933,"1026"
934,"1082"
935,"1120"
936,"1115"
937,"1075"
938,"1121"
939,"1098"
940,"1130"
941,"1119"
942,"1091"
943,"1136"
944,"1081"
945,"1147"
946,"1095"
947,"1061"
948,"1006"
