Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"L2-3F -1phi 1"
Duration Time,60.194
Ambient Temperature,"82.1"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"503559"
Raw Accumulated Counts,"519150"
Valid Count Last Packet,"7791"
Raw Count Last Packet,"8041"
Live Time,58.956009
HV DAC,171
HV ADC,40.000000
Filament DAC,200
Filament ADC,5.000000
Pulse Length,201
Pulse Period,254
Filter,2
eV per channel,20.085
Number of Channels,2048
Vacuum,744
Channel#,Intensity
0,"1773"
1,"1500"
2,"964"
3,"510"
4,"228"
5,"76"
6,"22"
7,"1"
8,"1"
9,"0"
10,"0"
11,"0"
12,"0"
13,"0"
14,"0"
15,"0"
16,"0"
17,"0"
18,"0"
19,"0"
20,"0"
21,"4"
22,"37"
23,"88"
24,"146"
25,"160"
26,"137"
27,"122"
28,"150"
29,"127"
30,"132"
31,"131"
32,"91"
33,"125"
34,"130"
35,"108"
36,"114"
37,"120"
38,"121"
39,"123"
40,"106"
41,"100"
42,"129"
43,"114"
44,"131"
45,"132"
46,"134"
47,"126"
48,"139"
49,"137"
50,"127"
51,"92"
52,"123"
53,"99"
54,"123"
55,"119"
56,"100"
57,"130"
58,"138"
59,"122"
60,"116"
61,"116"
62,"111"
63,"112"
64,"106"
65,"102"
66,"96"
67,"100"
68,"86"
69,"117"
70,"109"
71,"128"
72,"146"
73,"145"
74,"179"
75,"172"
76,"157"
77,"142"
78,"120"
79,"128"
80,"141"
81,"182"
82,"244"
83,"335"
84,"471"
85,"604"
86,"664"
87,"639"
88,"562"
89,"448"
90,"330"
91,"216"
92,"158"
93,"147"
94,"121"
95,"86"
96,"127"
97,"103"
98,"108"
99,"126"
100,"93"
101,"105"
102,"121"
103,"101"
104,"111"
105,"90"
106,"101"
107,"96"
108,"107"
109,"119"
110,"115"
111,"156"
112,"172"
113,"204"
114,"219"
115,"221"
116,"224"
117,"193"
118,"198"
119,"187"
120,"157"
121,"149"
122,"171"
123,"193"
124,"188"
125,"224"
126,"264"
127,"316"
128,"502"
129,"680"
130,"997"
131,"1271"
132,"1658"
133,"1849"
134,"1939"
135,"1897"
136,"1665"
137,"1497"
138,"1266"
139,"1229"
140,"1317"
141,"1424"
142,"1456"
143,"1568"
144,"1606"
145,"1782"
146,"1885"
147,"1795"
148,"1724"
149,"1371"
150,"1047"
151,"745"
152,"503"
153,"400"
154,"290"
155,"305"
156,"351"
157,"358"
158,"427"
159,"514"
160,"749"
161,"1005"
162,"1334"
163,"1679"
164,"1799"
165,"1852"
166,"1653"
167,"1436"
168,"1017"
169,"668"
170,"445"
171,"309"
172,"225"
173,"208"
174,"253"
175,"257"
176,"357"
177,"400"
178,"454"
179,"524"
180,"544"
181,"558"
182,"554"
183,"520"
184,"535"
185,"463"
186,"354"
187,"279"
188,"247"
189,"203"
190,"178"
191,"163"
192,"169"
193,"162"
194,"182"
195,"177"
196,"192"
197,"194"
198,"215"
199,"238"
200,"205"
201,"210"
202,"203"
203,"208"
204,"162"
205,"187"
206,"194"
207,"194"
208,"189"
209,"191"
210,"183"
211,"185"
212,"203"
213,"183"
214,"208"
215,"202"
216,"203"
217,"233"
218,"291"
219,"285"
220,"379"
221,"425"
222,"433"
223,"475"
224,"474"
225,"473"
226,"432"
227,"405"
228,"340"
229,"276"
230,"269"
231,"248"
232,"263"
233,"265"
234,"232"
235,"226"
236,"276"
237,"289"
238,"294"
239,"267"
240,"305"
241,"279"
242,"335"
243,"328"
244,"319"
245,"341"
246,"347"
247,"332"
248,"310"
249,"285"
250,"280"
251,"295"
252,"251"
253,"332"
254,"281"
255,"302"
256,"280"
257,"324"
258,"319"
259,"346"
260,"319"
261,"284"
262,"304"
263,"266"
264,"274"
265,"284"
266,"287"
267,"294"
268,"296"
269,"308"
270,"346"
271,"317"
272,"312"
273,"326"
274,"299"
275,"322"
276,"328"
277,"293"
278,"340"
279,"337"
280,"313"
281,"320"
282,"314"
283,"369"
284,"338"
285,"325"
286,"365"
287,"352"
288,"395"
289,"445"
290,"410"
291,"413"
292,"454"
293,"408"
294,"409"
295,"420"
296,"402"
297,"397"
298,"365"
299,"369"
300,"343"
301,"343"
302,"367"
303,"363"
304,"344"
305,"357"
306,"360"
307,"435"
308,"430"
309,"518"
310,"591"
311,"757"
312,"1044"
313,"1379"
314,"1834"
315,"2384"
316,"2786"
317,"3088"
318,"3162"
319,"3021"
320,"2661"
321,"2398"
322,"1808"
323,"1271"
324,"935"
325,"699"
326,"540"
327,"498"
328,"384"
329,"426"
330,"422"
