Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"L2-3F 0phi 1"
Duration Time,60.034
Ambient Temperature,"85.7"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"688406"
Raw Accumulated Counts,"713118"
Valid Count Last Packet,"10825"
Raw Count Last Packet,"11250"
Live Time,58.338978
HV DAC,171
HV ADC,40.000000
Filament DAC,200
Filament ADC,5.000000
Pulse Length,201
Pulse Period,254
Filter,2
eV per channel,19.7909
Number of Channels,2048
Vacuum,746
Channel#,Intensity
0,"1759"
1,"1460"
2,"947"
3,"511"
4,"224"
5,"69"
6,"23"
7,"5"
8,"1"
9,"0"
10,"0"
11,"0"
12,"0"
13,"0"
14,"0"
15,"1"
16,"0"
17,"0"
18,"1"
19,"0"
20,"0"
21,"3"
22,"41"
23,"139"
24,"178"
25,"223"
26,"172"
27,"185"
28,"200"
29,"172"
30,"200"
31,"170"
32,"161"
33,"171"
34,"161"
35,"159"
36,"141"
37,"165"
38,"149"
39,"143"
40,"141"
41,"142"
42,"145"
43,"165"
44,"161"
45,"171"
46,"166"
47,"176"
48,"151"
49,"155"
50,"166"
51,"168"
52,"155"
53,"147"
54,"146"
55,"166"
56,"167"
57,"163"
58,"141"
59,"147"
60,"137"
61,"159"
62,"133"
63,"148"
64,"136"
65,"142"
66,"153"
67,"117"
68,"138"
69,"138"
70,"159"
71,"170"
72,"212"
73,"199"
74,"235"
75,"215"
76,"223"
77,"202"
78,"205"
79,"213"
80,"235"
81,"305"
82,"481"
83,"746"
84,"1009"
85,"1294"
86,"1449"
87,"1376"
88,"1183"
89,"956"
90,"593"
91,"398"
92,"267"
93,"208"
94,"154"
95,"128"
96,"129"
97,"141"
98,"164"
99,"151"
100,"128"
101,"155"
102,"148"
103,"128"
104,"125"
105,"142"
106,"145"
107,"128"
108,"135"
109,"128"
110,"169"
111,"151"
112,"169"
113,"199"
114,"202"
115,"233"
116,"205"
117,"235"
118,"227"
119,"166"
120,"189"
121,"185"
122,"178"
123,"180"
124,"204"
125,"243"
126,"254"
127,"394"
128,"540"
129,"777"
130,"949"
131,"1362"
132,"1621"
133,"1894"
134,"1967"
135,"1795"
136,"1639"
137,"1390"
138,"1314"
139,"1242"
140,"1315"
141,"1355"
142,"1416"
143,"1545"
144,"1564"
145,"1704"
146,"1741"
147,"1776"
148,"1584"
149,"1288"
150,"987"
151,"648"
152,"532"
153,"368"
154,"326"
155,"343"
156,"346"
157,"462"
158,"542"
159,"782"
160,"1131"
161,"1611"
162,"2176"
163,"2813"
164,"3178"
165,"3074"
166,"2793"
167,"2136"
168,"1501"
169,"973"
170,"623"
171,"384"
172,"319"
173,"273"
174,"368"
175,"414"
176,"527"
177,"634"
178,"688"
179,"749"
180,"855"
181,"810"
182,"822"
183,"756"
184,"801"
185,"593"
186,"570"
187,"440"
188,"316"
189,"265"
190,"240"
191,"183"
192,"192"
193,"172"
194,"190"
195,"233"
196,"218"
197,"238"
198,"269"
199,"304"
200,"310"
201,"272"
202,"223"
203,"225"
204,"209"
205,"197"
206,"230"
207,"215"
208,"190"
209,"215"
210,"197"
211,"246"
212,"225"
213,"200"
214,"227"
215,"252"
216,"245"
217,"260"
218,"331"
219,"409"
220,"434"
221,"562"
222,"617"
223,"663"
224,"681"
225,"699"
226,"598"
227,"483"
228,"406"
229,"379"
230,"292"
231,"277"
232,"272"
233,"287"
234,"247"
235,"252"
236,"295"
237,"291"
238,"273"
239,"291"
240,"294"
241,"311"
242,"316"
243,"348"
244,"347"
245,"331"
246,"335"
247,"350"
248,"313"
249,"331"
250,"320"
251,"314"
252,"335"
253,"307"
254,"285"
255,"294"
256,"297"
257,"315"
258,"299"
259,"290"
260,"292"
261,"285"
262,"307"
263,"335"
264,"317"
265,"341"
266,"320"
267,"339"
268,"332"
269,"345"
270,"372"
271,"376"
272,"387"
273,"357"
274,"386"
275,"372"
276,"418"
277,"407"
278,"402"
279,"417"
280,"392"
281,"461"
282,"413"
283,"441"
284,"417"
285,"452"
286,"426"
287,"448"
288,"419"
289,"443"
290,"436"
291,"437"
292,"455"
293,"455"
294,"454"
295,"450"
296,"452"
297,"443"
298,"444"
299,"384"
300,"397"
301,"398"
302,"402"
303,"438"
304,"429"
305,"416"
306,"484"
307,"515"
308,"532"
309,"661"
310,"868"
311,"1222"
312,"1763"
313,"2477"
314,"3387"
315,"4520"
316,"5224"
317,"5768"
318,"5916"
319,"5385"
320,"4729"
321,"3758"
322,"2873"
323,"1991"
324,"1384"
325,"919"
326,"656"
327,"555"
328,"460"
329,"457"
330,"423"
331,"439"
332,"402"
333,"436"
334,"423"
335,"427"
336,"426"
337,"462"
338,"464"
339,"510"
340,"486"
341,"495"
342,"541"
343,"600"
344,"647"
345,"744"
346,"833"
347,"995"
348,"1084"
349,"1237"
350,"1309"
351,"1299"
352,"1190"
353,"1107"
354,"954"
355,"899"
356,"826"
357,"744"
358,"756"
359,"728"
360,"793"
361,"778"
362,"859"
363,"915"
364,"888"
365,"964"
366,"1099"
367,"1176"
368,"1284"
369,"1414"
370,"1392"
371,"1447"
372,"1348"
373,"1195"
374,"1012"
375,"922"
376,"813"
377,"678"
378,"611"
379,"510"
380,"467"
381,"461"
382,"452"
383,"441"
384,"409"
385,"454"
386,"430"
387,"445"
388,"456"
389,"446"
390,"442"
391,"417"
392,"462"
393,"468"
394,"553"
395,"543"
396,"574"
397,"654"
398,"658"
399,"638"
400,"686"
401,"648"
402,"645"
403,"624"
404,"617"
405,"565"
406,"542"
407,"570"
408,"559"
409,"585"
410,"563"
411,"610"
412,"560"
413,"516"
414,"493"
415,"499"
416,"498"
417,"545"
418,"465"
419,"487"
420,"465"
421,"465"
422,"484"
423,"502"
424,"491"
425,"484"
426,"526"
427,"506"
428,"534"
429,"489"
430,"544"
431,"506"
432,"523"
433,"458"
434,"457"
435,"445"
436,"481"
437,"500"
438,"474"
439,"486"
440,"457"
441,"479"
442,"495"
443,"463"
444,"496"
445,"442"
446,"497"
447,"483"
448,"477"
449,"455"
450,"464"
451,"484"
452,"481"
453,"520"
454,"483"
455,"526"
456,"537"
457,"518"
458,"535"
459,"509"
460,"532"
461,"515"
462,"523"
463,"517"
464,"483"
465,"545"
466,"507"
467,"501"
468,"520"
469,"485"
470,"492"
471,"491"
472,"444"
473,"519"
474,"508"
475,"474"
476,"451"
477,"458"
478,"476"
479,"483"
480,"486"
481,"498"
482,"506"
483,"488"
484,"446"
485,"450"
486,"467"
487,"498"
488,"454"
489,"449"
490,"455"
491,"459"
492,"480"
493,"475"
494,"498"
495,"484"
496,"460"
497,"452"
498,"484"
499,"460"
500,"487"
501,"471"
502,"484"
503,"474"
504,"458"
505,"479"
506,"475"
507,"456"
508,"456"
509,"462"
510,"493"
511,"460"
512,"448"
513,"439"
514,"452"
515,"502"
516,"489"
517,"497"
518,"482"
519,"451"
520,"459"
521,"465"
522,"463"
523,"500"
524,"483"
525,"512"
526,"521"
527,"502"
528,"442"
529,"503"
530,"500"
531,"472"
532,"468"
533,"500"
534,"489"
535,"458"
536,"440"
537,"485"
538,"453"
539,"442"
540,"477"
541,"470"
542,"482"
543,"491"
544,"478"
545,"529"
546,"459"
547,"443"
548,"466"
549,"497"
550,"478"
551,"487"
552,"511"
553,"469"
554,"446"
555,"481"
556,"532"
557,"501"
558,"492"
559,"482"
560,"475"
561,"464"
562,"473"
563,"489"
564,"457"
565,"452"
566,"446"
567,"471"
568,"440"
569,"479"
570,"472"
571,"484"
572,"430"
573,"443"
574,"501"
575,"442"
576,"456"
577,"466"
578,"456"
579,"462"
580,"477"
581,"507"
582,"472"
583,"465"
584,"455"
585,"434"
586,"441"
587,"485"
588,"475"
589,"450"
590,"491"
591,"472"
592,"469"
593,"430"
594,"468"
595,"447"
596,"461"
