Bruker AXS Handheld Inc. S1PXRF Spectrum ,
Label,L2-4B 1phi 1
Duration Time,60.033
Ambient Temperature,103.7
Detector Temperature,-15
Valid Accumulated Counts,842419
Raw Accumulated Counts,876723
Valid Count Last Packet,13193
Raw Count Last Packet,13724
Live Time,57.98
HV DAC,171
HV ADC,40
Filament DAC,200
Filament ADC,5
Pulse Length,201
Pulse Period,254
Filter,2
eV per channel,20.085
Number of Channels,2048
Vacuum,762
Channel#,Intensity
0,1821
1,1473
2,942
3,483
4,214
5,63
6,22
7,12
8,2
9,1
10,0
11,0
12,1
13,0
14,0
15,0
16,0
17,0
18,0
19,1
20,0
21,7
22,25
23,121
24,153
25,215
26,201
27,179
28,170
29,164
30,182
31,174
32,202
33,152
34,156
35,182
36,147
37,171
38,156
39,178
40,155
41,155
42,153
43,160
44,182
45,161
46,158
47,200
48,189
49,157
50,169
51,163
52,134
53,163
54,167
55,160
56,169
57,136
58,169
59,143
60,157
61,186
62,146
63,163
64,148
65,130
66,139
67,159
68,143
69,145
70,150
71,195
72,240
73,234
74,224
75,219
76,209
77,184
78,200
79,190
80,188
81,286
82,423
83,611
84,907
85,1122
86,1364
87,1224
88,1084
89,833
90,526
91,367
92,262
93,223
94,188
95,176
96,157
97,183
98,198
99,189
100,173
101,158
102,143
103,149
104,150
105,149
106,153
107,137
108,132
109,152
110,153
111,189
112,200
113,248
114,279
115,269
116,258
117,264
118,232
119,226
120,224
121,215
122,226
123,205
124,218
125,246
126,322
127,389
128,493
129,694
130,991
131,1299
132,1723
133,1914
134,2030
135,1976
136,1709
137,1514
138,1411
139,1407
140,1352
141,1423
142,1449
143,1523
144,1638
145,1688
146,1754
147,1699
148,1622
149,1433
150,998
151,750
152,491
153,430
154,359
155,306
156,383
157,422
158,480
159,684
160,928
161,1284
162,1690
163,2083
164,2353
165,2428
166,2226
167,1829
168,1360
169,942
170,596
171,385
172,304
173,278
174,337
175,417
176,565
177,843
178,1170
179,1509
180,2108
181,2633
182,3249
183,3496
184,3482
185,3064
186,2337
187,1778
188,1116
189,780
190,448
191,346
192,288
193,258
194,328
195,368
196,432
197,587
198,681
199,644
200,714
201,687
202,549
203,462
204,356
205,300
206,260
207,270
208,218
209,217
210,201
211,241
212,258
213,241
214,233
215,260
216,237
217,265
218,371
219,428
220,495
221,606
222,719
223,822
224,859
225,835
226,780
227,688
228,572
229,473
230,437
231,396
232,388
233,345
234,336
235,343
236,358
237,307
238,343
239,355
240,360
241,368
242,405
243,407
244,436
245,420
246,448
247,406
248,376
249,390
250,346
251,356
252,369
253,348
254,322
255,313
256,343
257,371
258,369
259,374
260,382
261,345
262,384
263,407
264,404
265,420
266,388
267,417
268,369
269,394
270,401
271,417
272,402
273,422
274,389
275,431
276,384
277,402
278,386
279,368
280,405
281,405
282,406
283,422
284,469
285,419
286,445
287,500
288,555
289,586
290,704
291,797
292,886
293,915
294,880
295,873
296,809
297,650
298,624
299,560
300,504
301,517
302,509
303,533
304,514
305,525
306,568
307,627
308,799
309,1053
310,1584
311,2672
312,4050
313,6224
314,9134
315,12451
316,15472
317,18055
318,18981
319,18451
320,16555
321,13636
322,10051
323,7043
324,4704
325,2876
326,1815
327,1134
328,800
329,602
330,504
331,491
332,479
333,493
334,452
335,543
336,524
337,539
338,507
339,579
340,638
341,637
342,681
343,809
344,1023
345,1309
346,1617
347,2093
348,2608
349,3015
350,3158
351,3317
352,3139
353,2732
354,2377
355,1836
356,1501
357,1203
358,1045
359,864
360,813
361,812
362,845
363,849
364,838
365,899
366,984
367,1051
368,1115
369,1210
370,1288
371,1210
372,1268
373,1110
374,995
375,827
376,754
377,619
378,533
379,539
380,482
381,414
382,456
383,442
384,429
385,389
386,455
387,420
388,417
389,444
390,430
391,477
392,446
393,507
394,540
395,526
396,550
397,618
398,656
399,721
400,687
401,705
402,634
403,664
