Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"4phi bag 120sec"
Duration Time,120.36
Ambient Temperature,"95.6"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"2915321"
Raw Accumulated Counts,"3106655"
Valid Count Last Packet,"22637"
Raw Count Last Packet,"24203"
Live Time,113.243919
HV DAC,171
HV ADC,40.000000
Filament DAC,200
Filament ADC,5.000000
Pulse Length,201
Pulse Period,254
Filter,2
eV per channel,19.7992
Number of Channels,2048
Vacuum,772
Channel#,Intensity
0,"3408"
1,"2849"
2,"1904"
3,"1024"
4,"402"
5,"151"
6,"34"
7,"8"
8,"4"
9,"2"
10,"1"
11,"0"
12,"0"
13,"0"
14,"0"
15,"0"
16,"0"
17,"0"
18,"1"
19,"0"
20,"1"
21,"14"
22,"83"
23,"270"
24,"436"
25,"490"
26,"495"
27,"507"
28,"456"
29,"506"
30,"449"
31,"455"
32,"404"
33,"472"
34,"410"
35,"438"
36,"415"
37,"380"
38,"414"
39,"396"
40,"406"
41,"354"
42,"394"
43,"419"
44,"447"
45,"412"
46,"436"
47,"421"
48,"413"
49,"427"
50,"397"
51,"425"
52,"401"
53,"376"
54,"387"
55,"419"
56,"396"
57,"375"
58,"373"
59,"356"
60,"380"
61,"365"
62,"348"
63,"392"
64,"338"
65,"336"
66,"360"
67,"336"
68,"323"
69,"369"
70,"393"
71,"400"
72,"435"
73,"516"
74,"486"
75,"510"
76,"493"
77,"490"
78,"438"
79,"441"
80,"432"
81,"520"
82,"672"
83,"977"
84,"1301"
85,"1592"
86,"1714"
87,"1650"
88,"1418"
89,"1153"
90,"871"
91,"610"
92,"451"
93,"496"
94,"384"
95,"412"
96,"420"
97,"355"
98,"415"
99,"420"
100,"434"
101,"348"
102,"387"
103,"334"
104,"354"
105,"336"
106,"373"
107,"342"
108,"372"
109,"386"
110,"430"
111,"464"
112,"518"
113,"596"
114,"627"
115,"634"
116,"549"
117,"597"
118,"554"
119,"516"
120,"468"
121,"517"
122,"492"
123,"517"
124,"610"
125,"733"
126,"852"
127,"1127"
128,"1439"
129,"2055"
130,"2795"
131,"3531"
132,"4081"
133,"4507"
134,"4515"
135,"4303"
136,"3792"
137,"3428"
138,"3408"
139,"3332"
140,"3619"
141,"3581"
142,"3575"
143,"3563"
144,"3591"
145,"3762"
146,"3632"
147,"3466"
148,"3029"
149,"2485"
150,"1936"
151,"1548"
152,"1108"
153,"910"
154,"819"
155,"821"
156,"975"
157,"1230"
158,"1738"
159,"2424"
160,"3697"
161,"5574"
162,"7710"
163,"9546"
164,"10642"
165,"10334"
166,"9150"
167,"7033"
168,"4849"
169,"3122"
170,"1828"
171,"1244"
172,"958"
173,"911"
174,"1135"
175,"1419"
176,"1906"
177,"2235"
178,"2765"
179,"3161"
180,"3577"
181,"4004"
182,"4066"
183,"4106"
184,"3852"
185,"3321"
186,"2550"
187,"1780"
188,"1266"
189,"917"
190,"738"
191,"560"
192,"583"
193,"601"
194,"661"
195,"746"
196,"850"
197,"964"
198,"1057"
199,"1120"
200,"1128"
201,"1002"
202,"920"
203,"805"
204,"764"
205,"718"
206,"648"
207,"620"
208,"653"
209,"645"
210,"726"
211,"667"
212,"702"
213,"686"
214,"720"
215,"826"
216,"1048"
217,"1369"
218,"1910"
219,"2721"
220,"3888"
221,"5309"
222,"6498"
223,"7228"
224,"7281"
225,"6848"
226,"5814"
227,"4591"
228,"3520"
229,"2542"
230,"1927"
231,"1604"
232,"1381"
233,"1267"
234,"1097"
235,"1082"
236,"984"
237,"1085"
238,"1135"
239,"1207"
240,"1326"
241,"1547"
242,"1695"
243,"1980"
244,"2023"
245,"2049"
