Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"4phi"
Duration Time,60.7191
Ambient Temperature,"94.0"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"1294925"
Raw Accumulated Counts,"1370720"
Valid Count Last Packet,"20055"
Raw Count Last Packet,"21270"
Live Time,57.580006
HV DAC,171
HV ADC,40.000000
Filament DAC,200
Filament ADC,5.000000
Pulse Length,201
Pulse Period,254
Filter,2
eV per channel,19.8031
Number of Channels,2048
Vacuum,772
Channel#,Intensity
0,"1726"
1,"1396"
2,"929"
3,"509"
4,"205"
5,"60"
6,"14"
7,"5"
8,"3"
9,"0"
10,"0"
11,"0"
12,"0"
13,"1"
14,"0"
15,"0"
16,"0"
17,"0"
18,"0"
19,"0"
20,"0"
21,"4"
22,"44"
23,"133"
24,"222"
25,"258"
26,"249"
27,"216"
28,"224"
29,"208"
30,"234"
31,"210"
32,"216"
33,"197"
34,"208"
35,"170"
36,"201"
37,"173"
38,"210"
39,"229"
40,"190"
41,"206"
42,"187"
43,"189"
44,"199"
45,"199"
46,"202"
47,"195"
48,"193"
49,"205"
50,"171"
51,"215"
52,"194"
53,"160"
54,"175"
55,"188"
56,"204"
57,"201"
58,"189"
59,"213"
60,"193"
61,"196"
62,"183"
63,"187"
64,"160"
65,"198"
66,"173"
67,"171"
68,"184"
69,"210"
70,"259"
71,"277"
72,"327"
73,"409"
74,"389"
75,"393"
76,"360"
77,"300"
78,"280"
79,"299"
80,"283"
81,"362"
82,"550"
83,"990"
84,"1367"
85,"1700"
86,"1829"
87,"1759"
88,"1448"
89,"1013"
90,"713"
91,"478"
92,"320"
93,"231"
94,"234"
95,"177"
96,"193"
97,"179"
98,"219"
99,"194"
100,"174"
101,"156"
102,"165"
103,"164"
104,"172"
105,"185"
106,"167"
107,"175"
108,"170"
109,"163"
110,"192"
111,"203"
112,"238"
113,"264"
114,"242"
115,"302"
116,"291"
117,"285"
118,"255"
119,"256"
120,"246"
121,"222"
122,"248"
123,"210"
124,"270"
125,"316"
126,"440"
127,"547"
128,"726"
129,"972"
130,"1350"
131,"1613"
132,"1905"
133,"2037"
134,"2082"
135,"1887"
136,"1768"
137,"1559"
138,"1450"
139,"1447"
140,"1473"
141,"1455"
142,"1594"
143,"1575"
144,"1648"
145,"1706"
146,"1783"
147,"1630"
148,"1543"
149,"1246"
150,"964"
151,"699"
152,"488"
153,"419"
154,"377"
155,"402"
156,"444"
157,"594"
158,"803"
159,"1226"
160,"1833"
161,"2730"
162,"3714"
163,"4517"
164,"5137"
165,"5015"
166,"4283"
167,"3267"
168,"2345"
169,"1518"
170,"856"
171,"546"
172,"419"
173,"444"
174,"533"
175,"689"
176,"821"
177,"1086"
178,"1307"
179,"1549"
180,"1693"
181,"1923"
182,"1980"
183,"1935"
184,"1809"
185,"1459"
186,"1194"
187,"874"
188,"574"
189,"446"
190,"308"
191,"289"
192,"233"
193,"258"
194,"303"
195,"372"
196,"414"
197,"443"
198,"452"
199,"488"
200,"476"
201,"422"
202,"375"
203,"386"
204,"374"
205,"296"
206,"285"
207,"276"
208,"247"
209,"288"
210,"294"
211,"300"
212,"317"
213,"338"
214,"327"
215,"369"
216,"487"
217,"636"
218,"879"
219,"1260"
220,"1862"
221,"2523"
222,"3063"
223,"3521"
224,"3443"
225,"3252"
226,"2640"
227,"2101"
228,"1515"
229,"1082"
230,"826"
231,"689"
232,"595"
233,"525"
234,"482"
235,"499"
236,"415"
237,"467"
238,"461"
239,"488"
240,"594"
241,"650"
242,"823"
243,"920"
244,"965"
245,"912"
246,"858"
247,"796"
248,"700"
249,"630"
250,"529"
251,"476"
252,"445"
253,"465"
254,"502"
255,"441"
256,"489"
257,"480"
258,"445"
259,"453"
260,"493"
261,"461"
262,"502"
263,"487"
264,"534"
265,"541"
266,"555"
267,"575"
268,"520"
269,"554"
270,"508"
271,"529"
272,"544"
273,"509"
274,"525"
275,"508"
276,"550"
277,"505"
278,"527"
279,"533"
280,"536"
281,"512"
282,"519"
283,"554"
284,"564"
285,"583"
286,"617"
287,"754"
288,"765"
289,"868"
290,"909"
291,"1093"
292,"1095"
293,"1054"
294,"1022"
295,"988"
296,"881"
297,"884"
298,"760"
299,"687"
300,"738"
301,"762"
302,"699"
303,"766"
304,"811"
305,"891"
306,"996"
307,"1358"
308,"1834"
309,"3049"
310,"5089"
311,"8697"
312,"13930"
313,"21278"
314,"30058"
315,"38823"
316,"46081"
317,"49942"
318,"49402"
319,"44749"
320,"37376"
321,"28199"
322,"20229"
323,"12933"
324,"7893"
325,"4585"
326,"2515"
327,"1603"
328,"1068"
329,"797"
330,"704"
331,"687"
332,"660"
333,"687"
334,"725"
335,"689"
336,"736"
337,"706"
338,"789"
339,"847"
340,"946"
341,"1143"
342,"1419"
343,"1964"
344,"2719"
345,"3563"
346,"4709"
347,"5942"
348,"7001"
349,"7748"
350,"8141"
351,"7495"
352,"6915"
353,"5664"
354,"4442"
355,"3315"
356,"2369"
357,"1775"
358,"1346"
359,"1135"
360,"985"
361,"950"
362,"965"
363,"994"
364,"1113"
365,"1158"
366,"1277"
367,"1322"
368,"1507"
369,"1503"
370,"1540"
371,"1500"
372,"1412"
373,"1332"
374,"1150"
375,"961"
376,"768"
377,"706"
378,"625"
379,"548"
380,"562"
381,"505"
382,"519"
383,"526"
384,"478"
385,"539"
386,"534"
387,"529"
388,"528"
389,"548"
390,"542"
391,"588"
392,"584"
393,"628"
394,"635"
395,"733"
396,"749"
397,"725"
398,"795"
399,"803"
400,"763"
401,"814"
402,"771"
403,"712"
404,"717"
405,"691"
406,"693"
407,"669"
408,"697"
409,"679"
410,"730"
411,"695"
412,"661"
413,"631"
414,"583"
415,"624"
416,"583"
417,"522"
418,"562"
419,"571"
420,"607"
421,"592"
422,"638"
423,"668"
424,"659"
425,"843"
426,"864"
427,"919"
428,"956"
429,"863"
430,"834"
431,"824"
432,"777"
433,"743"
434,"655"
435,"621"
436,"619"
437,"612"
438,"595"
439,"578"
440,"599"
441,"588"
442,"581"
443,"616"
444,"595"
445,"564"
446,"611"
447,"580"
448,"588"
449,"570"
450,"612"
451,"589"
452,"620"
453,"611"
454,"626"
455,"631"
456,"646"
457,"667"
458,"656"
459,"667"
460,"691"
461,"646"
462,"638"
463,"660"
464,"630"
465,"586"
466,"551"
467,"600"
468,"667"
469,"601"
470,"610"
471,"615"
472,"622"
473,"662"
474,"624"
475,"640"
476,"653"
477,"660"
478,"634"
479,"641"
480,"643"
481,"598"
482,"615"
483,"589"
484,"618"
485,"574"
486,"598"
487,"586"
488,"602"
489,"642"
490,"612"
491,"649"
492,"608"
493,"597"
494,"568"
495,"571"
496,"595"
497,"610"
498,"642"
499,"610"
500,"605"
501,"614"
502,"604"
503,"560"
504,"585"
505,"580"
506,"611"
507,"583"
508,"666"
509,"639"
510,"614"
511,"574"
512,"567"
513,"618"
514,"629"
515,"617"
516,"612"
517,"657"
518,"647"
519,"689"
520,"664"
521,"695"
522,"686"
523,"661"
524,"723"
525,"692"
526,"634"
527,"668"
528,"650"
529,"587"
530,"568"
531,"599"
532,"624"
533,"569"
534,"577"
535,"601"
536,"632"
537,"610"
538,"563"
539,"568"
540,"591"
541,"541"
542,"578"
543,"620"
544,"625"
545,"550"
546,"616"
547,"624"
548,"565"
549,"613"
550,"572"
551,"565"
552,"583"
553,"585"
554,"599"
555,"579"
556,"589"
557,"547"
558,"603"
559,"552"
560,"566"
561,"569"
562,"565"
563,"577"
564,"571"
565,"578"
566,"545"
567,"537"
568,"566"
569,"546"
570,"589"
571,"524"
572,"532"
573,"567"
574,"581"
575,"555"
576,"544"
577,"598"
578,"555"
579,"550"
580,"577"
581,"570"
582,"616"
583,"577"
584,"592"
585,"579"
586,"589"
587,"585"
588,"585"
589,"578"
590,"599"
591,"579"
592,"569"
593,"596"
594,"582"
595,"597"
596,"572"
597,"574"
598,"581"
599,"555"
600,"547"
601,"541"
602,"598"
603,"591"
604,"562"
605,"553"
606,"553"
607,"604"
608,"576"
609,"587"
610,"563"
611,"577"
612,"531"
613,"566"
614,"513"
615,"593"
616,"603"
617,"542"
618,"585"
619,"586"
620,"598"
621,"609"
622,"616"
623,"618"
624,"656"
625,"630"
626,"631"
627,"668"
628,"631"
629,"638"
630,"575"
631,"639"
632,"666"
633,"577"
634,"617"
635,"594"
636,"620"
637,"613"
638,"619"
639,"588"
640,"613"
641,"631"
642,"589"
643,"639"
644,"588"
645,"633"
646,"600"
647,"584"
648,"594"
649,"631"
650,"610"
651,"589"
652,"614"
653,"640"
654,"730"
655,"745"
656,"817"
657,"956"
658,"1037"
659,"1136"
660,"1273"
661,"1427"
662,"1506"
663,"1551"
664,"1521"
665,"1491"
666,"1450"
667,"1336"
668,"1208"
669,"1082"
670,"949"
671,"834"
672,"745"
673,"723"
674,"680"
675,"640"
676,"594"
677,"613"
678,"584"
679,"561"
680,"591"
681,"532"
682,"563"
683,"537"
684,"552"
685,"580"
686,"580"
687,"552"
688,"580"
689,"535"
690,"554"
691,"564"
692,"551"
693,"587"
694,"596"
695,"711"
696,"654"
697,"766"
698,"726"
699,"803"
700,"831"
701,"821"
702,"855"
703,"808"
704,"839"
705,"782"
706,"793"
707,"681"
708,"631"
709,"601"
710,"608"
711,"531"
712,"538"
713,"514"
714,"521"
715,"464"
716,"519"
717,"528"
718,"488"
719,"521"
720,"538"
721,"524"
722,"478"
723,"523"
724,"571"
725,"556"
726,"554"
727,"501"
728,"537"
729,"504"
730,"471"
731,"528"
732,"561"
733,"560"
734,"578"
735,"569"
736,"591"
737,"640"
738,"683"
739,"720"
740,"739"
741,"732"
742,"747"
743,"743"
744,"675"
745,"656"
746,"656"
747,"610"
748,"630"
749,"547"
750,"558"
751,"507"
752,"524"
753,"562"
754,"536"
755,"530"
756,"510"
757,"526"
758,"500"
759,"522"
760,"508"
761,"506"
762,"463"
763,"482"
764,"484"
765,"490"
766,"476"
767,"536"
768,"519"
769,"587"
770,"568"
771,"624"
772,"686"
773,"873"
774,"934"
775,"1144"
776,"1265"
777,"1374"
778,"1579"
779,"1636"
780,"1730"
781,"1678"
782,"1698"
783,"1650"
784,"1663"
785,"1433"
786,"1290"
787,"1118"
788,"1031"
789,"873"
790,"763"
791,"685"
792,"608"
793,"557"
794,"537"
795,"484"
796,"498"
797,"496"
798,"492"
799,"484"
800,"513"
801,"479"
802,"515"
803,"458"
804,"486"
805,"518"
806,"529"
807,"420"
808,"461"
809,"487"
810,"488"
811,"458"
812,"494"
813,"473"
814,"468"
815,"498"
816,"522"
817,"476"
818,"506"
819,"494"
820,"497"
821,"575"
822,"532"
823,"501"
824,"490"
825,"524"
826,"492"
827,"502"
828,"472"
829,"455"
830,"473"
831,"488"
832,"464"
833,"477"
834,"468"
835,"464"
836,"440"
837,"412"
838,"445"
839,"425"
840,"429"
841,"449"
842,"455"
843,"459"
844,"428"
845,"455"
846,"445"
847,"441"
848,"447"
849,"484"
850,"470"
851,"453"
852,"482"
853,"433"
854,"422"
855,"456"
856,"480"
857,"435"
858,"427"
859,"487"
860,"443"
861,"463"
862,"451"
863,"498"
864,"471"
865,"464"
866,"482"
867,"484"
868,"498"
869,"565"
870,"563"
871,"609"
872,"548"
873,"620"
874,"635"
875,"638"
876,"679"
877,"653"
878,"625"
879,"614"
880,"621"
881,"628"
882,"600"
883,"520"
884,"521"
885,"512"
886,"565"
887,"552"
888,"483"
889,"534"
890,"544"
891,"528"
892,"556"
893,"530"
894,"517"
895,"531"
896,"541"
897,"499"
898,"590"
899,"552"
900,"537"
901,"577"
902,"559"
903,"571"
904,"527"
905,"592"
906,"565"
907,"541"
908,"621"
909,"606"
910,"683"
911,"604"
912,"648"
913,"726"
914,"690"
915,"725"
916,"747"
917,"763"
918,"803"
919,"802"
920,"900"
921,"910"
922,"909"
923,"1025"
924,"1007"
925,"1073"
926,"1092"
927,"1210"
928,"1176"
929,"1166"
930,"1224"
931,"1278"
932,"1326"
933,"1420"
934,"1454"
935,"1421"
936,"1549"
937,"1447"
938,"1494"
939,"1455"
940,"1538"
941,"1457"
942,"1478"
943,"1428"
944,"1504"
945,"1375"
946,"1444"
947,"1428"
948,"1276"
949,"1242"
950,"1267"
951,"1218"
952,"1116"
953,"1129"
954,"1112"
955,"1045"
956,"969"
957,"942"
958,"882"
959,"876"
960,"816"
961,"830"
962,"765"
963,"738"
964,"724"
965,"671"
966,"631"
967,"618"
968,"619"
969,"562"
970,"593"
971,"555"
972,"520"
973,"516"
974,"554"
975,"478"
976,"463"
977,"443"
978,"483"
979,"447"
980,"437"
981,"446"
982,"409"
983,"435"
984,"423"
985,"459"
986,"489"
987,"453"
988,"503"
989,"510"
990,"549"
991,"588"
992,"644"
993,"714"
994,"759"
995,"786"
996,"845"
997,"917"
998,"906"
999,"971"
1000,"988"
1001,"981"
1002,"979"
1003,"929"
1004,"861"
1005,"870"
1006,"812"
1007,"734"
1008,"686"
1009,"529"
1010,"521"
1011,"479"
1012,"412"
1013,"379"
1014,"362"
1015,"380"
1016,"379"
1017,"349"
1018,"355"
1019,"349"
1020,"335"
1021,"398"
1022,"370"
1023,"356"
1024,"361"
1025,"381"
1026,"362"
1027,"350"
1028,"383"
1029,"377"
1030,"357"
1031,"399"
1032,"410"
1033,"404"
1034,"440"
1035,"439"
1036,"477"
1037,"501"
1038,"510"
1039,"528"
1040,"563"
1041,"556"
1042,"520"
1043,"573"
1044,"627"
1045,"619"
1046,"719"
1047,"667"
1048,"695"
1049,"659"
1050,"707"
1051,"677"
1052,"671"
1053,"632"
1054,"584"
1055,"563"
1056,"560"
1057,"541"
1058,"520"
1059,"524"
1060,"420"
1061,"474"
1062,"451"
1063,"407"
1064,"411"
1065,"439"
1066,"381"
1067,"358"
1068,"400"
1069,"365"
1070,"382"
1071,"394"
1072,"371"
1073,"367"
1074,"360"
1075,"343"
1076,"334"
1077,"320"
1078,"349"
1079,"372"
1080,"324"
1081,"315"
1082,"323"
1083,"319"
1084,"351"
1085,"309"
1086,"301"
1087,"297"
1088,"330"
1089,"310"
1090,"302"
1091,"290"
1092,"305"
1093,"268"
1094,"279"
1095,"269"
1096,"294"
1097,"269"
1098,"266"
1099,"269"
1100,"239"
1101,"262"
1102,"266"
1103,"280"
1104,"263"
1105,"248"
1106,"298"
1107,"275"
1108,"275"
1109,"266"
1110,"237"
1111,"248"
1112,"239"
1113,"245"
1114,"237"
1115,"235"
1116,"244"
1117,"246"
1118,"258"
1119,"269"
1120,"272"
1121,"321"
1122,"319"
1123,"301"
1124,"323"
1125,"341"
1126,"345"
1127,"358"
1128,"329"
1129,"318"
1130,"318"
1131,"300"
1132,"283"
1133,"295"
1134,"284"
1135,"269"
1136,"213"
1137,"224"
1138,"229"
1139,"238"
1140,"228"
1141,"241"
1142,"225"
1143,"226"
1144,"237"
1145,"227"
1146,"226"
1147,"247"
1148,"237"
1149,"255"
1150,"211"
1151,"224"
1152,"236"
1153,"224"
1154,"197"
1155,"233"
1156,"220"
1157,"212"
1158,"224"
1159,"185"
1160,"220"
1161,"206"
1162,"213"
1163,"217"
1164,"166"
1165,"216"
1166,"201"
1167,"195"
1168,"172"
1169,"228"
1170,"206"
1171,"220"
1172,"195"
1173,"224"
1174,"198"
1175,"214"
1176,"229"
1177,"239"
1178,"221"
1179,"240"
1180,"240"
1181,"225"
1182,"220"
1183,"244"
1184,"248"
1185,"245"
1186,"213"
1187,"215"
1188,"239"
1189,"209"
1190,"200"
1191,"216"
1192,"194"
1193,"181"
1194,"176"
1195,"199"
1196,"204"
1197,"193"
1198,"171"
1199,"185"
1200,"200"
1201,"203"
1202,"207"
1203,"185"
1204,"184"
1205,"186"
1206,"199"
1207,"176"
1208,"194"
1209,"183"
1210,"178"
1211,"179"
1212,"203"
1213,"179"
1214,"194"
1215,"167"
1216,"170"
1217,"192"
1218,"176"
1219,"159"
1220,"154"
1221,"145"
1222,"186"
1223,"177"
1224,"175"
1225,"194"
1226,"166"
1227,"183"
1228,"152"
1229,"156"
1230,"166"
1231,"191"
1232,"169"
1233,"191"
1234,"156"
1235,"178"
1236,"189"
1237,"170"
1238,"159"
1239,"173"
1240,"174"
1241,"169"
1242,"179"
1243,"174"
1244,"191"
1245,"204"
1246,"166"
1247,"190"
1248,"205"
1249,"212"
1250,"163"
1251,"169"
1252,"177"
1253,"175"
1254,"194"
1255,"191"
1256,"149"
1257,"176"
1258,"196"
1259,"174"
1260,"160"
1261,"151"
1262,"171"
1263,"178"
1264,"173"
1265,"165"
1266,"158"
1267,"142"
1268,"152"
1269,"159"
1270,"163"
1271,"178"
1272,"134"
1273,"152"
1274,"162"
1275,"172"
1276,"161"
1277,"157"
1278,"154"
1279,"154"
1280,"171"
1281,"150"
1282,"169"
1283,"145"
1284,"128"
1285,"150"
1286,"129"
1287,"150"
1288,"142"
1289,"148"
1290,"161"
1291,"144"
1292,"145"
1293,"154"
1294,"139"
1295,"163"
1296,"142"
1297,"151"
1298,"156"
1299,"149"
1300,"147"
1301,"138"
1302,"137"
1303,"144"
1304,"149"
1305,"120"
1306,"131"
1307,"148"
1308,"143"
1309,"150"
1310,"141"
1311,"132"
1312,"163"
1313,"136"
1314,"139"
1315,"146"
1316,"136"
1317,"133"
1318,"132"
1319,"132"
1320,"137"
1321,"129"
1322,"135"
1323,"128"
1324,"133"
1325,"135"
1326,"149"
1327,"125"
1328,"109"
1329,"157"
1330,"123"
1331,"123"
1332,"129"
1333,"114"
1334,"127"
1335,"139"
1336,"138"
1337,"133"
1338,"128"
1339,"143"
1340,"103"
1341,"102"
1342,"127"
1343,"168"
1344,"135"
1345,"143"
1346,"153"
1347,"128"
1348,"129"
1349,"137"
1350,"132"
1351,"107"
1352,"127"
1353,"121"
1354,"114"
1355,"112"
1356,"140"
1357,"128"
1358,"148"
1359,"147"
1360,"135"
1361,"108"
1362,"114"
1363,"129"
1364,"116"
1365,"125"
1366,"100"
1367,"119"
1368,"121"
1369,"112"
1370,"117"
1371,"131"
1372,"118"
1373,"101"
1374,"112"
1375,"128"
1376,"95"
1377,"114"
1378,"114"
1379,"114"
1380,"107"
1381,"109"
1382,"105"
1383,"96"
1384,"99"
1385,"103"
1386,"122"
1387,"115"
1388,"98"
1389,"97"
1390,"111"
1391,"96"
1392,"89"
1393,"100"
1394,"116"
1395,"109"
1396,"115"
1397,"113"
1398,"99"
1399,"113"
1400,"120"
1401,"103"
1402,"110"
1403,"105"
1404,"116"
1405,"106"
1406,"116"
1407,"128"
1408,"117"
1409,"136"
1410,"111"
1411,"90"
1412,"110"
1413,"91"
1414,"109"
1415,"100"
1416,"95"
1417,"96"
1418,"106"
1419,"90"
1420,"109"
1421,"95"
1422,"102"
1423,"90"
1424,"100"
1425,"105"
1426,"81"
1427,"103"
1428,"91"
1429,"98"
1430,"80"
1431,"106"
1432,"101"
1433,"87"
1434,"96"
1435,"102"
1436,"95"
1437,"97"
1438,"110"
1439,"108"
1440,"90"
1441,"93"
1442,"81"
1443,"93"
1444,"98"
1445,"86"
1446,"87"
1447,"93"
1448,"87"
1449,"80"
1450,"94"
1451,"96"
1452,"80"
1453,"95"
1454,"96"
1455,"76"
1456,"73"
1457,"69"
1458,"93"
1459,"79"
1460,"96"
1461,"68"
1462,"69"
1463,"81"
1464,"82"
1465,"100"
1466,"72"
1467,"85"
1468,"69"
1469,"81"
1470,"94"
1471,"91"
1472,"73"
1473,"81"
1474,"81"
1475,"90"
1476,"71"
1477,"76"
1478,"75"
1479,"75"
1480,"79"
1481,"74"
1482,"79"
1483,"66"
1484,"85"
1485,"76"
1486,"80"
1487,"79"
1488,"77"
1489,"78"
1490,"80"
1491,"73"
1492,"76"
1493,"75"
1494,"75"
1495,"84"
1496,"71"
1497,"89"
1498,"69"
1499,"69"
1500,"66"
1501,"67"
1502,"69"
1503,"76"
1504,"73"
1505,"59"
1506,"79"
1507,"59"
1508,"62"
1509,"61"
1510,"65"
1511,"63"
1512,"56"
1513,"55"
1514,"59"
1515,"61"
1516,"56"
1517,"64"
1518,"71"
1519,"68"
1520,"70"
1521,"72"
1522,"63"
1523,"65"
1524,"62"
1525,"71"
1526,"61"
1527,"76"
1528,"67"
1529,"60"
1530,"50"
1531,"42"
1532,"57"
1533,"60"
1534,"55"
1535,"53"
1536,"54"
1537,"51"
1538,"55"
1539,"60"
1540,"58"
1541,"65"
1542,"65"
1543,"65"
1544,"53"
1545,"61"
1546,"50"
1547,"58"
1548,"51"
1549,"60"
1550,"51"
1551,"53"
1552,"55"
1553,"70"
1554,"51"
1555,"75"
1556,"59"
1557,"64"
1558,"42"
1559,"59"
1560,"56"
1561,"51"
1562,"58"
1563,"43"
1564,"52"
1565,"55"
1566,"39"
1567,"46"
1568,"50"
