Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"4phi 120sec"
Duration Time,120.75
Ambient Temperature,"96.5"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"1804819"
Raw Accumulated Counts,"1883491"
Valid Count Last Packet,"14068"
Raw Count Last Packet,"14724"
Live Time,116.321030
HV DAC,171
HV ADC,40.000000
Filament DAC,200
Filament ADC,5.000000
Pulse Length,201
Pulse Period,254
Filter,2
eV per channel,19.7981
Number of Channels,2048
Vacuum,772
Channel#,Intensity
0,"3660"
1,"2923"
2,"1898"
3,"995"
4,"428"
5,"142"
6,"34"
7,"10"
8,"3"
9,"2"
10,"0"
11,"0"
12,"0"
13,"1"
14,"0"
15,"0"
16,"0"
17,"0"
18,"0"
19,"1"
20,"1"
21,"11"
22,"59"
23,"235"
24,"403"
25,"436"
26,"459"
27,"433"
28,"398"
29,"426"
30,"466"
31,"394"
32,"402"
33,"352"
34,"385"
35,"377"
36,"391"
37,"351"
38,"334"
39,"333"
40,"367"
41,"336"
42,"346"
43,"355"
44,"363"
45,"380"
46,"388"
47,"395"
48,"386"
49,"387"
50,"372"
51,"385"
52,"377"
53,"390"
54,"345"
55,"350"
56,"352"
57,"339"
58,"347"
59,"347"
60,"338"
61,"349"
62,"326"
63,"278"
64,"301"
65,"330"
66,"314"
67,"318"
68,"316"
69,"390"
70,"375"
71,"501"
72,"587"
73,"643"
74,"725"
75,"661"
76,"628"
77,"515"
78,"486"
79,"500"
80,"608"
81,"789"
82,"1294"
83,"2013"
84,"3080"
85,"3785"
86,"4284"
87,"4049"
88,"3355"
89,"2440"
90,"1657"
91,"1042"
92,"665"
93,"494"
94,"427"
95,"388"
96,"336"
97,"336"
98,"318"
99,"335"
100,"327"
101,"301"
102,"326"
103,"303"
104,"289"
105,"291"
106,"298"
107,"303"
108,"261"
109,"337"
110,"303"
111,"399"
112,"438"
113,"455"
114,"476"
115,"534"
116,"496"
117,"483"
118,"438"
119,"432"
120,"404"
121,"393"
122,"416"
123,"426"
124,"459"
125,"518"
126,"642"
127,"746"
128,"1060"
129,"1441"
130,"1987"
131,"2754"
132,"3523"
133,"3841"
134,"3856"
135,"3684"
136,"3375"
137,"2918"
138,"2667"
139,"2746"
140,"2822"
141,"2874"
142,"2878"
143,"3089"
144,"3044"
145,"3480"
146,"3525"
147,"3392"
148,"3027"
149,"2370"
150,"1856"
151,"1344"
152,"982"
153,"785"
154,"682"
155,"705"
156,"791"
157,"929"
158,"1315"
159,"1867"
160,"2981"
161,"4350"
162,"6058"
163,"7561"
164,"8577"
165,"8187"
166,"7247"
167,"5835"
168,"3841"
169,"2448"
170,"1550"
171,"960"
172,"652"
173,"734"
174,"844"
175,"1027"
176,"1391"
177,"1642"
178,"2056"
179,"2175"
180,"2441"
181,"2612"
182,"2693"
183,"2646"
184,"2344"
185,"2024"
186,"1613"
187,"1168"
188,"838"
189,"645"
190,"499"
191,"449"
192,"451"
193,"474"
194,"501"
195,"572"
196,"563"
197,"684"
198,"709"
199,"760"
200,"746"
201,"688"
202,"615"
203,"578"
204,"485"
205,"483"
206,"466"
207,"409"
208,"450"
209,"407"
210,"468"
211,"483"
212,"480"
213,"514"
214,"508"
215,"509"
216,"574"
217,"622"
218,"716"
219,"859"
220,"1017"
221,"1279"
222,"1552"
223,"1605"
224,"1658"
225,"1494"
226,"1356"
227,"1171"
228,"1059"
229,"843"
230,"746"
231,"721"
232,"691"
233,"644"
234,"623"
235,"623"
236,"643"
237,"661"
238,"704"
239,"741"
240,"762"
241,"785"
242,"795"
243,"837"
244,"903"
245,"867"
246,"851"
247,"838"
248,"787"
249,"785"
250,"770"
251,"691"
252,"738"
253,"736"
254,"722"
255,"749"
256,"740"
257,"761"
258,"761"
259,"717"
260,"724"
261,"790"
262,"789"
263,"770"
264,"753"
265,"789"
266,"850"
267,"804"
268,"813"
269,"876"
270,"872"
271,"921"
272,"915"
273,"886"
274,"834"
275,"870"
276,"845"
277,"864"
278,"899"
279,"861"
280,"866"
281,"934"
282,"889"
283,"1006"
284,"913"
285,"885"
286,"952"
287,"1019"
288,"1020"
289,"1089"
290,"1177"
291,"1247"
292,"1301"
293,"1226"
294,"1237"
295,"1161"
296,"1179"
297,"1089"
298,"1033"
299,"1046"
300,"1092"
301,"1038"
302,"1037"
303,"1126"
304,"1152"
305,"1103"
306,"1214"
307,"1338"
308,"1554"
309,"2002"
310,"2992"
311,"4451"
312,"6822"
313,"9861"
314,"13678"
315,"17701"
316,"20814"
