Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"4phi bag 120sec"
Duration Time,120.486
Ambient Temperature,"96.3"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"2259346"
Raw Accumulated Counts,"2378000"
Valid Count Last Packet,"17416"
Raw Count Last Packet,"18328"
Live Time,114.897919
HV DAC,171
HV ADC,40.000000
Filament DAC,200
Filament ADC,5.000000
Pulse Length,201
Pulse Period,254
Filter,2
eV per channel,19.804
Number of Channels,2048
Vacuum,772
Channel#,Intensity
0,"3441"
1,"2792"
2,"1995"
3,"1057"
4,"459"
5,"113"
6,"32"
7,"9"
8,"6"
9,"0"
10,"1"
11,"0"
12,"0"
13,"0"
14,"0"
15,"1"
16,"0"
17,"1"
18,"1"
19,"1"
20,"1"
21,"10"
22,"77"
23,"271"
24,"453"
25,"501"
26,"502"
27,"514"
28,"444"
29,"480"
30,"494"
31,"452"
32,"468"
33,"463"
34,"466"
35,"408"
36,"439"
37,"398"
38,"411"
39,"435"
40,"421"
41,"428"
42,"404"
43,"435"
44,"443"
45,"460"
46,"455"
47,"480"
48,"460"
49,"407"
50,"473"
51,"396"
52,"406"
53,"396"
54,"406"
55,"397"
56,"409"
57,"429"
58,"396"
59,"425"
60,"371"
61,"417"
62,"393"
63,"363"
64,"310"
65,"356"
66,"340"
67,"376"
68,"365"
69,"387"
70,"390"
71,"406"
72,"455"
73,"477"
74,"490"
75,"546"
76,"527"
77,"498"
78,"471"
79,"471"
80,"504"
81,"536"
82,"763"
83,"1058"
84,"1386"
85,"1678"
86,"1891"
87,"1773"
88,"1490"
89,"1174"
90,"839"
91,"613"
92,"516"
93,"415"
94,"384"
95,"377"
96,"358"
97,"353"
98,"410"
99,"367"
100,"375"
101,"383"
102,"348"
103,"326"
104,"363"
105,"295"
106,"369"
107,"314"
108,"312"
109,"347"
110,"392"
111,"400"
112,"488"
113,"519"
114,"555"
115,"595"
116,"589"
117,"547"
118,"574"
119,"484"
120,"489"
121,"481"
122,"490"
123,"481"
124,"553"
125,"564"
126,"730"
127,"926"
128,"1216"
129,"1732"
130,"2391"
131,"3192"
132,"3939"
133,"4359"
134,"4632"
135,"4175"
136,"3801"
137,"3532"
138,"3296"
139,"3253"
140,"3461"
141,"3377"
142,"3520"
143,"3541"
144,"3668"
145,"3549"
146,"3576"
147,"3507"
148,"3032"
149,"2496"
150,"1971"
151,"1476"
152,"1064"
153,"878"
154,"849"
155,"907"
156,"935"
157,"1124"
158,"1649"
159,"2492"
160,"3844"
161,"5836"
162,"7992"
163,"9981"
164,"11063"
165,"10838"
166,"9393"
167,"7292"
168,"5107"
169,"3341"
170,"1915"
171,"1235"
172,"973"
173,"915"
174,"1075"
175,"1413"
176,"1781"
177,"2214"
178,"2417"
179,"2592"
180,"2730"
181,"2870"
182,"2832"
183,"2695"
184,"2450"
185,"2043"
186,"1634"
187,"1244"
188,"912"
189,"700"
190,"590"
191,"514"
192,"518"
193,"533"
194,"597"
195,"657"
196,"673"
197,"737"
198,"819"
199,"827"
200,"836"
201,"784"
202,"691"
203,"678"
204,"646"
205,"586"
206,"589"
207,"568"
208,"578"
209,"591"
210,"577"
211,"631"
212,"652"
213,"655"
214,"637"
215,"684"
216,"770"
217,"810"
218,"994"
219,"1285"
220,"1624"
221,"2058"
222,"2270"
223,"2573"
224,"2643"
225,"2420"
226,"2158"
227,"1774"
228,"1450"
229,"1167"
230,"1067"
231,"1009"
232,"916"
233,"859"
234,"820"
235,"826"
236,"816"
237,"798"
238,"824"
239,"904"
240,"961"
241,"1080"
242,"1023"
243,"1148"
244,"1176"
245,"1206"
246,"1115"
247,"1174"
248,"1082"
249,"1033"
250,"993"
251,"908"
252,"979"
253,"900"
254,"956"
255,"876"
256,"869"
257,"994"
258,"970"
259,"1025"
260,"1021"
261,"1051"
262,"1058"
263,"1099"
264,"1029"
265,"1118"
266,"1104"
267,"1104"
268,"1091"
269,"1148"
270,"1117"
271,"1161"
272,"1209"
273,"1173"
274,"1207"
275,"1141"
276,"1240"
277,"1145"
278,"1161"
279,"1125"
280,"1163"
281,"1128"
282,"1141"
283,"1191"
284,"1201"
285,"1266"
286,"1273"
287,"1332"
288,"1384"
289,"1532"
290,"1606"
291,"1716"
292,"1699"
293,"1726"
294,"1608"
295,"1658"
296,"1628"
297,"1481"
298,"1444"
299,"1409"
300,"1359"
301,"1475"
302,"1430"
303,"1434"
304,"1517"
305,"1575"
306,"1641"
307,"1933"
308,"2350"
309,"3125"
310,"4746"
311,"7461"
312,"11473"
313,"17011"
314,"23316"
315,"30564"
316,"35858"
317,"39251"
318,"39220"
319,"35860"
320,"30373"
321,"23613"
322,"16550"
323,"11042"
324,"7160"
325,"4565"
326,"2911"
327,"2160"
328,"1659"
329,"1449"
330,"1470"
331,"1410"
332,"1380"
333,"1436"
334,"1455"
335,"1441"
336,"1492"
337,"1442"
338,"1560"
339,"1591"
340,"1746"
341,"1890"
342,"2047"
343,"2380"
344,"2977"
345,"3547"
346,"4426"
347,"5488"
348,"6371"
349,"6991"
350,"7378"
351,"6717"
352,"6323"
353,"5363"
354,"4634"
355,"3728"
356,"3029"
357,"2624"
358,"2385"
359,"2333"
360,"2358"
361,"2487"
362,"2493"
363,"2644"
364,"2802"
365,"2870"
366,"3225"
367,"3486"
368,"3651"
369,"3922"
370,"3999"
371,"4078"
372,"3822"
373,"3349"
374,"2934"
375,"2543"
376,"2080"
377,"1886"
378,"1606"
379,"1466"
380,"1403"
381,"1267"
382,"1316"
383,"1332"
384,"1411"
385,"1366"
386,"1377"
387,"1339"
388,"1321"
389,"1406"
390,"1386"
391,"1429"
392,"1517"
393,"1522"
394,"1632"
395,"1664"
396,"1778"
397,"1935"
398,"1987"
399,"1979"
