Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"Pz0405 3phi 1"
Duration Time,60.522
Ambient Temperature,"95.4"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"1680460"
Raw Accumulated Counts,"1808129"
Valid Count Last Packet,"25996"
Raw Count Last Packet,"27889"
Live Time,56.383995
HV DAC,171
HV ADC,40.000000
Filament DAC,200
Filament ADC,5.000000
Pulse Length,201
Pulse Period,254
Filter,2
eV per channel,19.7921
Number of Channels,2048
Vacuum,771
Channel#,Intensity
0,"1689"
1,"1384"
2,"952"
3,"504"
4,"201"
5,"66"
6,"21"
7,"4"
8,"0"
9,"0"
10,"0"
11,"0"
12,"0"
13,"0"
14,"1"
15,"0"
16,"0"
17,"0"
18,"0"
19,"0"
20,"1"
21,"2"
22,"47"
23,"144"
24,"242"
25,"269"
26,"274"
27,"301"
28,"267"
29,"234"
30,"254"
31,"247"
32,"254"
33,"220"
34,"249"
35,"239"
36,"216"
37,"213"
38,"227"
39,"220"
40,"193"
41,"223"
42,"225"
43,"219"
44,"247"
45,"211"
46,"245"
47,"220"
48,"219"
49,"212"
50,"244"
51,"224"
52,"225"
53,"222"
54,"243"
55,"206"
56,"205"
57,"213"
58,"206"
59,"237"
60,"214"
61,"204"
62,"209"
63,"201"
64,"163"
65,"201"
66,"213"
67,"212"
68,"176"
69,"189"
70,"204"
71,"202"
72,"264"
73,"277"
74,"276"
75,"265"
76,"234"
77,"277"
78,"293"
79,"270"
80,"257"
81,"304"
82,"389"
83,"503"
84,"610"
85,"783"
86,"840"
87,"810"
88,"679"
89,"538"
90,"430"
91,"343"
92,"237"
93,"277"
94,"193"
95,"215"
96,"200"
97,"201"
98,"206"
99,"183"
100,"217"
101,"213"
102,"188"
103,"185"
104,"182"
105,"164"
106,"197"
107,"194"
108,"194"
109,"200"
110,"243"
111,"259"
112,"248"
113,"293"
114,"325"
115,"321"
116,"313"
117,"303"
118,"240"
119,"266"
120,"284"
121,"260"
122,"244"
123,"280"
124,"307"
125,"327"
126,"343"
127,"465"
128,"696"
129,"913"
130,"1198"
131,"1525"
132,"1939"
133,"2252"
134,"2274"
135,"2127"
136,"1915"
137,"1775"
138,"1637"
139,"1697"
140,"1761"
141,"1835"
142,"1740"
143,"1722"
144,"1813"
145,"1811"
146,"1823"
147,"1712"
148,"1534"
149,"1274"
150,"1054"
151,"750"
152,"594"
153,"468"
154,"439"
155,"467"
156,"519"
157,"685"
158,"883"
159,"1411"
160,"2152"
161,"3283"
162,"4622"
163,"5636"
164,"6296"
165,"6249"
166,"5413"
167,"4300"
168,"2966"
169,"1835"
170,"1136"
171,"722"
172,"537"
173,"512"
174,"614"
175,"825"
176,"979"
177,"1149"
178,"1367"
179,"1491"
180,"1587"
181,"1561"
182,"1579"
183,"1480"
184,"1370"
185,"1102"
186,"878"
187,"746"
188,"495"
189,"416"
190,"339"
191,"286"
192,"317"
193,"302"
194,"346"
195,"375"
196,"403"
197,"419"
198,"434"
199,"477"
200,"478"
201,"445"
202,"410"
203,"409"
204,"350"
205,"345"
206,"353"
207,"332"
208,"350"
209,"361"
210,"351"
211,"328"
212,"357"
213,"336"
214,"398"
215,"444"
216,"530"
217,"670"
218,"937"
219,"1298"
220,"1940"
221,"2699"
222,"3165"
223,"3489"
224,"3617"
225,"3413"
226,"2914"
227,"2334"
228,"1746"
229,"1308"
230,"1038"
231,"924"
232,"791"
233,"687"
234,"640"
235,"586"
236,"550"
237,"557"
238,"575"
239,"726"
240,"755"
241,"853"
242,"926"
243,"1001"
244,"1080"
245,"1086"
246,"1124"
247,"976"
248,"830"
249,"773"
250,"651"
251,"642"
252,"576"
253,"590"
254,"602"
255,"566"
256,"550"
257,"603"
258,"628"
259,"607"
260,"618"
261,"602"
262,"600"
263,"671"
264,"685"
265,"675"
266,"718"
267,"717"
268,"798"
269,"773"
270,"711"
271,"700"
272,"703"
273,"641"
274,"669"
275,"699"
276,"635"
277,"644"
278,"682"
279,"648"
280,"679"
281,"623"
282,"677"
283,"636"
284,"701"
285,"743"
286,"830"
287,"848"
288,"994"
289,"1115"
290,"1195"
291,"1297"
292,"1441"
293,"1475"
294,"1388"
295,"1335"
296,"1204"
297,"1134"
298,"1031"
299,"962"
300,"952"
301,"926"
302,"978"
303,"986"
304,"1023"
305,"1296"
306,"1418"
307,"1835"
308,"2686"
309,"4322"
310,"7534"
311,"13158"
312,"21524"
313,"33233"
314,"47742"
315,"61889"
316,"74624"
317,"81874"
318,"82094"
319,"75907"
320,"63445"
321,"49484"
322,"34831"
323,"22930"
324,"13772"
325,"7816"
326,"4319"
327,"2426"
328,"1496"
329,"1110"
330,"925"
331,"849"
332,"890"
333,"827"
334,"844"
335,"864"
336,"930"
337,"963"
338,"1050"
339,"1123"
340,"1296"
341,"1440"
342,"2016"
343,"2696"
344,"3663"
345,"5340"
346,"7126"
347,"9314"
348,"11027"
349,"12398"
350,"12909"
351,"12590"
352,"11470"
353,"9504"
354,"7374"
355,"5319"
356,"3782"
357,"2558"
358,"1904"
359,"1463"
360,"1170"
361,"1064"
362,"1106"
363,"1183"
364,"1216"
365,"1216"
366,"1389"
367,"1394"
368,"1557"
369,"1652"
370,"1679"
371,"1741"
372,"1574"
373,"1424"
374,"1242"
375,"1069"
376,"976"
377,"780"
378,"620"
379,"648"
380,"561"
381,"595"
382,"566"
383,"537"
384,"556"
385,"533"
386,"610"
387,"591"
388,"541"
389,"585"
390,"555"
391,"607"
392,"628"
393,"622"
394,"700"
395,"795"
396,"777"
397,"843"
398,"892"
399,"871"
400,"921"
401,"871"
402,"842"
403,"811"
404,"720"
405,"778"
406,"695"
407,"792"
408,"760"
409,"802"
410,"781"
411,"761"
412,"727"
413,"682"
414,"668"
415,"599"
416,"612"
417,"622"
418,"600"
419,"575"
420,"580"
421,"637"
422,"594"
423,"639"
424,"734"
425,"722"
426,"799"
427,"804"
428,"839"
429,"757"
430,"769"
431,"744"
432,"695"
433,"717"
434,"691"
435,"609"
436,"617"
437,"691"
438,"623"
439,"619"
440,"635"
441,"636"
442,"658"
443,"648"
444,"651"
445,"611"
446,"661"
447,"618"
448,"594"
449,"629"
450,"603"
451,"619"
452,"651"
453,"629"
454,"676"
455,"677"
456,"689"
457,"710"
458,"677"
459,"726"
460,"728"
461,"669"
462,"706"
463,"625"
464,"662"
465,"670"
466,"636"
467,"666"
468,"646"
469,"645"
470,"644"
471,"618"
472,"653"
473,"631"
474,"651"
475,"687"
476,"664"
477,"640"
478,"622"
479,"636"
480,"710"
481,"644"
482,"667"
483,"636"
484,"612"
485,"647"
486,"644"
487,"646"
488,"638"
489,"668"
490,"682"
491,"647"
492,"643"
493,"688"
494,"649"
495,"639"
496,"646"
497,"638"
498,"707"
499,"666"
500,"666"
501,"641"
502,"642"
503,"643"
504,"632"
505,"683"
506,"661"
507,"696"
508,"670"
509,"616"
510,"678"
511,"635"
512,"673"
513,"667"
514,"680"
515,"629"
516,"666"
517,"626"
518,"701"
519,"643"
520,"678"
521,"687"
522,"699"
523,"702"
524,"690"
525,"657"
526,"644"
527,"706"
528,"668"
529,"645"
530,"673"
531,"633"
532,"625"
533,"655"
534,"658"
535,"640"
536,"604"
537,"595"
538,"648"
539,"639"
540,"599"
541,"626"
542,"645"
543,"618"
544,"615"
545,"620"
546,"635"
547,"668"
548,"606"
549,"617"
550,"599"
551,"567"
552,"664"
553,"630"
554,"604"
555,"639"
556,"680"
557,"630"
558,"623"
559,"607"
560,"623"
561,"621"
562,"628"
563,"675"
564,"595"
565,"678"
566,"627"
567,"624"
568,"617"
569,"623"
570,"607"
571,"616"
572,"618"
573,"609"
574,"659"
575,"543"
576,"627"
577,"634"
578,"632"
579,"591"
580,"621"
581,"637"
582,"615"
583,"653"
584,"631"
585,"679"
586,"639"
587,"570"
588,"623"
589,"585"
590,"624"
591,"593"
592,"609"
593,"582"
594,"604"
595,"560"
596,"581"
597,"638"
598,"588"
599,"633"
600,"586"
601,"610"
602,"616"
603,"553"
604,"647"
605,"591"
606,"626"
607,"615"
608,"656"
609,"627"
610,"581"
611,"627"
612,"636"
613,"586"
614,"608"
615,"642"
616,"577"
617,"645"
618,"609"
619,"614"
620,"590"
621,"611"
622,"608"
623,"612"
624,"596"
625,"641"
626,"612"
627,"612"
628,"623"
629,"681"
630,"609"
631,"633"
632,"604"
633,"693"
634,"683"
635,"640"
636,"670"
637,"676"
638,"666"
639,"673"
640,"653"
641,"632"
642,"638"
643,"603"
644,"607"
645,"621"
646,"660"
647,"622"
648,"660"
649,"639"
650,"578"
651,"600"
652,"601"
653,"597"
654,"655"
655,"666"
656,"706"
657,"758"
658,"835"
659,"771"
660,"955"
661,"953"
662,"1036"
663,"1034"
664,"1088"
665,"1019"
666,"1033"
667,"960"
668,"895"
669,"839"
670,"786"
671,"725"
672,"688"
673,"653"
674,"637"
675,"596"
676,"611"
677,"609"
678,"603"
679,"597"
680,"558"
681,"575"
682,"637"
683,"521"
684,"614"
685,"623"
686,"573"
687,"571"
688,"613"
689,"594"
690,"574"
691,"658"
692,"662"
693,"661"
694,"676"
695,"762"
696,"852"
697,"933"
698,"971"
699,"1035"
700,"1115"
701,"1114"
702,"1207"
703,"1174"
704,"1061"
705,"1029"
706,"979"
707,"864"
708,"794"
709,"813"
710,"693"
711,"620"
712,"633"
713,"605"
714,"591"
715,"577"
716,"574"
717,"576"
718,"552"
719,"574"
720,"594"
721,"552"
722,"546"
723,"579"
724,"515"
725,"538"
726,"533"
727,"531"
728,"563"
729,"551"
730,"514"
731,"568"
732,"549"
733,"537"
734,"582"
735,"563"
736,"610"
737,"631"
738,"621"
739,"738"
740,"676"
741,"660"
742,"663"
743,"665"
744,"653"
745,"649"
746,"631"
747,"594"
748,"565"
749,"598"
750,"589"
751,"617"
752,"552"
753,"559"
754,"540"
755,"551"
756,"551"
757,"579"
758,"551"
759,"527"
760,"519"
761,"517"
762,"514"
763,"527"
764,"548"
765,"527"
766,"495"
767,"564"
768,"526"
769,"573"
770,"577"
771,"579"
772,"627"
773,"729"
774,"700"
775,"758"
776,"817"
777,"954"
778,"977"
779,"1075"
780,"1173"
781,"1122"
782,"1139"
783,"1153"
784,"1099"
785,"1018"
786,"1018"
787,"971"
788,"824"
789,"791"
790,"784"
791,"662"
792,"590"
793,"532"
794,"567"
795,"528"
796,"535"
797,"540"
798,"566"
799,"538"
800,"555"
801,"507"
802,"492"
803,"551"
804,"553"
805,"472"
806,"528"
807,"523"
808,"483"
809,"491"
810,"480"
811,"507"
812,"540"
813,"496"
814,"517"
815,"482"
816,"506"
817,"487"
818,"507"
819,"539"
820,"548"
821,"534"
822,"546"
823,"576"
824,"545"
825,"535"
826,"513"
827,"520"
828,"532"
829,"526"
830,"523"
831,"499"
832,"487"
833,"484"
834,"487"
835,"476"
836,"477"
837,"509"
838,"502"
839,"482"
840,"459"
841,"473"
842,"510"
843,"434"
844,"448"
845,"478"
846,"484"
847,"473"
848,"450"
849,"487"
850,"476"
851,"460"
852,"485"
853,"462"
854,"454"
855,"492"
856,"516"
857,"491"
858,"467"
859,"526"
860,"505"
861,"452"
862,"511"
863,"494"
864,"485"
865,"500"
866,"497"
867,"542"
868,"504"
869,"565"
870,"489"
871,"565"
872,"586"
873,"542"
874,"587"
875,"557"
876,"586"
877,"548"
878,"594"
879,"578"
880,"591"
881,"610"
882,"571"
883,"553"
884,"543"
885,"541"
886,"550"
887,"528"
888,"486"
889,"553"
890,"548"
891,"523"
892,"536"
893,"591"
894,"548"
895,"566"
896,"578"
897,"570"
898,"586"
899,"631"
900,"582"
901,"593"
902,"552"
903,"587"
904,"626"
905,"626"
906,"635"
907,"634"
908,"607"
909,"671"
910,"655"
911,"644"
912,"697"
913,"693"
914,"701"
915,"762"
916,"748"
917,"811"
918,"806"
919,"889"
920,"905"
921,"887"
922,"932"
923,"992"
924,"1058"
925,"1052"
926,"1085"
927,"1113"
928,"1250"
929,"1256"
930,"1261"
931,"1389"
932,"1382"
933,"1490"
934,"1411"
935,"1463"
936,"1560"
937,"1600"
938,"1672"
939,"1624"
940,"1662"
941,"1732"
942,"1707"
943,"1633"
944,"1638"
945,"1688"
946,"1680"
947,"1763"
948,"1625"
949,"1578"
950,"1602"
951,"1463"
952,"1477"
953,"1485"
954,"1331"
955,"1356"
956,"1279"
957,"1169"
958,"1118"
959,"1101"
960,"1037"
961,"973"
962,"985"
963,"894"
964,"867"
965,"787"
966,"812"
967,"768"
968,"740"
969,"743"
970,"697"
971,"698"
972,"648"
973,"664"
974,"628"
975,"599"
976,"547"
977,"580"
978,"516"
979,"527"
980,"550"
981,"532"
982,"505"
983,"525"
984,"536"
985,"498"
986,"534"
987,"528"
988,"550"
989,"576"
990,"625"
991,"622"
992,"738"
993,"813"
994,"881"
995,"922"
996,"985"
997,"991"
998,"1080"
999,"1196"
1000,"1139"
1001,"1213"
1002,"1189"
1003,"1088"
1004,"1070"
1005,"1122"
1006,"955"
1007,"943"
1008,"817"
1009,"765"
1010,"679"
1011,"621"
1012,"555"
1013,"494"
1014,"435"
1015,"424"
1016,"439"
1017,"387"
1018,"424"
1019,"381"
1020,"426"
1021,"385"
1022,"420"
1023,"372"
1024,"411"
1025,"423"
1026,"385"
1027,"420"
1028,"428"
1029,"430"
1030,"413"
1031,"413"
1032,"404"
1033,"462"
1034,"452"
1035,"500"
1036,"502"
1037,"487"
1038,"556"
1039,"522"
1040,"593"
1041,"588"
1042,"637"
1043,"643"
1044,"652"
1045,"693"
1046,"696"
1047,"723"
1048,"680"
1049,"771"
1050,"773"
1051,"713"
1052,"754"
1053,"737"
1054,"689"
1055,"624"
1056,"656"
1057,"662"
1058,"635"
1059,"600"
1060,"599"
1061,"541"
1062,"525"
1063,"505"
1064,"507"
1065,"511"
1066,"456"
1067,"472"
1068,"469"
1069,"447"
1070,"455"
1071,"474"
1072,"434"
1073,"468"
1074,"443"
1075,"448"
1076,"392"
1077,"390"
1078,"377"
1079,"385"
1080,"380"
1081,"393"
1082,"398"
1083,"412"
1084,"372"
1085,"362"
1086,"357"
1087,"329"
1088,"341"
1089,"345"
1090,"344"
1091,"334"
1092,"355"
1093,"326"
1094,"317"
1095,"316"
1096,"329"
1097,"331"
1098,"296"
1099,"278"
1100,"279"
1101,"300"
1102,"313"
1103,"302"
1104,"323"
1105,"306"
1106,"302"
1107,"321"
1108,"320"
1109,"302"
1110,"324"
1111,"291"
1112,"298"
1113,"276"
1114,"276"
1115,"301"
1116,"324"
1117,"309"
1118,"312"
1119,"329"
1120,"332"
1121,"314"
1122,"365"
1123,"365"
1124,"363"
1125,"360"
1126,"375"
1127,"391"
1128,"359"
1129,"371"
1130,"404"
1131,"384"
1132,"355"
1133,"310"
1134,"311"
1135,"292"
1136,"313"
1137,"277"
1138,"313"
1139,"299"
1140,"268"
1141,"257"
1142,"240"
1143,"272"
1144,"255"
1145,"279"
1146,"251"
1147,"311"
1148,"253"
1149,"252"
1150,"273"
1151,"269"
1152,"225"
1153,"269"
1154,"249"
1155,"237"
1156,"239"
1157,"252"
1158,"241"
1159,"273"
1160,"247"
1161,"192"
1162,"277"
1163,"249"
1164,"230"
1165,"232"
1166,"276"
1167,"218"
1168,"260"
1169,"235"
1170,"248"
1171,"260"
1172,"242"
1173,"240"
1174,"238"
1175,"246"
1176,"247"
1177,"272"
1178,"260"
1179,"271"
1180,"276"
1181,"281"
1182,"280"
1183,"282"
1184,"259"
1185,"275"
1186,"263"
1187,"222"
1188,"235"
1189,"236"
1190,"238"
1191,"248"
1192,"244"
1193,"222"
1194,"254"
1195,"227"
1196,"257"
1197,"214"
1198,"219"
1199,"247"
1200,"213"
1201,"217"
1202,"222"
1203,"249"
1204,"214"
1205,"224"
1206,"235"
1207,"204"
1208,"223"
1209,"237"
1210,"192"
1211,"239"
1212,"233"
1213,"236"
1214,"207"
1215,"213"
1216,"226"
1217,"209"
1218,"228"
1219,"217"
1220,"215"
1221,"206"
1222,"193"
1223,"193"
1224,"209"
1225,"189"
1226,"178"
1227,"201"
1228,"211"
1229,"219"
1230,"231"
1231,"195"
1232,"209"
1233,"196"
1234,"197"
1235,"171"
1236,"224"
1237,"217"
1238,"215"
1239,"230"
1240,"205"
1241,"213"
1242,"220"
1243,"214"
1244,"202"
1245,"195"
1246,"209"
1247,"199"
1248,"228"
1249,"210"
1250,"215"
1251,"209"
1252,"209"
1253,"180"
1254,"200"
1255,"194"
1256,"231"
1257,"227"
1258,"206"
1259,"199"
1260,"201"
1261,"195"
1262,"201"
1263,"179"
1264,"178"
1265,"183"
1266,"194"
1267,"166"
1268,"176"
1269,"188"
1270,"182"
1271,"211"
1272,"194"
1273,"200"
1274,"176"
1275,"181"
1276,"176"
1277,"184"
1278,"164"
1279,"188"
1280,"171"
1281,"187"
1282,"194"
1283,"193"
1284,"185"
1285,"177"
1286,"161"
1287,"192"
1288,"181"
1289,"181"
1290,"168"
1291,"180"
1292,"151"
1293,"174"
1294,"181"
1295,"144"
1296,"162"
1297,"162"
1298,"196"
1299,"161"
1300,"179"
1301,"158"
1302,"166"
1303,"175"
1304,"165"
1305,"150"
1306,"134"
1307,"164"
1308,"169"
1309,"158"
1310,"181"
1311,"184"
1312,"142"
1313,"160"
1314,"152"
1315,"186"
1316,"151"
1317,"169"
1318,"143"
1319,"155"
1320,"141"
1321,"161"
1322,"165"
1323,"170"
1324,"182"
1325,"171"
1326,"183"
1327,"158"
1328,"140"
1329,"158"
1330,"181"
1331,"154"
1332,"172"
1333,"152"
1334,"147"
1335,"152"
1336,"150"
1337,"154"
1338,"163"
1339,"133"
1340,"179"
1341,"134"
1342,"139"
1343,"164"
1344,"172"
1345,"126"
1346,"154"
1347,"128"
1348,"162"
1349,"129"
1350,"148"
1351,"129"
1352,"155"
1353,"149"
1354,"159"
1355,"146"
1356,"124"
1357,"144"
1358,"135"
1359,"141"
1360,"132"
1361,"152"
1362,"144"
1363,"128"
1364,"134"
1365,"166"
1366,"142"
1367,"134"
1368,"166"
1369,"139"
1370,"118"
1371,"136"
1372,"125"
1373,"146"
1374,"150"
1375,"135"
1376,"124"
1377,"137"
1378,"133"
1379,"132"
1380,"138"
1381,"121"
1382,"127"
1383,"124"
1384,"120"
1385,"138"
1386,"147"
1387,"118"
1388,"129"
1389,"120"
1390,"132"
1391,"133"
1392,"120"
1393,"129"
1394,"98"
1395,"125"
1396,"120"
1397,"106"
1398,"140"
1399,"148"
1400,"122"
1401,"118"
1402,"127"
1403,"120"
1404,"122"
1405,"119"
1406,"124"
1407,"111"
1408,"135"
1409,"115"
1410,"131"
1411,"120"
1412,"110"
1413,"113"
1414,"115"
1415,"106"
1416,"131"
1417,"124"
1418,"104"
1419,"121"
1420,"113"
1421,"111"
1422,"110"
1423,"123"
1424,"119"
1425,"123"
1426,"109"
1427,"115"
1428,"129"
1429,"111"
1430,"85"
1431,"112"
1432,"99"
1433,"129"
1434,"106"
1435,"120"
1436,"101"
1437,"110"
1438,"106"
1439,"112"
1440,"121"
1441,"105"
1442,"115"
1443,"101"
1444,"110"
1445,"131"
1446,"94"
1447,"86"
1448,"101"
1449,"115"
1450,"101"
1451,"93"
1452,"114"
1453,"105"
1454,"98"
1455,"105"
1456,"92"
1457,"84"
1458,"113"
1459,"93"
1460,"101"
1461,"77"
1462,"95"
1463,"87"
1464,"112"
1465,"97"
1466,"108"
1467,"85"
1468,"94"
1469,"123"
1470,"103"
1471,"76"
1472,"89"
1473,"100"
1474,"103"
1475,"102"
1476,"108"
1477,"97"
1478,"86"
1479,"80"
1480,"84"
1481,"83"
1482,"86"
1483,"85"
1484,"70"
1485,"79"
1486,"71"
1487,"91"
1488,"89"
1489,"91"
1490,"94"
1491,"78"
1492,"88"
1493,"81"
1494,"91"
1495,"95"
1496,"80"
1497,"69"
1498,"77"
1499,"64"
1500,"89"
1501,"67"
1502,"72"
1503,"87"
1504,"110"
1505,"85"
1506,"76"
1507,"82"
1508,"75"
1509,"80"
1510,"64"
1511,"83"
1512,"72"
1513,"75"
1514,"71"
1515,"87"
1516,"74"
1517,"71"
1518,"68"
1519,"55"
1520,"79"
1521,"73"
1522,"66"
1523,"82"
1524,"68"
1525,"65"
1526,"90"
1527,"70"
1528,"72"
1529,"76"
1530,"68"
1531,"67"
1532,"86"
1533,"69"
1534,"77"
1535,"67"
1536,"80"
1537,"79"
1538,"69"
1539,"65"
1540,"74"
1541,"65"
1542,"62"
1543,"62"
1544,"79"
1545,"64"
1546,"63"
1547,"65"
1548,"72"
1549,"63"
1550,"47"
1551,"73"
1552,"63"
1553,"59"
1554,"56"
1555,"72"
1556,"56"
1557,"52"
1558,"51"
1559,"58"
1560,"52"
1561,"63"
1562,"52"
1563,"52"
1564,"59"
1565,"62"
1566,"58"
1567,"58"
1568,"63"
1569,"53"
1570,"63"
1571,"52"
1572,"66"
1573,"55"
1574,"59"
1575,"59"
1576,"56"
1577,"55"
1578,"60"
1579,"54"
1580,"47"
1581,"61"
1582,"56"
1583,"51"
1584,"76"
1585,"57"
1586,"55"
1587,"59"
1588,"60"
1589,"62"
1590,"48"
1591,"40"
1592,"44"
1593,"46"
1594,"39"
1595,"53"
1596,"60"
1597,"57"
1598,"53"
1599,"54"
1600,"36"
1601,"52"
1602,"45"
1603,"47"
1604,"47"
1605,"38"
1606,"37"
1607,"37"
1608,"43"
1609,"51"
1610,"41"
1611,"48"
1612,"44"
1613,"59"
1614,"46"
1615,"32"
1616,"39"
1617,"41"
1618,"33"
1619,"46"
1620,"42"
1621,"53"
1622,"40"
1623,"41"
1624,"47"
1625,"37"
1626,"41"
1627,"40"
1628,"37"
1629,"35"
1630,"36"
1631,"30"
1632,"39"
1633,"35"
1634,"41"
1635,"40"
1636,"38"
1637,"49"
1638,"30"
1639,"39"
1640,"30"
1641,"38"
1642,"29"
1643,"31"
1644,"28"
1645,"28"
1646,"30"
1647,"50"
1648,"43"
1649,"22"
1650,"25"
1651,"30"
1652,"29"
1653,"32"
1654,"28"
1655,"20"
1656,"28"
1657,"27"
1658,"31"
1659,"17"
1660,"29"
1661,"22"
1662,"23"
1663,"19"
1664,"23"
1665,"28"
1666,"19"
1667,"20"
1668,"23"
1669,"21"
1670,"19"
1671,"26"
1672,"23"
1673,"26"
1674,"16"
1675,"23"
1676,"25"
1677,"21"
1678,"16"
1679,"22"
1680,"27"
1681,"20"
1682,"17"
1683,"20"
1684,"16"
1685,"26"
1686,"12"
1687,"14"
1688,"23"
1689,"19"
1690,"18"
1691,"22"
1692,"15"
1693,"15"
1694,"15"
1695,"19"
1696,"15"
1697,"28"
1698,"16"
1699,"24"
1700,"14"
1701,"16"
1702,"15"
1703,"16"
1704,"17"
1705,"15"
1706,"15"
1707,"15"
1708,"10"
1709,"10"
1710,"15"
1711,"16"
1712,"18"
1713,"16"
1714,"14"
1715,"3"
1716,"10"
1717,"14"
1718,"8"
1719,"11"
1720,"12"
1721,"12"
1722,"10"
1723,"8"
1724,"7"
1725,"13"
1726,"8"
1727,"8"
1728,"13"
1729,"8"
1730,"6"
1731,"2"
1732,"7"
1733,"6"
1734,"9"
1735,"5"
1736,"3"
1737,"5"
1738,"11"
1739,"10"
1740,"16"
1741,"8"
1742,"6"
1743,"4"
1744,"8"
1745,"6"
1746,"4"
1747,"6"
1748,"5"
1749,"6"
1750,"6"
1751,"3"
1752,"8"
1753,"8"
1754,"4"
1755,"11"
1756,"3"
1757,"3"
1758,"9"
1759,"3"
1760,"3"
1761,"6"
1762,"6"
1763,"7"
1764,"1"
1765,"1"
1766,"6"
1767,"6"
1768,"6"
1769,"3"
1770,"4"
1771,"2"
1772,"4"
1773,"4"
1774,"3"
1775,"6"
1776,"6"
1777,"6"
1778,"7"
1779,"3"
1780,"4"
1781,"3"
1782,"6"
1783,"5"
1784,"1"
1785,"2"
1786,"2"
1787,"3"
1788,"2"
1789,"1"
1790,"4"
1791,"3"
1792,"7"
1793,"5"
1794,"4"
1795,"4"
1796,"6"
1797,"4"
1798,"2"
1799,"1"
1800,"4"
1801,"3"
1802,"5"
1803,"3"
1804,"1"
1805,"3"
1806,"2"
1807,"2"
1808,"4"
1809,"4"
1810,"3"
1811,"4"
1812,"5"
1813,"0"
1814,"2"
1815,"4"
1816,"4"
1817,"3"
1818,"0"
1819,"0"
1820,"2"
1821,"1"
1822,"1"
1823,"3"
1824,"0"
1825,"2"
1826,"2"
1827,"2"
1828,"4"
1829,"3"
1830,"2"
1831,"1"
1832,"1"
1833,"1"
1834,"4"
1835,"1"
1836,"1"
1837,"0"
1838,"2"
1839,"2"
1840,"1"
1841,"2"
1842,"2"
1843,"1"
1844,"1"
1845,"1"
1846,"3"
1847,"2"
1848,"1"
1849,"2"
1850,"1"
1851,"1"
1852,"0"
1853,"3"
1854,"1"
1855,"0"
1856,"0"
1857,"0"
1858,"3"
1859,"1"
1860,"0"
1861,"1"
1862,"0"
1863,"1"
1864,"3"
1865,"2"
1866,"2"
1867,"2"
1868,"0"
1869,"0"
1870,"0"
1871,"2"
1872,"0"
1873,"0"
1874,"0"
1875,"1"
1876,"0"
1877,"2"
1878,"1"
1879,"0"
1880,"3"
1881,"2"
1882,"4"
1883,"5"
1884,"0"
1885,"2"
1886,"2"
1887,"0"
1888,"1"
1889,"0"
1890,"1"
1891,"1"
1892,"0"
1893,"1"
1894,"0"
1895,"2"
1896,"1"
1897,"1"
1898,"0"
1899,"1"
1900,"1"
1901,"1"
1902,"1"
1903,"0"
1904,"1"
1905,"0"
1906,"0"
1907,"1"
1908,"0"
1909,"0"
1910,"0"
1911,"2"
1912,"0"
1913,"1"
1914,"0"
1915,"2"
1916,"0"
1917,"0"
1918,"0"
1919,"2"
1920,"1"
1921,"0"
1922,"0"
1923,"0"
1924,"1"
1925,"1"
1926,"1"
1927,"1"
1928,"0"
1929,"0"
1930,"1"
1931,"1"
1932,"0"
