Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"Al0102 1phi"
Duration Time,60.907
Ambient Temperature,"86.8"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"844393"
Raw Accumulated Counts,"878932"
Valid Count Last Packet,"12996"
Raw Count Last Packet,"13538"
Live Time,58.829002
HV DAC,171
HV ADC,40.000000
Filament DAC,200
Filament ADC,5.000000
Pulse Length,201
Pulse Period,254
Filter,2
eV per channel,19.8005
Number of Channels,2048
Vacuum,765
Channel#,Intensity
0,"1790"
1,"1406"
2,"953"
3,"484"
4,"227"
5,"76"
6,"30"
7,"7"
8,"1"
9,"1"
10,"0"
11,"0"
12,"0"
13,"0"
14,"0"
15,"0"
16,"1"
17,"0"
18,"0"
19,"0"
20,"0"
21,"7"
22,"48"
23,"146"
24,"204"
25,"196"
26,"224"
27,"203"
28,"172"
29,"199"
30,"200"
31,"185"
32,"202"
33,"176"
34,"174"
35,"177"
36,"178"
37,"139"
38,"160"
39,"168"
40,"182"
41,"189"
42,"203"
43,"175"
44,"196"
45,"183"
46,"197"
47,"191"
48,"202"
49,"191"
50,"164"
51,"171"
52,"174"
53,"186"
54,"170"
55,"162"
56,"174"
57,"175"
58,"178"
59,"174"
60,"159"
61,"165"
62,"153"
63,"164"
64,"162"
65,"142"
66,"142"
67,"173"
68,"139"
69,"148"
70,"179"
71,"199"
72,"240"
73,"232"
74,"264"
75,"257"
76,"232"
77,"219"
78,"209"
79,"202"
80,"213"
81,"318"
82,"528"
83,"786"
84,"1155"
85,"1448"
86,"1554"
87,"1476"
88,"1301"
89,"907"
90,"566"
91,"415"
92,"268"
93,"231"
94,"163"
95,"161"
96,"129"
97,"143"
98,"160"
99,"163"
100,"162"
101,"156"
102,"151"
103,"145"
104,"143"
105,"142"
106,"122"
107,"136"
108,"160"
109,"149"
110,"162"
111,"192"
112,"236"
113,"214"
114,"232"
115,"257"
116,"270"
117,"247"
118,"227"
119,"210"
120,"217"
121,"179"
122,"219"
123,"209"
124,"244"
125,"298"
126,"350"
127,"495"
128,"659"
129,"1033"
130,"1577"
131,"2166"
132,"2776"
133,"3144"
134,"3145"
135,"2932"
136,"2485"
137,"2007"
138,"1695"
139,"1461"
140,"1446"
141,"1528"
142,"1488"
143,"1528"
144,"1574"
145,"1680"
146,"1848"
147,"1766"
148,"1545"
149,"1269"
150,"941"
151,"660"
152,"480"
153,"397"
154,"342"
155,"346"
156,"353"
157,"442"
158,"550"
159,"771"
160,"1110"
161,"1539"
162,"2136"
163,"2699"
164,"2896"
165,"2970"
166,"2480"
167,"2010"
168,"1340"
169,"856"
170,"543"
171,"370"
172,"271"
173,"279"
174,"314"
175,"379"
176,"535"
177,"626"
178,"707"
179,"834"
180,"943"
181,"1024"
182,"1096"
183,"1043"
184,"933"
185,"806"
186,"652"
187,"474"
188,"372"
189,"260"
190,"227"
191,"199"
192,"205"
193,"225"
194,"244"
195,"253"
196,"244"
197,"282"
198,"315"
199,"319"
200,"339"
201,"322"
202,"267"
203,"261"
204,"245"
205,"240"
206,"221"
207,"241"
208,"221"
209,"179"
210,"251"
211,"236"
212,"262"
213,"241"
214,"243"
215,"268"
216,"251"
217,"329"
218,"409"
219,"459"
220,"558"
221,"701"
222,"794"
223,"907"
224,"875"
225,"813"
226,"742"
227,"685"
228,"540"
229,"434"
230,"449"
231,"394"
232,"347"
233,"358"
234,"365"
235,"355"
236,"337"
237,"367"
238,"353"
239,"388"
240,"402"
241,"434"
242,"412"
243,"415"
244,"474"
245,"449"
246,"464"
247,"445"
248,"368"
249,"395"
250,"392"
251,"363"
252,"377"
253,"359"
254,"382"
255,"391"
256,"375"
257,"425"
258,"412"
259,"411"
260,"432"
261,"424"
262,"443"
263,"446"
264,"450"
265,"505"
266,"459"
267,"511"
268,"523"
269,"575"
270,"461"
271,"496"
272,"496"
273,"465"
274,"466"
275,"451"
276,"444"
277,"434"
278,"432"
279,"388"
280,"398"
281,"417"
282,"445"
283,"465"
284,"460"
285,"431"
286,"471"
287,"483"
288,"486"
289,"559"
290,"597"
291,"600"
292,"609"
293,"625"
294,"619"
295,"578"
296,"554"
297,"514"
298,"503"
299,"498"
300,"496"
301,"550"
302,"532"
303,"536"
304,"550"
305,"591"
306,"615"
307,"701"
308,"877"
309,"1283"
310,"1957"
311,"2948"
312,"4684"
313,"6792"
314,"9676"
315,"12644"
316,"15105"
317,"16555"
318,"16297"
319,"15181"
320,"12648"
321,"9822"
322,"7219"
323,"4737"
324,"2948"
325,"1852"
326,"1171"
327,"810"
328,"672"
329,"575"
330,"528"
331,"517"
332,"531"
333,"504"
334,"510"
335,"507"
336,"535"
337,"551"
338,"554"
339,"621"
340,"641"
341,"640"
342,"803"
343,"963"
344,"1143"
345,"1417"
346,"1840"
347,"2245"
348,"2693"
349,"2894"
350,"3048"
351,"2942"
352,"2654"
353,"2241"
354,"1862"
355,"1491"
356,"1160"
357,"1011"
358,"945"
359,"857"
360,"825"
361,"809"
362,"880"
363,"862"
364,"919"
365,"991"
366,"1080"
367,"1184"
368,"1238"
369,"1312"
370,"1336"
371,"1379"
372,"1291"
