Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"L1-4G 0phi"
Duration Time,60.09
Ambient Temperature,"84.6"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"618832"
Raw Accumulated Counts,"639665"
Valid Count Last Packet,"9797"
Raw Count Last Packet,"10103"
Live Time,58.557022
HV DAC,171
HV ADC,40.000000
Filament DAC,200
Filament ADC,5.000000
Pulse Length,201
Pulse Period,254
Filter,2
eV per channel,19.8026
Number of Channels,2048
Vacuum,762
Channel#,Intensity
0,"1781"
1,"1475"
2,"976"
3,"501"
4,"213"
5,"67"
6,"21"
7,"3"
8,"0"
9,"1"
10,"3"
11,"0"
12,"0"
13,"0"
14,"0"
15,"1"
16,"0"
17,"0"
18,"1"
19,"1"
20,"0"
21,"4"
22,"58"
23,"100"
24,"158"
25,"176"
26,"188"
27,"185"
28,"142"
29,"167"
30,"197"
31,"167"
32,"142"
33,"173"
34,"137"
35,"169"
36,"128"
37,"157"
38,"160"
39,"141"
40,"149"
41,"143"
42,"117"
43,"160"
44,"169"
45,"187"
46,"170"
47,"183"
48,"146"
49,"152"
50,"158"
51,"165"
52,"129"
53,"141"
54,"172"
55,"160"
56,"161"
57,"150"
58,"154"
59,"153"
60,"130"
61,"165"
62,"159"
63,"122"
64,"112"
65,"130"
66,"135"
67,"100"
68,"140"
69,"142"
70,"151"
71,"188"
72,"189"
73,"201"
74,"247"
75,"222"
76,"206"
77,"219"
78,"209"
79,"223"
80,"205"
81,"292"
82,"462"
83,"693"
84,"953"
85,"1242"
86,"1320"
87,"1312"
88,"1111"
89,"824"
90,"560"
91,"326"
92,"224"
93,"207"
94,"179"
95,"135"
96,"120"
97,"130"
98,"132"
99,"132"
100,"129"
101,"131"
102,"139"
103,"118"
104,"120"
105,"117"
106,"111"
107,"113"
108,"139"
109,"136"
110,"149"
111,"167"
112,"181"
113,"226"
114,"245"
115,"233"
116,"215"
117,"240"
118,"194"
119,"202"
120,"192"
121,"187"
122,"189"
123,"179"
124,"225"
125,"233"
126,"269"
127,"386"
128,"482"
129,"732"
130,"1012"
131,"1396"
132,"1696"
133,"1892"
134,"1943"
135,"1859"
136,"1625"
137,"1450"
138,"1337"
139,"1329"
140,"1363"
141,"1406"
142,"1453"
143,"1538"
144,"1676"
145,"1714"
146,"1840"
147,"1749"
148,"1646"
149,"1328"
150,"965"
151,"701"
152,"496"
153,"401"
154,"331"
155,"344"
156,"404"
157,"495"
158,"718"
159,"1114"
160,"1662"
161,"2531"
162,"3587"
163,"4388"
164,"4919"
165,"4797"
166,"4134"
167,"3259"
168,"2332"
169,"1420"
170,"866"
171,"465"
172,"345"
173,"325"
174,"454"
175,"553"
176,"705"
177,"840"
178,"896"
179,"943"
180,"894"
181,"826"
182,"711"
183,"595"
184,"507"
185,"453"
186,"361"
187,"299"
188,"255"
189,"188"
190,"194"
191,"178"
192,"179"
193,"178"
194,"192"
195,"168"
196,"199"
197,"238"
198,"215"
199,"224"
200,"242"
201,"207"
202,"199"
203,"223"
204,"175"
205,"168"
206,"202"
207,"179"
208,"207"
209,"193"
210,"192"
211,"194"
212,"200"
213,"224"
214,"225"
215,"238"
216,"256"
217,"264"
218,"292"
219,"341"
220,"329"
221,"354"
222,"366"
223,"383"
224,"345"
225,"342"
226,"344"
227,"265"
228,"255"
229,"248"
230,"230"
231,"244"
232,"220"
233,"245"
234,"290"
235,"304"
236,"303"
237,"355"
238,"353"
239,"356"
240,"402"
241,"382"
242,"349"
243,"377"
244,"346"
245,"312"
246,"279"
247,"261"
248,"292"
249,"259"
250,"272"
251,"279"
252,"249"
253,"275"
254,"273"
255,"282"
256,"293"
257,"299"
258,"311"
259,"274"
260,"273"
261,"299"
262,"280"
263,"300"
264,"315"
265,"341"
266,"331"
267,"352"
268,"359"
269,"383"
270,"356"
271,"372"
272,"366"
273,"330"
274,"347"
275,"348"
276,"354"
277,"366"
278,"329"
279,"349"
280,"354"
281,"325"
282,"336"
283,"352"
284,"340"
285,"384"
286,"332"
287,"364"
288,"361"
289,"367"
290,"352"
291,"396"
292,"410"
293,"403"
294,"364"
295,"394"
296,"406"
297,"451"
298,"428"
299,"468"
300,"496"
301,"559"
302,"503"
303,"572"
304,"571"
305,"536"
306,"576"
307,"490"
308,"515"
309,"558"
310,"543"
311,"563"
312,"672"
313,"750"
314,"835"
315,"930"
316,"981"
317,"945"
318,"999"
319,"909"
320,"899"
321,"741"
322,"623"
323,"542"
