Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"L3-4A 6phi"
Duration Time,60.907
Ambient Temperature,"89.7"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"993734"
Raw Accumulated Counts,"1039187"
Valid Count Last Packet,"15337"
Raw Count Last Packet,"16080"
Live Time,58.495010
HV DAC,171
HV ADC,40.000000
Filament DAC,200
Filament ADC,5.000000
Pulse Length,201
Pulse Period,254
Filter,2
eV per channel,19.7935
Number of Channels,2048
Vacuum,766
Channel#,Intensity
0,"1720"
1,"1436"
2,"969"
3,"527"
4,"228"
5,"64"
6,"20"
7,"9"
8,"0"
9,"0"
10,"0"
11,"1"
12,"0"
13,"0"
14,"0"
15,"0"
16,"0"
17,"0"
18,"0"
19,"0"
20,"1"
21,"5"
22,"39"
23,"111"
24,"155"
25,"196"
26,"202"
27,"181"
28,"208"
29,"169"
30,"180"
31,"195"
32,"170"
33,"206"
34,"159"
35,"163"
36,"174"
37,"144"
38,"158"
39,"151"
40,"154"
41,"143"
42,"167"
43,"161"
44,"165"
45,"154"
46,"146"
47,"145"
48,"162"
49,"152"
50,"177"
51,"156"
52,"177"
53,"170"
54,"163"
55,"151"
56,"160"
57,"156"
58,"141"
59,"144"
60,"159"
61,"143"
62,"174"
63,"155"
64,"146"
65,"149"
66,"132"
67,"140"
68,"121"
69,"143"
70,"179"
71,"193"
72,"212"
73,"236"
74,"252"
75,"231"
76,"227"
77,"212"
78,"175"
79,"178"
80,"205"
81,"283"
82,"483"
83,"691"
84,"964"
85,"1248"
86,"1324"
87,"1295"
88,"1077"
89,"818"
90,"544"
91,"417"
92,"261"
93,"200"
94,"158"
95,"132"
96,"150"
97,"138"
98,"155"
99,"166"
100,"164"
101,"158"
102,"135"
103,"134"
104,"135"
105,"105"
106,"147"
107,"124"
108,"141"
109,"139"
110,"162"
111,"194"
112,"195"
113,"216"
114,"251"
115,"268"
116,"249"
117,"220"
118,"191"
119,"206"
120,"216"
121,"196"
122,"194"
123,"235"
124,"222"
125,"293"
126,"364"
127,"431"
128,"634"
129,"815"
130,"1201"
131,"1512"
132,"1837"
133,"2013"
134,"2015"
135,"1900"
136,"1710"
137,"1474"
138,"1471"
139,"1370"
140,"1445"
141,"1453"
142,"1538"
143,"1593"
144,"1735"
145,"1772"
146,"1833"
147,"1759"
148,"1559"
149,"1333"
150,"943"
151,"713"
152,"543"
153,"410"
154,"328"
155,"338"
156,"343"
157,"433"
158,"560"
159,"700"
160,"954"
161,"1320"
162,"1793"
163,"2219"
164,"2491"
165,"2415"
166,"2003"
167,"1674"
168,"1181"
169,"762"
170,"472"
171,"333"
172,"287"
173,"281"
174,"318"
175,"374"
176,"495"
177,"604"
178,"708"
179,"820"
180,"972"
181,"1125"
182,"1218"
183,"1250"
184,"1115"
185,"1025"
186,"804"
187,"604"
188,"435"
189,"319"
190,"239"
191,"246"
192,"214"
193,"252"
194,"246"
195,"275"
196,"294"
197,"385"
198,"345"
199,"388"
200,"390"
201,"337"
202,"370"
203,"295"
204,"307"
205,"248"
206,"287"
207,"246"
208,"271"
209,"258"
210,"276"
211,"239"
212,"265"
213,"273"
214,"283"
215,"295"
216,"364"
217,"437"
218,"665"
219,"901"
220,"1340"
221,"1732"
222,"2130"
223,"2391"
224,"2339"
225,"2209"
226,"1903"
227,"1505"
228,"1177"
229,"827"
230,"615"
231,"572"
232,"508"
233,"466"
234,"453"
235,"381"
236,"402"
237,"398"
238,"438"
239,"448"
240,"498"
241,"584"
242,"675"
243,"656"
244,"781"
245,"778"
246,"649"
247,"671"
248,"531"
249,"513"
250,"475"
251,"431"
252,"420"
253,"434"
254,"392"
255,"442"
256,"452"
257,"438"
258,"423"
259,"417"
260,"458"
261,"480"
262,"450"
263,"425"
264,"441"
265,"501"
266,"510"
267,"524"
268,"531"
269,"506"
270,"521"
271,"525"
272,"489"
273,"468"
274,"500"
275,"486"
276,"504"
277,"449"
278,"502"
279,"444"
280,"469"
281,"509"
282,"525"
283,"488"
284,"526"
285,"547"
286,"552"
287,"543"
288,"554"
289,"626"
290,"686"
291,"696"
292,"710"
293,"758"
294,"721"
295,"726"
296,"682"
297,"617"
298,"637"
299,"593"
300,"584"
301,"671"
302,"658"
303,"639"
304,"745"
305,"751"
306,"823"
307,"1023"
308,"1434"
309,"2232"
310,"3486"
311,"6089"
312,"9687"
313,"14947"
314,"21303"
315,"27218"
316,"32612"
317,"35736"
318,"35988"
319,"32976"
320,"27637"
321,"21374"
322,"15207"
323,"9938"
324,"6027"
325,"3551"
326,"2082"
327,"1293"
328,"858"
329,"699"
330,"684"
331,"629"
332,"593"
333,"599"
334,"604"
335,"601"
336,"629"
337,"678"
338,"695"
339,"749"
340,"777"
341,"948"
342,"1128"
343,"1543"
344,"1990"
345,"2720"
346,"3628"
347,"4517"
348,"5442"
349,"6035"
350,"6308"
351,"6199"
352,"5589"
353,"4570"
354,"3705"
355,"2827"
356,"2034"
357,"1523"
358,"1205"
359,"954"
360,"933"
361,"877"
362,"911"
363,"950"
364,"978"
365,"1097"
366,"1156"
367,"1243"
368,"1418"
369,"1452"
370,"1430"
371,"1463"
372,"1392"
373,"1211"
374,"1111"
375,"950"
376,"778"
377,"690"
378,"540"
379,"506"
380,"502"
381,"468"
382,"499"
383,"449"
384,"481"
385,"507"
386,"507"
387,"491"
388,"457"
389,"515"
390,"499"
391,"494"
392,"558"
393,"563"
394,"601"
395,"644"
396,"674"
397,"775"
398,"829"
399,"812"
400,"783"
401,"773"
402,"733"
403,"695"
404,"640"
405,"667"
406,"686"
407,"631"
408,"631"
409,"600"
410,"631"
411,"627"
412,"634"
413,"512"
414,"548"
415,"538"
416,"535"
417,"518"
418,"497"
419,"508"
420,"547"
421,"519"
422,"549"
423,"603"
424,"592"
425,"651"
426,"702"
427,"717"
428,"730"
429,"742"
430,"698"
431,"713"
432,"620"
433,"598"
434,"605"
435,"557"
436,"544"
437,"501"
438,"513"
439,"518"
440,"473"
441,"537"
442,"522"
443,"546"
444,"493"
445,"543"
446,"556"
447,"520"
448,"530"
449,"500"
450,"503"
451,"494"
452,"528"
453,"529"
454,"525"
455,"551"
456,"540"
457,"576"
458,"578"
459,"572"
460,"553"
461,"545"
462,"532"
463,"582"
464,"550"
465,"501"
466,"493"
467,"544"
468,"537"
469,"562"
470,"518"
471,"548"
472,"500"
473,"527"
474,"563"
475,"610"
476,"575"
477,"543"
478,"550"
479,"498"
480,"535"
481,"471"
482,"570"
483,"537"
484,"493"
485,"525"
486,"486"
487,"512"
488,"518"
489,"525"
490,"521"
491,"528"
492,"492"
493,"539"
494,"514"
495,"484"
496,"507"
497,"496"
498,"491"
499,"533"
500,"499"
501,"508"
502,"517"
503,"521"
504,"526"
505,"484"
506,"511"
507,"509"
508,"527"
509,"485"
510,"471"
511,"505"
512,"492"
513,"492"
514,"472"
515,"512"
516,"545"
517,"552"
518,"567"
519,"579"
520,"555"
521,"608"
522,"583"
523,"550"
524,"585"
525,"536"
526,"583"
527,"564"
528,"544"
529,"524"
530,"523"
531,"511"
532,"527"
533,"481"
534,"486"
535,"504"
536,"487"
537,"509"
538,"508"
539,"513"
540,"497"
541,"526"
542,"486"
543,"480"
544,"488"
545,"450"
546,"488"
547,"494"
548,"498"
549,"528"
550,"511"
551,"498"
552,"483"
553,"453"
554,"469"
555,"495"
556,"496"
557,"476"
558,"491"
559,"513"
560,"503"
561,"480"
562,"482"
563,"481"
564,"485"
565,"462"
566,"483"
567,"467"
568,"471"
569,"467"
570,"520"
571,"480"
572,"511"
573,"500"
574,"504"
575,"496"
576,"454"
577,"494"
578,"443"
579,"508"
580,"508"
581,"514"
582,"470"
583,"554"
584,"527"
585,"516"
586,"594"
587,"557"
588,"568"
589,"591"
590,"597"
591,"572"
592,"645"
593,"577"
594,"549"
595,"599"
596,"539"
597,"521"
598,"479"
599,"446"
600,"482"
601,"510"
602,"530"
603,"442"
604,"442"
605,"468"
606,"459"
607,"457"
608,"493"
609,"489"
610,"455"
611,"525"
612,"482"
613,"451"
614,"477"
615,"516"
616,"514"
617,"486"
618,"508"
619,"469"
620,"495"
621,"498"
622,"524"
623,"530"
624,"522"
625,"507"
626,"510"
627,"510"
628,"558"
629,"467"
630,"500"
631,"492"
632,"497"
633,"491"
634,"513"
635,"489"
636,"515"
637,"495"
638,"468"
639,"525"
640,"485"
641,"571"
642,"493"
643,"516"
644,"569"
645,"472"
646,"479"
647,"489"
648,"475"
649,"459"
