Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"Pz0405 1phi"
Duration Time,60.842
Ambient Temperature,"87.3"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"933530"
Raw Accumulated Counts,"974730"
Valid Count Last Packet,"14412"
Raw Count Last Packet,"14985"
Live Time,58.556011
HV DAC,171
HV ADC,40.000000
Filament DAC,200
Filament ADC,5.000000
Pulse Length,201
Pulse Period,254
Filter,2
eV per channel,19.7973
Number of Channels,2048
Vacuum,764
Channel#,Intensity
0,"1812"
1,"1426"
2,"960"
3,"507"
4,"209"
5,"69"
6,"19"
7,"4"
8,"1"
9,"0"
10,"0"
11,"1"
12,"0"
13,"0"
14,"0"
15,"0"
16,"0"
17,"0"
18,"0"
19,"0"
20,"2"
21,"9"
22,"56"
23,"143"
24,"173"
25,"210"
26,"218"
27,"219"
28,"226"
29,"206"
30,"200"
31,"225"
32,"207"
33,"196"
34,"182"
35,"186"
36,"182"
37,"177"
38,"161"
39,"179"
40,"181"
41,"208"
42,"177"
43,"180"
44,"156"
45,"190"
46,"187"
47,"198"
48,"172"
49,"183"
50,"161"
51,"173"
52,"172"
53,"151"
54,"187"
55,"175"
56,"176"
57,"179"
58,"182"
59,"186"
60,"164"
61,"173"
62,"177"
63,"134"
64,"147"
65,"137"
66,"150"
67,"154"
68,"175"
69,"171"
70,"176"
71,"202"
72,"263"
73,"274"
74,"270"
75,"314"
76,"230"
77,"216"
78,"218"
79,"212"
80,"252"
81,"365"
82,"556"
83,"949"
84,"1336"
85,"1719"
86,"1807"
87,"1790"
88,"1505"
89,"1074"
90,"744"
91,"483"
92,"320"
93,"237"
94,"211"
95,"171"
96,"171"
97,"156"
98,"167"
99,"184"
100,"159"
101,"151"
102,"146"
103,"132"
104,"137"
105,"133"
106,"152"
107,"136"
108,"137"
109,"145"
110,"153"
111,"183"
112,"249"
113,"206"
114,"247"
115,"220"
116,"258"
117,"232"
118,"235"
119,"213"
120,"193"
121,"208"
122,"234"
123,"226"
124,"199"
125,"246"
126,"309"
127,"419"
128,"543"
129,"806"
130,"1030"
131,"1354"
132,"1702"
133,"1892"
134,"1897"
135,"1929"
136,"1737"
137,"1392"
138,"1410"
139,"1364"
140,"1418"
141,"1466"
142,"1492"
143,"1593"
144,"1594"
145,"1766"
146,"1767"
147,"1727"
148,"1528"
149,"1265"
150,"971"
151,"658"
152,"445"
153,"418"
154,"327"
155,"359"
156,"349"
157,"431"
158,"596"
159,"838"
160,"1210"
161,"1719"
162,"2286"
163,"2845"
164,"3072"
165,"3109"
166,"2677"
167,"2082"
168,"1455"
169,"926"
170,"576"
171,"383"
172,"295"
173,"305"
174,"363"
175,"425"
176,"552"
177,"692"
178,"766"
179,"911"
180,"940"
181,"1062"
182,"1106"
183,"1061"
184,"1052"
185,"902"
186,"775"
187,"515"
188,"399"
189,"292"
190,"238"
191,"235"
192,"190"
193,"241"
194,"210"
195,"256"
196,"290"
197,"308"
198,"327"
199,"316"
200,"343"
201,"338"
202,"278"
203,"274"
204,"227"
205,"233"
206,"220"
207,"218"
208,"234"
209,"205"
210,"252"
211,"220"
212,"249"
213,"249"
214,"251"
215,"276"
216,"326"
217,"351"
218,"459"
219,"538"
220,"688"
221,"886"
222,"1048"
223,"1082"
224,"1060"
225,"1051"
226,"922"
227,"751"
228,"658"
229,"501"
230,"485"
231,"437"
232,"430"
233,"335"
234,"364"
235,"349"
236,"352"
237,"375"
238,"380"
239,"441"
240,"469"
241,"466"
242,"464"
243,"491"
244,"536"
245,"557"
246,"536"
247,"504"
248,"451"
249,"407"
250,"389"
251,"370"
252,"379"
253,"376"
254,"403"
255,"342"
256,"370"
257,"377"
258,"410"
259,"360"
260,"392"
261,"370"
262,"409"
263,"384"
264,"434"
265,"472"
266,"421"
267,"430"
268,"438"
269,"450"
270,"469"
271,"414"
272,"503"
273,"445"
274,"441"
275,"457"
276,"446"
277,"484"
278,"467"
279,"438"
280,"405"
281,"416"
282,"470"
283,"458"
284,"491"
285,"479"
286,"492"
287,"546"
288,"609"
289,"595"
290,"648"
291,"660"
292,"706"
