Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"L3-4B 5phi 3"
Duration Time,60.2421
Ambient Temperature,"97.6"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"486665"
Raw Accumulated Counts,"500862"
Valid Count Last Packet,"7605"
Raw Count Last Packet,"7842"
Live Time,59.094002
HV DAC,171
HV ADC,40.000000
Filament DAC,200
Filament ADC,5.000000
Pulse Length,201
Pulse Period,254
Filter,2
eV per channel,19.8096
Number of Channels,2048
Vacuum,767
Channel#,Intensity
0,"1795"
1,"1491"
2,"990"
3,"527"
4,"200"
5,"63"
6,"19"
7,"7"
8,"1"
9,"1"
10,"0"
11,"0"
12,"0"
13,"0"
14,"0"
15,"0"
16,"0"
17,"0"
18,"0"
19,"0"
20,"0"
21,"2"
22,"25"
23,"65"
24,"110"
25,"122"
26,"123"
27,"130"
28,"135"
29,"101"
30,"131"
31,"114"
32,"94"
33,"101"
34,"94"
35,"103"
36,"120"
37,"91"
38,"92"
39,"99"
40,"103"
41,"94"
42,"106"
43,"96"
44,"105"
45,"106"
46,"125"
47,"130"
48,"116"
49,"105"
50,"95"
51,"101"
52,"108"
53,"119"
54,"119"
55,"105"
56,"106"
57,"103"
58,"105"
59,"97"
60,"104"
61,"106"
62,"92"
63,"93"
64,"81"
65,"80"
66,"79"
67,"80"
68,"82"
69,"91"
70,"82"
71,"97"
72,"97"
73,"100"
74,"106"
75,"123"
76,"105"
77,"114"
78,"118"
79,"103"
80,"93"
81,"95"
82,"124"
83,"143"
84,"218"
85,"254"
86,"255"
87,"263"
88,"222"
89,"180"
90,"152"
91,"92"
92,"81"
93,"76"
94,"115"
95,"92"
96,"92"
97,"96"
98,"110"
99,"90"
100,"104"
101,"84"
102,"96"
103,"99"
104,"103"
105,"84"
106,"93"
107,"85"
108,"90"
109,"109"
110,"110"
111,"129"
112,"176"
113,"181"
114,"196"
115,"211"
116,"204"
117,"186"
118,"196"
119,"164"
120,"175"
121,"173"
122,"170"
123,"165"
124,"191"
125,"210"
126,"281"
127,"344"
128,"465"
129,"689"
130,"1044"
131,"1388"
132,"1713"
133,"1864"
134,"1934"
135,"1835"
136,"1574"
137,"1346"
138,"1360"
139,"1331"
140,"1377"
141,"1429"
142,"1539"
143,"1554"
144,"1735"
145,"1882"
146,"1860"
147,"1825"
148,"1637"
149,"1293"
150,"958"
151,"685"
152,"438"
153,"276"
154,"277"
155,"268"
156,"321"
157,"312"
158,"389"
159,"420"
160,"510"
161,"623"
162,"778"
163,"922"
164,"1022"
165,"980"
166,"827"
167,"677"
168,"538"
169,"365"
170,"240"
171,"186"
172,"173"
173,"172"
174,"170"
175,"232"
176,"260"
177,"304"
178,"377"
179,"443"
180,"519"
181,"597"
182,"603"
183,"638"
184,"594"
185,"531"
186,"419"
187,"332"
188,"260"
189,"185"
190,"212"
191,"178"
192,"190"
193,"154"
194,"193"
195,"195"
196,"211"
197,"229"
198,"236"
199,"198"
200,"239"
201,"211"
202,"249"
203,"206"
204,"195"
205,"200"
206,"184"
207,"202"
208,"210"
209,"204"
210,"208"
211,"188"
212,"203"
213,"193"
214,"217"
215,"229"
216,"234"
217,"262"
218,"301"
219,"378"
220,"423"
221,"523"
222,"552"
223,"651"
224,"653"
225,"532"
226,"521"
227,"454"
228,"433"
229,"351"
230,"278"
231,"296"
232,"289"
233,"242"
234,"251"
235,"256"
236,"237"
237,"271"
238,"256"
239,"269"
240,"307"
241,"310"
242,"309"
243,"331"
244,"316"
245,"355"
246,"327"
247,"308"
248,"303"
249,"293"
250,"276"
251,"285"
252,"261"
253,"254"
254,"275"
255,"296"
256,"246"
257,"280"
258,"291"
259,"286"
260,"284"
261,"285"
262,"311"
263,"310"
264,"291"
265,"326"
266,"343"
267,"341"
268,"313"
269,"324"
270,"318"
271,"313"
272,"323"
273,"304"
274,"325"
275,"305"
276,"308"
277,"320"
278,"330"
279,"309"
280,"340"
281,"321"
282,"361"
283,"350"
284,"356"
285,"358"
286,"363"
287,"398"
288,"353"
289,"398"
290,"396"
291,"431"
292,"380"
293,"417"
294,"408"
295,"413"
296,"407"
297,"428"
298,"418"
299,"397"
300,"362"
301,"366"
302,"393"
303,"388"
304,"456"
305,"438"
306,"472"
307,"521"
308,"657"
309,"792"
310,"1169"
311,"1751"
312,"2574"
313,"3873"
314,"5238"
315,"6742"
316,"8134"
317,"8808"
318,"8692"
319,"8085"
320,"6611"
321,"5060"
322,"3762"
323,"2412"
324,"1668"
325,"991"
326,"747"
327,"507"
328,"469"
329,"418"
330,"434"
331,"398"
332,"396"
333,"407"
334,"377"
335,"428"
336,"430"
337,"454"
338,"441"
339,"483"
340,"494"
341,"485"
342,"553"
343,"616"
344,"755"
345,"907"
346,"1171"
347,"1366"
348,"1539"
349,"1694"
350,"1696"
351,"1660"
352,"1488"
353,"1312"
354,"1154"
355,"989"
356,"862"
357,"741"
358,"678"
359,"652"
360,"670"
361,"734"
362,"749"
363,"752"
364,"806"
365,"806"
366,"874"
367,"928"
368,"1027"
369,"1017"
370,"1032"
371,"1009"
372,"959"
373,"800"
374,"707"
375,"655"
376,"534"
377,"479"
378,"439"
379,"431"
380,"374"
381,"348"
382,"353"
383,"352"
384,"318"
385,"365"
386,"352"
387,"374"
388,"352"
389,"373"
390,"362"
391,"391"
392,"412"
393,"438"
394,"487"
395,"523"
396,"532"
397,"579"
398,"604"
399,"646"
400,"640"
401,"577"
402,"580"
403,"519"
404,"521"
405,"472"
406,"492"
407,"462"
408,"476"
409,"411"
410,"443"
411,"420"
412,"439"
413,"418"
414,"377"
415,"393"
416,"372"
417,"383"
418,"364"
419,"319"
420,"367"
421,"376"
422,"409"
423,"411"
424,"419"
425,"391"
426,"438"
427,"485"
428,"410"
429,"470"
430,"415"
431,"398"
432,"398"
433,"377"
434,"355"
435,"360"
436,"384"
437,"340"
438,"357"
439,"398"
440,"353"
441,"369"
442,"362"
443,"378"
444,"385"
445,"402"
446,"351"
447,"364"
448,"320"
449,"394"
450,"320"
451,"368"
452,"353"
453,"297"
454,"344"
455,"388"
456,"382"
457,"389"
458,"351"
459,"324"
460,"383"
461,"330"
462,"369"
463,"393"
464,"367"
465,"338"
466,"387"
467,"375"
468,"371"
469,"330"
470,"386"
471,"347"
472,"302"
473,"340"
474,"382"
475,"324"
476,"356"
477,"369"
478,"353"
479,"354"
480,"367"
481,"359"
482,"351"
483,"345"
484,"344"
485,"339"
486,"307"
487,"327"
488,"327"
489,"326"
490,"331"
491,"328"
492,"338"
493,"303"
494,"321"
495,"343"
496,"318"
497,"355"
498,"357"
499,"322"
500,"351"
501,"326"
502,"334"
503,"313"
504,"314"
505,"343"
506,"335"
507,"357"
508,"315"
509,"321"
510,"338"
511,"344"
512,"330"
513,"334"
514,"325"
515,"317"
516,"357"
517,"330"
518,"342"
519,"358"
520,"316"
521,"369"
522,"342"
523,"327"
524,"340"
525,"331"
526,"356"
527,"325"
528,"325"
529,"315"
530,"323"
531,"278"
532,"348"
533,"350"
534,"340"
535,"313"
536,"341"
537,"284"
538,"321"
539,"330"
540,"284"
541,"340"
542,"327"
543,"309"
544,"306"
545,"319"
546,"306"
547,"335"
548,"313"
549,"310"
550,"292"
551,"324"
552,"333"
553,"332"
554,"331"
555,"297"
556,"311"
557,"316"
558,"296"
559,"322"
560,"307"
561,"303"
562,"299"
563,"291"
564,"329"
565,"274"
566,"314"
567,"315"
568,"292"
569,"311"
570,"248"
571,"279"
572,"312"
573,"327"
574,"341"
575,"323"
576,"300"
577,"323"
578,"303"
579,"304"
580,"304"
581,"330"
582,"329"
583,"299"
584,"307"
585,"291"
586,"286"
587,"346"
588,"293"
589,"295"
590,"301"
591,"306"
592,"312"
593,"311"
594,"322"
595,"317"
596,"320"
597,"314"
598,"294"
599,"310"
600,"327"
601,"280"
602,"277"
603,"321"
604,"299"
605,"316"
606,"272"
607,"310"
608,"274"
609,"290"
610,"280"
611,"319"
612,"291"
613,"305"
614,"286"
615,"298"
616,"301"
617,"291"
618,"303"
619,"279"
620,"302"
621,"270"
622,"314"
623,"321"
624,"327"
625,"314"
626,"299"
627,"281"
628,"306"
629,"323"
630,"319"
631,"317"
632,"298"
633,"316"
634,"324"
635,"336"
636,"279"
637,"284"
638,"299"
639,"307"
640,"287"
641,"306"
642,"313"
643,"289"
644,"292"
645,"313"
646,"298"
647,"266"
648,"299"
649,"297"
650,"305"
651,"266"
652,"307"
653,"302"
654,"297"
655,"319"
656,"361"
657,"372"
658,"397"
659,"452"
660,"454"
661,"504"
662,"534"
663,"569"
664,"525"
665,"503"
666,"496"
667,"437"
668,"458"
669,"368"
670,"391"
671,"349"
672,"335"
673,"324"
674,"298"
675,"281"
676,"284"
677,"271"
678,"274"
679,"283"
680,"259"
681,"294"
682,"273"
683,"275"
684,"250"
685,"261"
686,"255"
687,"265"
688,"289"
689,"278"
690,"291"
691,"280"
692,"249"
693,"287"
694,"319"
695,"305"
696,"297"
697,"332"
698,"356"
699,"329"
700,"340"
701,"356"
702,"350"
703,"359"
704,"330"
705,"339"
706,"324"
707,"296"
708,"288"
709,"272"
710,"285"
711,"267"
712,"254"
713,"253"
714,"263"
715,"256"
716,"224"
717,"268"
718,"251"
719,"248"
720,"254"
721,"241"
722,"244"
723,"247"
724,"253"
725,"258"
726,"238"
727,"250"
728,"251"
729,"269"
730,"258"
731,"256"
732,"293"
733,"259"
734,"254"
735,"258"
736,"286"
737,"271"
738,"294"
739,"295"
740,"310"
741,"280"
742,"307"
743,"301"
744,"292"
745,"292"
746,"298"
747,"256"
748,"241"
749,"265"
750,"259"
751,"248"
752,"231"
753,"221"
754,"242"
755,"226"
756,"247"
757,"261"
758,"268"
759,"207"
760,"255"
761,"230"
762,"230"
763,"255"
764,"226"
765,"223"
766,"251"
767,"225"
768,"240"
769,"236"
770,"233"
771,"291"
772,"278"
773,"286"
774,"292"
775,"336"
776,"375"
777,"392"
778,"397"
779,"429"
780,"395"
781,"446"
782,"439"
783,"427"
784,"460"
785,"392"
786,"394"
787,"341"
788,"308"
789,"313"
790,"297"
791,"278"
792,"251"
