Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"AL-0102 -1phi 0"
Duration Time,60.098
Ambient Temperature,"89.3"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"744069"
Raw Accumulated Counts,"771427"
Valid Count Last Packet,"11629"
Raw Count Last Packet,"12052"
Live Time,58.319984
HV DAC,171
HV ADC,40.000000
Filament DAC,200
Filament ADC,5.000000
Pulse Length,201
Pulse Period,254
Filter,2
eV per channel,19.8012
Number of Channels,2048
Vacuum,761
Channel#,Intensity
0,"1734"
1,"1462"
2,"975"
3,"507"
4,"228"
5,"69"
6,"17"
7,"6"
8,"0"
9,"1"
10,"0"
11,"0"
12,"1"
13,"0"
14,"0"
15,"0"
16,"0"
17,"0"
18,"0"
19,"0"
20,"1"
21,"5"
22,"37"
23,"101"
24,"151"
25,"168"
26,"158"
27,"197"
28,"147"
29,"135"
30,"140"
31,"149"
32,"149"
33,"137"
34,"142"
35,"131"
36,"143"
37,"140"
38,"155"
39,"143"
40,"127"
41,"133"
42,"140"
43,"140"
44,"140"
45,"154"
46,"152"
47,"147"
48,"145"
49,"151"
50,"128"
51,"141"
52,"143"
53,"142"
54,"115"
55,"146"
56,"141"
57,"126"
58,"125"
59,"139"
60,"145"
61,"134"
62,"153"
63,"125"
64,"107"
65,"114"
66,"112"
67,"120"
68,"126"
69,"139"
70,"139"
71,"161"
72,"167"
73,"171"
74,"174"
75,"169"
76,"169"
77,"172"
78,"147"
79,"156"
80,"171"
81,"179"
82,"243"
83,"356"
84,"525"
85,"615"
86,"671"
87,"688"
88,"605"
89,"411"
90,"315"
91,"204"
92,"174"
93,"143"
94,"139"
95,"130"
96,"132"
97,"120"
98,"133"
99,"134"
100,"140"
101,"123"
102,"115"
103,"125"
104,"121"
105,"112"
106,"121"
107,"121"
108,"102"
109,"153"
110,"149"
111,"169"
112,"196"
113,"213"
114,"199"
115,"225"
116,"209"
117,"214"
118,"198"
119,"194"
120,"195"
121,"174"
122,"186"
123,"207"
124,"233"
125,"226"
126,"281"
127,"414"
128,"517"
129,"755"
130,"1044"
131,"1416"
132,"1754"
133,"1866"
134,"1946"
135,"1878"
136,"1586"
137,"1433"
138,"1277"
139,"1355"
140,"1345"
141,"1441"
142,"1492"
143,"1558"
144,"1676"
145,"1861"
146,"1900"
147,"1819"
148,"1588"
149,"1307"
150,"959"
151,"709"
152,"459"
153,"368"
154,"349"
155,"325"
156,"393"
157,"402"
158,"528"
159,"693"
160,"932"
161,"1246"
162,"1635"
163,"2111"
164,"2242"
165,"2121"
166,"1836"
167,"1482"
168,"1029"
169,"621"
170,"482"
171,"286"
172,"201"
173,"238"
174,"282"
175,"313"
176,"456"
177,"502"
178,"575"
179,"544"
180,"607"
181,"610"
182,"627"
183,"613"
184,"569"
185,"472"
186,"401"
187,"295"
188,"267"
189,"200"
190,"184"
191,"178"
192,"184"
193,"194"
194,"221"
195,"223"
196,"248"
197,"245"
198,"263"
199,"255"
200,"263"
201,"266"
202,"256"
203,"234"
204,"243"
205,"239"
206,"232"
207,"219"
208,"223"
209,"226"
210,"205"
211,"253"
212,"231"
213,"267"
214,"257"
215,"262"
216,"311"
217,"359"
218,"438"
219,"592"
220,"741"
221,"893"
222,"1055"
223,"1138"
224,"1088"
225,"1090"
226,"952"
227,"730"
228,"660"
229,"528"
230,"439"
231,"393"
232,"394"
233,"321"
234,"367"
235,"308"
236,"349"
237,"353"
238,"327"
239,"398"
240,"385"
241,"450"
242,"494"
243,"452"
244,"474"
245,"444"
246,"502"
247,"430"
248,"417"
249,"375"
250,"347"
251,"345"
252,"359"
253,"318"
254,"324"
255,"298"
256,"342"
257,"348"
258,"365"
259,"344"
260,"338"
261,"367"
262,"374"
263,"359"
264,"385"
265,"368"
266,"421"
267,"429"
268,"378"
269,"394"
270,"440"
271,"418"
272,"405"
273,"419"
274,"401"
275,"347"
276,"381"
277,"404"
278,"371"
279,"395"
280,"394"
281,"396"
282,"391"
283,"396"
284,"406"
285,"386"
286,"424"
287,"471"
288,"519"
289,"485"
290,"567"
291,"618"
292,"622"
293,"593"
294,"592"
295,"609"
296,"533"
297,"547"
298,"507"
299,"504"
300,"500"
301,"459"
302,"528"
303,"489"
304,"571"
305,"609"
306,"676"
307,"829"
308,"1103"
309,"1700"
310,"2729"
311,"4468"
312,"7013"
313,"10595"
314,"14861"
315,"19300"
316,"22672"
317,"24801"
318,"24862"
319,"22795"
320,"18892"
321,"14509"
322,"10103"
323,"6796"
324,"4179"
325,"2405"
326,"1421"
327,"882"
328,"645"
329,"577"
330,"479"
331,"492"
332,"483"
333,"524"
334,"522"
335,"501"
336,"489"
337,"507"
338,"521"
339,"594"
340,"642"
341,"746"
342,"798"
343,"1062"
344,"1532"
345,"1939"
346,"2572"
347,"3148"
348,"3730"
349,"4163"
350,"4214"
351,"4198"
352,"3729"
353,"3174"
354,"2416"
355,"1819"
356,"1391"
357,"1122"
358,"870"
359,"855"
360,"728"
361,"807"
362,"757"
363,"773"
364,"874"
365,"909"
366,"955"
367,"989"
368,"1073"
369,"1138"
370,"1172"
371,"1172"
372,"1103"
373,"972"
374,"803"
375,"688"
376,"582"
377,"512"
378,"470"
379,"440"
380,"375"
381,"393"
382,"408"
383,"387"
384,"402"
385,"400"
386,"413"
387,"382"
388,"419"
389,"426"
390,"415"
391,"388"
392,"448"
393,"468"
394,"508"
395,"510"
396,"560"
397,"591"
398,"615"
399,"662"
400,"627"
401,"672"
402,"580"
403,"573"
404,"529"
405,"504"
406,"493"
407,"541"
408,"536"
409,"532"
410,"503"
411,"482"
412,"475"
413,"463"
414,"449"
415,"423"
416,"430"
417,"411"
418,"411"
419,"381"
420,"433"
421,"375"
422,"437"
423,"415"
424,"450"
425,"455"
426,"486"
427,"487"
428,"469"
429,"492"
430,"449"
431,"473"
432,"440"
433,"421"
434,"453"
435,"416"
436,"385"
437,"393"
438,"428"
439,"378"
440,"404"
441,"423"
442,"399"
443,"411"
444,"442"
445,"381"
446,"407"
447,"401"
448,"381"
449,"423"
450,"411"
451,"382"
452,"378"
453,"368"
454,"426"
455,"376"
456,"398"
457,"420"
458,"418"
459,"425"
460,"439"
461,"415"
462,"426"
463,"398"
464,"386"
465,"352"
466,"410"
467,"407"
468,"387"
469,"387"
470,"379"
471,"418"
472,"397"
473,"385"
474,"374"
475,"423"
476,"403"
477,"381"
478,"421"
479,"404"
480,"398"
481,"413"
482,"415"
483,"392"
484,"402"
485,"406"
486,"408"
487,"353"
488,"389"
489,"350"
490,"429"
491,"389"
492,"407"
493,"398"
494,"389"
495,"369"
496,"381"
497,"360"
498,"373"
499,"387"
500,"368"
501,"336"
502,"364"
503,"343"
504,"398"
505,"377"
506,"362"
507,"420"
508,"369"
509,"377"
510,"358"
511,"378"
512,"392"
513,"328"
514,"359"
515,"348"
516,"377"
517,"368"
518,"411"
519,"392"
520,"424"
521,"437"
522,"386"
523,"389"
524,"403"
525,"413"
526,"418"
527,"411"
528,"370"
529,"380"
530,"353"
531,"363"
532,"324"
533,"357"
534,"361"
535,"352"
536,"393"
537,"343"
538,"389"
539,"407"
540,"373"
541,"367"
542,"366"
543,"392"
544,"358"
545,"307"
546,"375"
547,"339"
548,"359"
549,"356"
550,"378"
