Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"AL-0102 2phi 0"
Duration Time,60.907
Ambient Temperature,"96.7"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"860144"
Raw Accumulated Counts,"895605"
Valid Count Last Packet,"13111"
Raw Count Last Packet,"13741"
Live Time,58.791981
HV DAC,171
HV ADC,40.000000
Filament DAC,200
Filament ADC,5.000000
Pulse Length,201
Pulse Period,254
Filter,2
eV per channel,19.8059
Number of Channels,2048
Vacuum,766
Channel#,Intensity
0,"1834"
1,"1499"
2,"980"
3,"500"
4,"222"
5,"86"
6,"18"
7,"6"
8,"0"
9,"0"
10,"1"
11,"0"
12,"0"
13,"0"
14,"0"
15,"0"
16,"0"
17,"0"
18,"0"
19,"0"
20,"0"
21,"4"
22,"39"
23,"116"
24,"191"
25,"207"
26,"192"
27,"204"
28,"185"
29,"165"
30,"207"
31,"192"
32,"173"
33,"178"
34,"170"
35,"159"
36,"156"
37,"177"
38,"159"
39,"167"
40,"176"
41,"162"
42,"185"
43,"169"
44,"167"
45,"188"
46,"177"
47,"169"
48,"164"
49,"162"
50,"152"
51,"177"
52,"153"
53,"131"
54,"179"
55,"160"
56,"152"
57,"150"
58,"164"
59,"160"
60,"165"
61,"160"
62,"139"
63,"128"
64,"155"
65,"152"
66,"132"
67,"137"
68,"131"
69,"164"
70,"183"
71,"187"
72,"248"
73,"217"
74,"286"
75,"251"
76,"227"
77,"191"
78,"191"
79,"207"
80,"215"
81,"324"
82,"531"
83,"890"
84,"1333"
85,"1660"
86,"1782"
87,"1666"
88,"1449"
89,"1072"
90,"745"
91,"446"
92,"298"
93,"210"
94,"168"
95,"165"
96,"135"
97,"153"
98,"153"
99,"141"
100,"156"
101,"130"
102,"126"
103,"126"
104,"126"
105,"122"
106,"148"
107,"126"
108,"135"
109,"160"
110,"187"
111,"189"
112,"196"
113,"229"
114,"252"
115,"240"
116,"210"
117,"205"
118,"203"
119,"188"
120,"183"
121,"186"
122,"188"
123,"210"
124,"222"
125,"238"
126,"285"
127,"390"
128,"585"
129,"808"
130,"977"
131,"1370"
132,"1705"
133,"1920"
134,"1943"
135,"1826"
136,"1625"
137,"1418"
138,"1388"
139,"1370"
140,"1388"
141,"1477"
142,"1456"
143,"1562"
144,"1697"
145,"1687"
146,"1778"
147,"1735"
148,"1481"
149,"1214"
150,"951"
151,"664"
152,"461"
153,"351"
154,"327"
155,"331"
156,"350"
157,"407"
158,"479"
159,"692"
160,"928"
161,"1338"
162,"1788"
163,"2252"
164,"2414"
165,"2385"
166,"2020"
167,"1671"
168,"1129"
169,"755"
170,"481"
171,"324"
172,"260"
173,"267"
174,"321"
175,"380"
176,"461"
177,"622"
178,"722"
179,"858"
180,"1062"
181,"1247"
182,"1396"
183,"1307"
184,"1282"
185,"1074"
186,"833"
187,"546"
188,"449"
189,"318"
190,"246"
191,"206"
192,"231"
193,"244"
194,"245"
195,"262"
196,"297"
197,"353"
198,"367"
199,"350"
200,"394"
201,"352"
202,"339"
203,"266"
204,"249"
205,"228"
206,"245"
207,"234"
208,"230"
209,"226"
210,"229"
211,"238"
212,"260"
213,"197"
214,"238"
215,"266"
216,"275"
217,"302"
218,"348"
219,"457"
220,"477"
221,"605"
222,"735"
223,"755"
224,"735"
225,"753"
226,"670"
227,"576"
228,"484"
229,"428"
230,"400"
231,"382"
232,"344"
233,"320"
234,"317"
235,"315"
236,"350"
237,"370"
238,"344"
239,"389"
240,"354"
241,"374"
242,"405"
243,"434"
244,"434"
245,"468"
246,"417"
247,"429"
248,"442"
249,"403"
250,"412"
251,"392"
252,"431"
253,"422"
254,"419"
255,"389"
256,"365"
257,"400"
258,"373"
259,"367"
260,"379"
261,"381"
262,"382"
263,"383"
264,"369"
265,"369"
266,"396"
267,"377"
268,"427"
269,"431"
270,"375"
271,"366"
272,"424"
273,"406"
274,"395"
275,"420"
276,"390"
277,"414"
278,"402"
279,"434"
280,"443"
281,"439"
282,"471"
283,"445"
284,"477"
285,"476"
286,"487"
287,"552"
288,"573"
289,"653"
290,"640"
291,"670"
292,"725"
293,"696"
294,"712"
295,"688"
296,"624"
297,"603"
298,"585"
299,"571"
300,"540"
301,"500"
302,"527"
303,"495"
304,"546"
305,"569"
306,"636"
307,"698"
308,"857"
309,"1309"
310,"1937"
311,"3009"
312,"4854"
313,"7046"
314,"10067"
315,"12518"
316,"15042"
317,"16477"
318,"16377"
319,"14961"
320,"12577"
321,"9665"
322,"7047"
323,"4682"
324,"2844"
325,"1858"
326,"1178"
327,"794"
328,"632"
329,"583"
330,"551"
331,"506"
332,"513"
333,"570"
334,"560"
335,"563"
336,"525"
337,"574"
338,"553"
339,"612"
340,"645"
341,"727"
342,"761"
343,"960"
344,"1162"
345,"1536"
346,"1814"
347,"2392"
348,"2754"
349,"2900"
350,"2983"
351,"3043"
352,"2662"
353,"2251"
354,"1851"
355,"1543"
356,"1279"
357,"1044"
358,"936"
359,"893"
360,"868"
361,"926"
362,"946"
363,"966"
364,"999"
365,"1073"
366,"1187"
367,"1168"
368,"1292"
369,"1324"
370,"1332"
371,"1320"
372,"1264"
373,"1187"
374,"939"
375,"937"
376,"763"
377,"615"
378,"541"
379,"545"
380,"474"
381,"516"
382,"498"
383,"494"
384,"510"
385,"449"
386,"457"
387,"466"
388,"472"
389,"452"
390,"467"
391,"515"
392,"552"
393,"577"
394,"588"
395,"631"
396,"644"
397,"701"
398,"730"
399,"751"
400,"787"
401,"777"
402,"690"
403,"733"
404,"662"
405,"690"
406,"710"
407,"653"
408,"748"
409,"722"
410,"695"
411,"705"
412,"692"
413,"693"
414,"636"
415,"571"
416,"605"
417,"548"
418,"545"
419,"530"
420,"512"
421,"549"
422,"549"
423,"513"
424,"556"
425,"640"
426,"570"
427,"614"
428,"594"
429,"647"
430,"573"
431,"567"
432,"615"
433,"620"
434,"567"
435,"528"
436,"531"
437,"498"
438,"496"
439,"534"
440,"528"
441,"550"
442,"567"
443,"553"
444,"528"
445,"566"
446,"538"
447,"567"
448,"541"
449,"542"
450,"538"
451,"560"
452,"547"
453,"560"
454,"551"
455,"523"
456,"512"
457,"575"
458,"557"
459,"527"
460,"601"
461,"559"
462,"564"
463,"594"
464,"564"
465,"549"
466,"575"
467,"546"
468,"620"
469,"606"
470,"545"
471,"564"
472,"545"
473,"575"
474,"596"
475,"562"
476,"557"
477,"597"
478,"521"
479,"577"
480,"569"
481,"566"
482,"539"
483,"554"
484,"582"
485,"495"
486,"561"
487,"569"
488,"601"
489,"607"
490,"510"
491,"548"
492,"553"
493,"535"
494,"565"
495,"570"
496,"554"
497,"544"
498,"543"
499,"537"
500,"562"
501,"577"
502,"581"
503,"537"
504,"577"
505,"581"
506,"562"
507,"567"
508,"564"
509,"527"
510,"576"
511,"553"
512,"548"
513,"563"
514,"568"
515,"508"
516,"520"
517,"572"
518,"539"
519,"568"
520,"618"
521,"566"
522,"516"
523,"568"
524,"583"
525,"570"
526,"538"
527,"561"
528,"559"
529,"550"
530,"519"
531,"580"
532,"542"
533,"559"
534,"562"
535,"560"
536,"538"
537,"510"
538,"564"
539,"532"
540,"539"
541,"559"
542,"512"
543,"540"
544,"573"
545,"498"
546,"524"
547,"542"
548,"547"
549,"569"
550,"551"
551,"534"
552,"525"
553,"566"
554,"603"
555,"536"
556,"527"
557,"536"
558,"600"
559,"558"
560,"537"
561,"575"
562,"579"
563,"555"
564,"520"
565,"589"
566,"549"
567,"542"
568,"577"
569,"556"
570,"597"
571,"569"
572,"549"
573,"516"
574,"528"
575,"542"
576,"519"
577,"560"
578,"538"
579,"563"
580,"592"
581,"556"
582,"565"
583,"531"
584,"522"
585,"516"
586,"539"
587,"564"
588,"528"
589,"543"
590,"561"
591,"557"
592,"580"
593,"567"
594,"550"
595,"525"
596,"553"
597,"531"
598,"534"
599,"494"
600,"533"
601,"542"
602,"590"
603,"569"
604,"532"
605,"480"
606,"535"
607,"533"
608,"518"
609,"524"
610,"511"
611,"541"
612,"552"
613,"533"
614,"553"
615,"586"
616,"528"
617,"574"
618,"544"
619,"547"
620,"532"
621,"557"
622,"542"
623,"583"
624,"573"
625,"537"
626,"593"
627,"600"
628,"566"
629,"569"
630,"546"
631,"584"
632,"549"
633,"567"
634,"574"
635,"542"
636,"558"
637,"583"
638,"518"
639,"576"
640,"564"
641,"498"
642,"548"
643,"542"
644,"535"
645,"567"
646,"533"
647,"581"
648,"539"
649,"525"
650,"526"
651,"560"
652,"528"
653,"567"
654,"589"
655,"592"
656,"604"
657,"659"
658,"667"
659,"701"
660,"744"
661,"821"
662,"832"
663,"838"
664,"904"
665,"835"
666,"840"
667,"727"
668,"731"
669,"717"
670,"659"
671,"627"
672,"596"
673,"603"
674,"570"
675,"531"
676,"513"
677,"566"
678,"493"
679,"571"
680,"586"
681,"529"
682,"553"
683,"501"
684,"509"
685,"505"
686,"503"
687,"526"
688,"558"
689,"526"
690,"568"
691,"541"
692,"598"
693,"564"
694,"612"
695,"704"
696,"741"
697,"775"
698,"823"
699,"918"
700,"902"
701,"965"
702,"964"
703,"951"
704,"959"
705,"820"
706,"801"
707,"706"
708,"675"
709,"638"
710,"589"
711,"551"
712,"510"
713,"522"
714,"498"
715,"532"
716,"498"
717,"542"
718,"524"
719,"505"
720,"507"
721,"530"
722,"508"
723,"496"
724,"523"
725,"504"
726,"525"
727,"510"
728,"526"
729,"492"
730,"492"
731,"549"
732,"509"
733,"520"
734,"503"
735,"523"
736,"514"
737,"552"
738,"548"
739,"544"
740,"555"
741,"607"
742,"540"
743,"560"
744,"543"
745,"503"
746,"560"
747,"569"
748,"542"
749,"487"
750,"477"
751,"487"
752,"519"
753,"456"
754,"493"
755,"481"
756,"451"
757,"503"
758,"460"
759,"442"
760,"484"
761,"480"
762,"456"
763,"461"
764,"447"
765,"477"
766,"456"
767,"511"
768,"477"
769,"485"
770,"470"
771,"501"
772,"537"
773,"528"
774,"568"
775,"581"
776,"606"
777,"602"
778,"675"
779,"670"
780,"687"
781,"724"
782,"709"
783,"757"
784,"752"
785,"686"
786,"667"
787,"628"
788,"632"
789,"617"
790,"583"
791,"527"
792,"523"
793,"499"
794,"492"
795,"482"
796,"473"
797,"483"
798,"475"
799,"490"
800,"450"
801,"443"
802,"433"
803,"437"
804,"467"
805,"460"
806,"425"
807,"419"
808,"487"
809,"502"
810,"481"
811,"408"
812,"436"
813,"495"
814,"465"
815,"468"
816,"453"
817,"466"
818,"440"
819,"493"
820,"472"
821,"435"
822,"455"
823,"448"
824,"453"
825,"476"
826,"451"
827,"474"
828,"440"
829,"471"
830,"455"
831,"452"
832,"485"
833,"439"
834,"485"
835,"466"
836,"449"
837,"450"
838,"467"
839,"437"
840,"444"
841,"422"
842,"476"
843,"422"
844,"417"
845,"439"
846,"425"
847,"438"
848,"454"
849,"442"
850,"415"
851,"440"
852,"426"
853,"488"
854,"416"
855,"481"
856,"424"
857,"445"
858,"457"
859,"460"
860,"483"
861,"430"
862,"451"
863,"427"
864,"448"
865,"478"
866,"435"
867,"428"
868,"481"
869,"449"
870,"504"
871,"508"
872,"493"
873,"479"
874,"505"
875,"493"
876,"503"
877,"535"
878,"503"
879,"513"
880,"487"
881,"497"
882,"461"
883,"528"
884,"490"
885,"453"
886,"458"
887,"486"
888,"465"
889,"518"
890,"542"
891,"480"
892,"463"
893,"484"
894,"491"
895,"551"
896,"494"
897,"525"
898,"531"
899,"556"
900,"587"
901,"557"
902,"584"
903,"594"
904,"598"
905,"628"
906,"590"
907,"663"
908,"601"
909,"658"
910,"709"
911,"706"
912,"678"
913,"738"
914,"748"
915,"794"
916,"809"
917,"790"
918,"905"
919,"905"
920,"881"
921,"951"
922,"1025"
923,"1074"
924,"1054"
925,"1199"
926,"1127"
927,"1176"
928,"1261"
929,"1278"
930,"1345"
931,"1376"
932,"1448"
933,"1525"
934,"1473"
935,"1419"
936,"1490"
937,"1540"
938,"1592"
939,"1546"
940,"1604"
941,"1536"
942,"1573"
943,"1514"
944,"1572"
945,"1581"
946,"1381"
947,"1415"
948,"1414"
949,"1321"
950,"1249"
951,"1191"
952,"1128"
953,"1164"
954,"1061"
955,"1032"
956,"993"
957,"948"
958,"984"
959,"838"
960,"834"
961,"793"
962,"794"
963,"715"
964,"690"
965,"696"
966,"641"
967,"666"
968,"608"
969,"588"
970,"560"
971,"603"
972,"521"
973,"525"
974,"517"
975,"500"
976,"462"
977,"489"
978,"510"
979,"450"
980,"474"
981,"450"
982,"423"
983,"458"
984,"475"
985,"459"
986,"449"
987,"452"
988,"456"
989,"587"
990,"526"
991,"578"
992,"591"
993,"703"
994,"702"
995,"800"
996,"851"
997,"867"
998,"905"
999,"991"
1000,"973"
1001,"1027"
1002,"967"
1003,"994"
1004,"912"
1005,"895"
1006,"802"
1007,"752"
1008,"685"
1009,"653"
1010,"554"
1011,"510"
1012,"454"
1013,"451"
1014,"411"
1015,"398"
1016,"369"
1017,"378"
1018,"356"
1019,"367"
1020,"407"
1021,"399"
1022,"360"
1023,"357"
1024,"386"
1025,"409"
1026,"391"
1027,"399"
1028,"374"
1029,"377"
1030,"412"
1031,"450"
1032,"433"
1033,"478"
1034,"441"
1035,"493"
1036,"496"
1037,"474"
1038,"464"
1039,"561"
1040,"597"
1041,"581"
1042,"612"
1043,"665"
1044,"643"
1045,"696"
1046,"677"
1047,"685"
1048,"707"
1049,"718"
1050,"708"
1051,"705"
1052,"675"
1053,"647"
1054,"650"
1055,"648"
1056,"581"
1057,"595"
1058,"558"
1059,"512"
1060,"534"
1061,"482"
1062,"481"
1063,"439"
1064,"408"
1065,"410"
1066,"421"
1067,"398"
1068,"409"
1069,"391"
1070,"444"
1071,"364"
1072,"354"
1073,"399"
1074,"383"
1075,"362"
1076,"377"
1077,"343"
1078,"350"
1079,"353"
1080,"302"
1081,"313"
1082,"295"
1083,"355"
1084,"316"
1085,"309"
1086,"357"
1087,"295"
1088,"322"
1089,"328"
1090,"294"
1091,"300"
1092,"321"
1093,"276"
1094,"259"
1095,"315"
1096,"294"
1097,"272"
1098,"304"
1099,"260"
1100,"303"
1101,"283"
1102,"292"
1103,"274"
1104,"274"
1105,"308"
1106,"260"
1107,"247"
1108,"268"
1109,"258"
1110,"238"
1111,"282"
1112,"248"
1113,"253"
1114,"263"
1115,"257"
1116,"280"
1117,"276"
1118,"276"
1119,"284"
