Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"L3-2C -1phi 3"
Duration Time,60.048
Ambient Temperature,"85.7"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"632088"
Raw Accumulated Counts,"653946"
Valid Count Last Packet,"9904"
Raw Count Last Packet,"10199"
Live Time,58.499008
HV DAC,171
HV ADC,40.000000
Filament DAC,200
Filament ADC,5.000000
Pulse Length,201
Pulse Period,254
Filter,2
eV per channel,20.0886
Number of Channels,2048
Vacuum,766
Channel#,Intensity
0,"1832"
1,"1483"
2,"942"
3,"496"
4,"212"
5,"63"
6,"15"
7,"3"
8,"3"
9,"2"
10,"0"
11,"0"
12,"1"
13,"1"
14,"0"
15,"0"
16,"0"
17,"0"
18,"0"
19,"0"
20,"0"
21,"5"
22,"29"
23,"108"
24,"172"
25,"190"
26,"198"
27,"182"
28,"190"
29,"180"
30,"181"
31,"179"
32,"159"
33,"137"
34,"180"
35,"145"
36,"159"
37,"160"
38,"153"
39,"155"
40,"154"
41,"153"
42,"153"
43,"167"
44,"127"
45,"184"
46,"191"
47,"164"
48,"156"
49,"157"
50,"167"
51,"132"
52,"138"
53,"156"
54,"140"
55,"147"
56,"158"
57,"168"
58,"160"
59,"134"
60,"153"
61,"131"
62,"144"
63,"134"
64,"137"
65,"120"
66,"136"
67,"124"
68,"136"
69,"141"
70,"175"
71,"210"
72,"215"
73,"220"
74,"260"
75,"199"
76,"211"
77,"214"
78,"185"
79,"168"
80,"213"
81,"269"
82,"424"
83,"640"
84,"861"
85,"1133"
86,"1216"
87,"1166"
88,"938"
89,"707"
90,"536"
91,"328"
92,"218"
93,"169"
94,"150"
95,"128"
96,"142"
97,"122"
98,"117"
99,"143"
100,"124"
101,"133"
102,"128"
103,"116"
104,"130"
105,"108"
106,"115"
107,"119"
108,"136"
109,"127"
110,"169"
111,"147"
112,"183"
113,"215"
114,"212"
115,"250"
116,"227"
117,"234"
118,"181"
119,"196"
120,"175"
121,"200"
122,"193"
123,"202"
124,"195"
125,"276"
126,"298"
127,"355"
128,"550"
129,"721"
130,"1115"
131,"1310"
132,"1691"
133,"1863"
134,"1860"
135,"1812"
136,"1558"
137,"1396"
138,"1306"
139,"1281"
140,"1348"
141,"1340"
142,"1438"
143,"1554"
144,"1670"
145,"1712"
146,"1862"
147,"1836"
148,"1562"
149,"1291"
150,"979"
151,"679"
152,"515"
153,"374"
154,"296"
155,"340"
156,"365"
157,"456"
158,"575"
159,"888"
160,"1245"
161,"1707"
162,"2397"
163,"2889"
164,"3194"
165,"3056"
166,"2593"
167,"2146"
168,"1395"
169,"929"
170,"585"
171,"351"
172,"277"
173,"275"
174,"324"
175,"449"
176,"528"
177,"651"
178,"700"
179,"737"
180,"754"
181,"703"
182,"734"
183,"696"
184,"581"
185,"539"
186,"417"
187,"322"
188,"258"
189,"212"
190,"203"
191,"166"
192,"166"
193,"190"
194,"191"
195,"203"
196,"234"
197,"243"
198,"260"
199,"255"
200,"247"
201,"229"
202,"248"
203,"195"
204,"206"
205,"199"
206,"189"
207,"184"
208,"192"
209,"213"
210,"193"
211,"226"
212,"206"
213,"207"
214,"218"
215,"223"
216,"248"
217,"257"
218,"281"
219,"323"
220,"420"
221,"457"
222,"506"
223,"623"
224,"551"
225,"537"
226,"517"
227,"412"
228,"395"
229,"316"
230,"266"
231,"287"
232,"266"
233,"254"
234,"271"
235,"248"
236,"258"
237,"279"
238,"300"
239,"294"
240,"316"
241,"309"
242,"315"
243,"322"
244,"365"
245,"338"
246,"333"
247,"317"
248,"333"
249,"336"
250,"335"
251,"267"
252,"312"
253,"317"
254,"313"
255,"305"
256,"315"
257,"290"
258,"307"
259,"314"
260,"281"
261,"317"
262,"295"
263,"304"
264,"318"
265,"303"
266,"383"
267,"358"
268,"338"
269,"331"
270,"324"
271,"381"
272,"356"
273,"368"
274,"419"
275,"420"
276,"424"
277,"467"
278,"472"
279,"491"
280,"511"
281,"532"
282,"548"
283,"575"
284,"520"
285,"481"
286,"471"
287,"484"
288,"433"
289,"480"
290,"476"
291,"455"
292,"466"
293,"424"
294,"451"
295,"451"
296,"403"
297,"433"
298,"446"
299,"389"
300,"406"
301,"454"
302,"397"
303,"413"
304,"446"
305,"428"
306,"416"
307,"456"
308,"511"
309,"546"
310,"684"
311,"869"
312,"1128"
313,"1495"
314,"1980"
315,"2398"
316,"2787"
317,"2828"
318,"2813"
319,"2598"
320,"2285"
321,"1934"
322,"1328"
323,"1043"
324,"803"
325,"617"
326,"516"
327,"447"
328,"464"
329,"406"
330,"430"
331,"403"
332,"407"
333,"404"
334,"442"
335,"463"
336,"439"
337,"444"
338,"454"
339,"477"
340,"462"
341,"479"
342,"492"
343,"494"
344,"520"
345,"577"
346,"600"
347,"655"
348,"774"
349,"795"
350,"834"
351,"842"
352,"806"
353,"718"
354,"742"
355,"725"
356,"727"
357,"722"
358,"718"
359,"790"
360,"781"
361,"819"
362,"835"
363,"890"
364,"914"
365,"972"
366,"987"
367,"1092"
368,"1200"
369,"1199"
370,"1208"
371,"1186"
372,"1089"
373,"1037"
374,"852"
375,"701"
376,"628"
377,"543"
378,"448"
379,"407"
380,"395"
381,"396"
382,"435"
383,"414"
384,"434"
385,"398"
386,"412"
387,"409"
388,"438"
389,"401"
390,"433"
391,"423"
392,"447"
393,"474"
394,"500"
395,"562"
396,"588"
397,"584"
398,"701"
399,"684"
400,"701"
401,"696"
402,"571"
403,"506"
404,"563"
405,"504"
406,"563"
407,"590"
408,"518"
409,"535"
410,"508"
411,"528"
412,"511"
413,"482"
414,"477"
415,"454"
416,"435"
417,"412"
418,"426"
419,"397"
420,"415"
421,"400"
422,"411"
423,"398"
424,"455"
425,"446"
426,"459"
427,"488"
428,"514"
429,"506"
430,"516"
431,"504"
432,"536"
433,"477"
434,"511"
435,"466"
436,"489"
437,"467"
438,"498"
439,"495"
440,"466"
441,"487"
442,"484"
443,"441"
444,"469"
445,"497"
446,"453"
447,"468"
448,"443"
449,"423"
450,"442"
451,"450"
452,"491"
453,"414"
454,"500"
455,"509"
456,"524"
457,"515"
458,"503"
459,"535"
460,"514"
461,"522"
462,"459"
463,"451"
464,"436"
465,"429"
466,"431"
467,"437"
468,"419"
469,"442"
470,"431"
471,"460"
472,"444"
473,"450"
474,"477"
475,"467"
476,"449"
477,"431"
478,"456"
479,"451"
480,"425"
481,"429"
482,"489"
483,"486"
484,"458"
485,"446"
486,"483"
487,"462"
488,"429"
489,"449"
490,"433"
491,"445"
492,"435"
493,"435"
494,"450"
495,"445"
496,"443"
497,"469"
498,"418"
499,"450"
500,"460"
501,"400"
502,"495"
503,"460"
504,"485"
505,"452"
506,"490"
507,"449"
508,"463"
509,"474"
510,"465"
511,"467"
512,"483"
513,"453"
514,"476"
515,"466"
516,"453"
517,"510"
518,"469"
519,"452"
520,"493"
521,"516"
522,"476"
523,"460"
524,"527"
525,"485"
526,"450"
527,"462"
528,"468"
529,"465"
530,"408"
531,"463"
532,"456"
533,"443"
534,"450"
535,"409"
536,"438"
537,"441"
538,"424"
539,"425"
540,"485"
541,"422"
542,"418"
543,"456"
544,"438"
545,"451"
546,"438"
547,"444"
548,"497"
549,"468"
550,"467"
551,"450"
552,"467"
553,"468"
554,"420"
555,"468"
556,"433"
557,"445"
558,"461"
559,"451"
560,"442"
561,"491"
562,"462"
563,"437"
564,"480"
565,"487"
566,"445"
567,"414"
568,"449"
569,"430"
570,"480"
571,"446"
572,"425"
573,"433"
574,"444"
575,"450"
576,"444"
577,"467"
578,"450"
579,"453"
580,"413"
581,"444"
582,"436"
583,"435"
584,"452"
585,"433"
586,"430"
587,"462"
588,"410"
589,"436"
590,"436"
591,"431"
592,"420"
593,"413"
594,"430"
595,"431"
596,"467"
597,"450"
598,"455"
599,"413"
600,"405"
601,"411"
602,"448"
603,"432"
604,"448"
605,"472"
606,"464"
607,"418"
608,"487"
609,"437"
610,"489"
611,"426"
612,"459"
613,"437"
614,"430"
615,"442"
616,"410"
617,"426"
618,"462"
619,"441"
620,"497"
621,"427"
622,"443"
623,"447"
624,"431"
625,"496"
626,"478"
627,"434"
628,"481"
629,"450"
630,"467"
631,"443"
632,"503"
633,"438"
634,"447"
635,"430"
636,"456"
637,"451"
638,"490"
639,"493"
640,"433"
641,"437"
642,"451"
643,"442"
644,"441"
645,"452"
646,"492"
647,"459"
648,"485"
649,"470"
650,"452"
651,"469"
652,"485"
653,"497"
654,"545"
655,"607"
656,"584"
657,"770"
658,"760"
659,"923"
660,"964"
661,"950"
662,"1192"
663,"1146"
664,"1145"
665,"1091"
666,"1105"
667,"929"
668,"855"
669,"804"
670,"652"
671,"629"
672,"576"
673,"497"
674,"491"
675,"453"
676,"441"
677,"460"
678,"480"
679,"421"
680,"387"
681,"454"
682,"436"
683,"419"
684,"449"
685,"391"
686,"427"
687,"416"
688,"391"
689,"430"
690,"427"
691,"404"
692,"444"
693,"442"
694,"465"
695,"477"
696,"486"
697,"536"
698,"564"
699,"581"
700,"568"
701,"553"
702,"591"
703,"580"
704,"585"
705,"583"
706,"537"
707,"479"
708,"490"
709,"453"
710,"462"
711,"401"
712,"402"
713,"400"
714,"444"
715,"400"
716,"362"
717,"395"
718,"396"
719,"391"
720,"366"
721,"414"
722,"406"
723,"413"
724,"431"
725,"401"
726,"335"
727,"402"
728,"396"
