Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"L3-2C 6phi 0"
Duration Time,60.851
Ambient Temperature,"92.4"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"937096"
Raw Accumulated Counts,"978053"
Valid Count Last Packet,"14388"
Raw Count Last Packet,"14944"
Live Time,58.570015
HV DAC,171
HV ADC,40.000000
Filament DAC,200
Filament ADC,5.000000
Pulse Length,201
Pulse Period,254
Filter,2
eV per channel,19.8088
Number of Channels,2048
Vacuum,767
Channel#,Intensity
0,"1844"
1,"1453"
2,"923"
3,"494"
4,"226"
5,"76"
6,"24"
7,"5"
8,"1"
9,"0"
10,"0"
11,"0"
12,"0"
13,"1"
14,"1"
15,"0"
16,"0"
17,"0"
18,"1"
19,"1"
20,"0"
21,"6"
22,"31"
23,"132"
24,"200"
25,"196"
26,"211"
27,"189"
28,"189"
29,"190"
30,"199"
31,"166"
32,"160"
33,"181"
34,"189"
35,"190"
36,"172"
37,"166"
38,"175"
39,"189"
40,"179"
41,"163"
42,"164"
43,"170"
44,"180"
45,"201"
46,"182"
47,"165"
48,"177"
49,"175"
50,"185"
51,"162"
52,"161"
53,"168"
54,"164"
55,"161"
56,"142"
57,"180"
58,"161"
59,"145"
60,"166"
61,"149"
62,"132"
63,"157"
64,"147"
65,"150"
66,"137"
67,"156"
68,"177"
69,"171"
70,"201"
71,"252"
72,"270"
73,"304"
74,"282"
75,"279"
76,"285"
77,"250"
78,"206"
79,"219"
80,"290"
81,"417"
82,"707"
83,"1093"
84,"1644"
85,"2120"
86,"2224"
87,"2191"
88,"1839"
89,"1327"
90,"827"
91,"572"
92,"352"
93,"266"
94,"208"
95,"154"
96,"156"
97,"146"
98,"151"
99,"157"
100,"156"
101,"134"
102,"142"
103,"131"
104,"139"
105,"121"
106,"142"
107,"98"
108,"135"
109,"145"
110,"171"
111,"165"
112,"214"
113,"222"
114,"235"
115,"256"
116,"241"
117,"232"
118,"235"
119,"219"
120,"198"
121,"193"
122,"216"
123,"213"
124,"224"
125,"238"
126,"303"
127,"358"
128,"521"
129,"729"
130,"1084"
131,"1448"
132,"1689"
133,"1950"
134,"1969"
135,"1846"
136,"1682"
137,"1476"
138,"1392"
139,"1352"
140,"1400"
141,"1505"
142,"1485"
143,"1590"
144,"1634"
145,"1679"
146,"1758"
147,"1719"
148,"1485"
149,"1232"
150,"951"
151,"706"
152,"494"
153,"350"
154,"293"
155,"346"
156,"368"
157,"420"
158,"518"
159,"713"
160,"960"
161,"1409"
162,"1795"
163,"2308"
164,"2438"
165,"2389"
166,"2087"
167,"1633"
168,"1184"
169,"825"
170,"482"
171,"335"
172,"271"
173,"248"
174,"311"
175,"372"
176,"499"
177,"609"
178,"668"
179,"704"
180,"797"
181,"844"
182,"881"
183,"913"
184,"756"
185,"694"
186,"572"
187,"457"
188,"316"
189,"261"
190,"253"
191,"220"
192,"224"
193,"219"
194,"197"
195,"250"
196,"260"
197,"265"
198,"309"
199,"341"
200,"349"
201,"294"
202,"283"
203,"247"
204,"283"
205,"251"
206,"235"
207,"238"
208,"258"
209,"232"
210,"258"
211,"243"
212,"288"
213,"329"
214,"281"
215,"322"
216,"380"
217,"497"
218,"611"
219,"995"
220,"1337"
221,"1747"
222,"2058"
223,"2400"
224,"2370"
225,"2288"
226,"1759"
227,"1424"
228,"1101"
229,"745"
230,"612"
231,"522"
232,"396"
233,"392"
234,"385"
235,"374"
236,"357"
237,"413"
238,"438"
239,"459"
240,"512"
241,"579"
242,"657"
243,"673"
244,"746"
245,"781"
246,"694"
247,"640"
248,"648"
249,"555"
250,"468"
251,"440"
252,"412"
253,"377"
254,"411"
255,"393"
256,"419"
257,"420"
258,"416"
259,"453"
260,"411"
261,"427"
262,"441"
263,"482"
264,"424"
265,"452"
266,"502"
267,"491"
268,"506"
269,"495"
270,"466"
271,"466"
272,"462"
273,"503"
274,"471"
275,"488"
276,"494"
277,"458"
278,"478"
279,"481"
280,"460"
281,"474"
282,"504"
283,"498"
284,"493"
285,"560"
286,"540"
287,"522"
288,"585"
289,"576"
290,"634"
291,"678"
292,"667"
293,"639"
294,"680"
295,"633"
296,"578"
297,"580"
298,"607"
299,"556"
300,"597"
301,"607"
302,"608"
303,"600"
304,"616"
305,"723"
306,"696"
307,"769"
308,"1002"
309,"1451"
310,"2308"
311,"3499"
312,"5507"
313,"8199"
314,"11584"
315,"14793"
316,"17249"
317,"18913"
318,"18548"
319,"17145"
320,"14027"
321,"10832"
322,"7586"
323,"4941"
324,"3219"
325,"1961"
326,"1264"
327,"892"
328,"678"
329,"665"
330,"577"
331,"602"
332,"628"
333,"610"
334,"628"
335,"657"
336,"617"
337,"638"
338,"654"
339,"666"
340,"758"
341,"829"
342,"906"
343,"1099"
344,"1362"
345,"1747"
346,"2341"
347,"2757"
348,"3164"
349,"3505"
350,"3540"
351,"3399"
352,"3130"
353,"2641"
354,"2090"
355,"1727"
356,"1449"
357,"1204"
358,"1063"
359,"1017"
360,"977"
361,"1014"
362,"991"
363,"1118"
364,"1110"
365,"1241"
366,"1331"
367,"1487"
368,"1585"
369,"1768"
370,"1721"
371,"1705"
372,"1554"
373,"1468"
374,"1208"
375,"1065"
376,"905"
377,"798"
378,"649"
379,"603"
380,"571"
381,"559"
382,"515"
383,"541"
384,"481"
385,"523"
386,"511"
387,"520"
388,"516"
389,"578"
390,"582"
391,"601"
392,"577"
393,"681"
394,"716"
395,"786"
396,"806"
397,"812"
398,"828"
399,"824"
400,"814"
401,"877"
402,"855"
403,"779"
404,"704"
405,"724"
406,"730"
407,"736"
408,"766"
409,"723"
410,"754"
411,"684"
412,"739"
413,"713"
414,"654"
415,"708"
416,"594"
417,"653"
418,"571"
419,"551"
420,"610"
421,"635"
422,"581"
423,"692"
424,"633"
425,"727"
426,"776"
427,"800"
428,"791"
429,"775"
430,"708"
431,"677"
432,"662"
433,"641"
434,"651"
435,"661"
436,"646"
437,"600"
438,"577"
439,"588"
440,"630"
441,"608"
442,"592"
443,"638"
444,"658"
445,"580"
446,"626"
447,"647"
448,"633"
449,"595"
450,"605"
451,"568"
452,"622"
453,"654"
454,"632"
455,"653"
456,"677"
457,"657"
458,"694"
459,"652"
460,"707"
461,"693"
462,"619"
463,"681"
464,"670"
465,"653"
466,"627"
467,"621"
468,"617"
469,"643"
470,"577"
471,"589"
472,"692"
473,"660"
474,"664"
475,"659"
476,"632"
477,"634"
478,"622"
479,"654"
480,"651"
481,"662"
482,"670"
483,"588"
484,"639"
485,"640"
486,"643"
487,"672"
488,"609"
489,"604"
490,"631"
491,"608"
492,"657"
493,"661"
494,"634"
495,"628"
496,"601"
497,"678"
498,"649"
499,"612"
500,"636"
501,"591"
502,"605"
503,"615"
504,"613"
505,"585"
506,"671"
507,"658"
508,"597"
509,"611"
510,"612"
511,"639"
512,"605"
513,"653"
514,"665"
515,"594"
516,"620"
517,"618"
518,"614"
519,"626"
520,"676"
521,"717"
522,"690"
523,"696"
524,"643"
525,"703"
526,"625"
527,"639"
528,"638"
529,"633"
530,"666"
531,"628"
532,"607"
533,"601"
534,"591"
535,"590"
536,"621"
537,"606"
538,"607"
539,"600"
540,"590"
541,"595"
542,"593"
543,"587"
544,"592"
545,"583"
546,"622"
547,"620"
548,"555"
549,"575"
550,"632"
551,"613"
552,"611"
553,"615"
554,"613"
555,"623"
556,"609"
557,"595"
558,"628"
559,"611"
560,"604"
561,"588"
562,"617"
563,"654"
564,"582"
565,"620"
566,"579"
567,"594"
568,"568"
569,"617"
570,"595"
571,"605"
572,"611"
573,"614"
574,"567"
575,"563"
576,"605"
577,"603"
578,"556"
579,"601"
580,"617"
581,"597"
582,"604"
583,"611"
584,"587"
585,"586"
586,"580"
587,"575"
588,"567"
589,"584"
590,"582"
591,"645"
592,"577"
593,"577"
594,"606"
595,"593"
596,"578"
597,"596"
598,"578"
599,"566"
600,"617"
601,"535"
602,"604"
603,"606"
604,"552"
605,"614"
606,"574"
607,"604"
608,"552"
609,"616"
610,"557"
611,"575"
612,"600"
613,"658"
614,"563"
615,"585"
616,"643"
617,"562"
618,"628"
619,"586"
620,"651"
621,"589"
622,"598"
623,"621"
624,"605"
625,"599"
626,"588"
627,"627"
628,"638"
629,"622"
630,"595"
631,"649"
632,"623"
633,"621"
634,"578"
635,"633"
636,"582"
637,"594"
638,"616"
639,"606"
640,"586"
641,"584"
642,"610"
643,"600"
644,"619"
645,"553"
646,"621"
647,"618"
648,"591"
649,"607"
650,"643"
651,"602"
652,"589"
653,"649"
654,"653"
655,"740"
656,"733"
657,"837"
658,"871"
659,"960"
660,"978"
661,"1172"
662,"1190"
663,"1195"
664,"1205"
665,"1196"
666,"1084"
667,"1090"
668,"942"
669,"922"
670,"814"
671,"737"
672,"653"
673,"639"
674,"620"
675,"631"
676,"574"
677,"599"
678,"613"
679,"573"
680,"574"
681,"569"
682,"583"
683,"590"
684,"560"
685,"590"
686,"566"
687,"579"
688,"554"
689,"536"
690,"547"
691,"568"
692,"572"
693,"589"
694,"627"
695,"617"
696,"675"
697,"691"
698,"775"
699,"735"
700,"794"
701,"778"
702,"767"
703,"769"
704,"756"
705,"689"
706,"690"
707,"722"
708,"668"
709,"593"
710,"570"
711,"535"
712,"546"
713,"515"
714,"520"
715,"560"
716,"551"
717,"494"
718,"549"
719,"526"
720,"524"
721,"553"
722,"520"
723,"532"
724,"543"
725,"505"
726,"535"
727,"519"
728,"538"
729,"542"
730,"536"
731,"522"
732,"548"
733,"510"
734,"588"
735,"602"
736,"609"
737,"643"
738,"628"
739,"633"
740,"734"
741,"709"
742,"717"
743,"719"
744,"674"
745,"607"
746,"649"
747,"621"
748,"580"
749,"574"
750,"581"
751,"556"
752,"524"
753,"496"
754,"480"
755,"506"
756,"502"
757,"479"
758,"502"
759,"520"
760,"525"
761,"510"
762,"530"
763,"538"
764,"524"
765,"535"
766,"522"
767,"545"
768,"544"
769,"564"
770,"613"
771,"693"
772,"807"
773,"870"
774,"974"
775,"1090"
776,"1229"
777,"1413"
778,"1453"
779,"1570"
780,"1753"
781,"1716"
782,"1729"
783,"1665"
784,"1635"
785,"1455"
786,"1301"
787,"1145"
788,"1010"
789,"853"
790,"769"
791,"652"
792,"616"
793,"607"
794,"530"
795,"492"
796,"494"
797,"471"
798,"433"
799,"486"
800,"503"
801,"460"
802,"460"
803,"448"
804,"471"
805,"441"
806,"463"
807,"462"
808,"488"
809,"474"
810,"467"
811,"456"
812,"459"
813,"513"
814,"465"
815,"479"
816,"509"
817,"526"
818,"496"
819,"517"
820,"508"
821,"535"
822,"510"
823,"547"
824,"547"
825,"537"
826,"497"
827,"465"
828,"493"
829,"514"
830,"470"
831,"469"
832,"528"
833,"449"
834,"462"
835,"478"
836,"423"
837,"465"
838,"471"
839,"474"
840,"473"
841,"448"
842,"474"
843,"468"
844,"454"
845,"419"
846,"457"
847,"437"
848,"446"
849,"441"
850,"455"
851,"484"
852,"435"
853,"469"
854,"470"
855,"441"
856,"472"
857,"439"
858,"445"
859,"443"
860,"450"
861,"456"
862,"482"
863,"466"
864,"445"
865,"476"
866,"482"
867,"492"
868,"519"
869,"532"
870,"575"
871,"593"
872,"591"
873,"665"
874,"647"
875,"669"
876,"629"
877,"680"
878,"635"
879,"678"
880,"622"
881,"585"
882,"547"
883,"534"
884,"558"
885,"529"
886,"599"
887,"487"
888,"524"
889,"532"
890,"514"
891,"559"
892,"513"
893,"554"
894,"535"
895,"572"
896,"483"
897,"555"
898,"598"
899,"529"
900,"534"
901,"570"
902,"564"
903,"596"
904,"560"
905,"605"
906,"581"
907,"622"
908,"674"
909,"629"
910,"647"
911,"697"
912,"700"
913,"712"
914,"722"
915,"786"
916,"807"
917,"825"
918,"873"
919,"910"
920,"861"
921,"911"
922,"1071"
923,"1034"
924,"1116"
925,"1174"
926,"1159"
927,"1177"
928,"1302"
929,"1335"
930,"1389"
931,"1434"
932,"1426"
933,"1461"
934,"1483"
935,"1514"
936,"1631"
937,"1532"
938,"1540"
939,"1608"
940,"1582"
941,"1438"
942,"1537"
943,"1509"
944,"1468"
945,"1413"
946,"1321"
947,"1398"
